日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2011/12/2,86.8,86.8,83.7,83.7,0,0,,,,,,80,,1940,,,14,,,-9964,-9964,330,,,1144,,,0,,,1474,,,0
2011/12/5,84,84.4,83.3,83.3,-0.4,-0.4779,,,,,,16,,1937,,,14,,,-10096,-132,330,,,1144,,,0,,,1474,,,0
2011/12/6,83.3,83.9,81.5,81.5,-1.8,-2.1609,,,,,,73,,1929,,,14,,,-10483,-387,326,,,1144,,,0,,,1470,,,0
2011/12/7,82,82.8,81.1,82,0.5,0.6135,,,,,,41,,1924,,,15,,,-10490,-7,324,,,1144,,,0,,,1468,,,0
2011/12/8,82.6,83.3,81.9,83,1,1.2195,82.7,,,,,81,58,1929,1931.8,,25,16.4,,-10791,-301,319,327,,1144,1144,,0,0,,1463,1471,,0
2011/12/9,82,84.4,81.3,83.3,0.3,0.3614,82.62,,,,,105,63,1922,1928.2,,17,17,,-10976,-185,313,323,,1154,1146,,0,0,,1467,1469,,0
2011/12/12,84,84.8,82,82.8,-0.5,-0.6002,82.52,,,,,87,77,1938,1928.4,,15,17.2,,-10877,99,311,319,,1154,1148,,0,0,,1465,1468,,0
2011/12/13,82,82.5,81.3,81.8,-1,-1.2077,82.58,,,,,35,69,1938,1930.2,,15,17.4,,-11131,-254,311,316,,1154,1150,,0,0,,1465,1467,,0
2011/12/14,82,83.1,81.5,83.1,1.3,1.5892,82.8,,,,,55,72,1939,1933.2,,15,17.4,,-10893,238,316,315,,1154,1152,,0,0,,1470,1467,,0
2011/12/15,81.7,82.4,81.1,81.1,-2,-2.4067,82.42,82.56,,,,95,75,1931,1933.6,1932.7,15,15.4,15.9,-11266,-373,313,314,320,1154,1154,1149,0,0,0,1467,1468,1469,0
2011/12/16,81.1,81.9,81,81.1,0,0,81.98,82.3,,,,57,65,1913,1931.8,1930,17,15.4,16.2,-11203,63,313,314,318,1154,1154,1150,0,0,0,1467,1468,1469,0
2011/12/19,80.6,80.6,77.7,77.7,-3.4,-4.1924,80.96,81.74,,,,230,94,1838,1911.8,1920.1,17,15.8,16.5,-11744,-541,297,311,315,1121,1148,1148,0,0,0,1418,1458,1463,0
2011/12/20,78.5,79.2,78.1,78.3,0.6,0.7722,80.26,81.42,,,,33,94,1841,1892.4,1911.3,18,16.4,16.9,-11626,118,297,308,312,1121,1141,1146,0,0,0,1418,1449,1458,0
2011/12/21,80,82.8,80,82.8,4.5,5.7471,80.2,81.5,,,,102,103,1830,1870.6,1901.9,20,17.4,17.4,-10985,641,299,305,310,1121,1134,1143,0,0,0,1420,1439,1453,0
2011/12/22,82.8,82.8,81.3,81.7,-1.1,-1.3285,80.32,81.37,,,,41,92,1837,1851.8,1892.7,20,18.4,16.9,-11139,-154,302,302,308,1121,1128,1141,0,0,0,1423,1430,1449,0
2011/12/23,82,85.5,82,84.6,2.9,3.5496,81.02,81.5,,,,174,116,1868,1842.8,1887.3,21,19.2,17.3,-10615,524,302,300,307,1141,1125,1140,0,0,0,1443,1425,1447,0
2011/12/26,85.1,85.1,82.1,84.1,-0.5,-0.591,82.3,81.63,,,,104,90,1861,1847.4,1879.6,21,20,17.9,-10573,42,305,302,306,1141,1129,1138,0,0,0,1446,1431,1445,0
2011/12/27,84.1,84.1,82.3,82.3,-1.8,-2.1403,83.1,81.68,,,,46,93,1851,1849.4,1870.9,21,20.6,18.5,-10723,-150,306,304,306,1141,1133,1137,0,0,0,1447,1437,1443,0
2011/12/28,82.3,83.5,82.3,82.5,0.2,0.243,83.04,81.62,,,,95,92,1867,1856.8,1863.7,21,20.8,19.1,-10851,-128,306,305,305,1141,1137,1136,0,0,0,1447,1442,1441,0
2011/12/29,82.5,83.8,82.4,83.2,0.7,0.8485,83.34,81.83,82.195,,,45,92,1895,1868.4,1860.1,21,21,19.7,-10799,52,306,306,304,0,913,1020,0,0,0,306,1219,1324,0
2011/12/30,84,84,83.2,83.9,0.7,0.8413,83.2,82.11,82.205,,,62,70,1894,1873.6,1858.2,21,21,20.1,-10810,-11,306,307,303,1161,917,1021,0,0,0,1467,1223,1324,0
2012/1/2,83.7,83.7,82.1,82.2,-1.7,-2.0262,82.82,82.56,82.15,,,32,56,1892,1879.8,1863.6,21,21,20.5,-11137,-327,305,307,304,1254,940,1034,0,0,0,1560,1246,1339,0
2012/1/3,82.8,83.9,82.6,82.6,0.4,0.4866,82.88,82.99,82.205,,,18,50,1890,1887.6,1868.5,21,21,20.8,-10889,248,305,306,305,1254,962,1048,0,0,0,1560,1269,1353,0
2012/1/4,83.7,84.4,83.5,83.8,1.2,1.4528,83.14,83.09,82.295,,,71,45,1883,1890.8,1873.8,21,21,20.9,-10724,165,303,306,305,1254,985,1061,0,0,0,1558,1291,1366,0
2012/1/5,83.9,84.3,83.3,83.3,-0.5,-0.5967,83.16,83.25,82.31,,,53,47,1862,1884.2,1876.3,21,21,21,-10656,68,305,306,306,1254,1236,1075,0,0,0,1560,1542,1380,0
2012/1/6,83.7,84.4,83.5,83.6,0.3,0.3601,83.1,83.15,82.325,,,46,44,1866,1878.6,1876.1,21,21,21,-10632,24,305,305,306,1254,1255,1086,0,0,0,1560,1560,1392,0
2012/1/9,84.6,89.2,84,88.8,5.2,6.2201,84.42,83.62,82.625,,,613,160,1984,1897,1888.4,23,21.4,21.2,-10842,-210,305,305,306,0,1004,972,0,0,0,305,1309,1278,0
2012/1/10,89,89.2,87.3,88.3,-0.5,-0.5631,85.56,84.22,82.95,,,246,205,1931,1905.2,1896.4,23,21.8,21.4,-10757,85,299,304,305,1254,1004,983,0,0,0,1554,1308,1288,0
2012/1/11,89,91.8,87.5,88.5,0.2,0.2265,86.5,84.82,83.22,,,309,253,1973,1923.2,1907,23,22.2,21.6,-10705,52,299,303,305,1269,1007,996,0,0,0,1569,1310,1301,0
2012/1/12,89.4,89.4,87.9,87.9,-0.6,-0.678,87.42,85.29,83.56,,,204,283,1917,1934.2,1909.2,23,22.6,21.8,-10974,-269,299,302,304,1284,1013,1124,0,0,0,1584,1315,1428,0
2012/1/13,88.4,88.5,87.1,87.2,-0.7,-0.7964,88.14,85.62,83.865,,,215,317,1891,1939.2,1908.9,24,23.2,22.1,-11247,-273,296,300,303,1299,1022,1138,0,0,0,1596,1322,1441,0
2012/1/16,88.3,88.3,87,87.1,-0.1,-0.1147,87.8,86.11,84.335,,,115,217,1871,1916.6,1906.8,24,23.4,22.4,-11072,175,296,299,302,1319,1286,1145,0,0,0,1616,1584,1447,0
2012/1/17,87,90.8,87,89.5,2.4,2.7555,88.04,86.8,84.895,,,265,221,1910,1912.4,1908.8,23,23.4,22.6,-10597,475,298,298,301,1339,1303,1153,0,0,0,1638,1601,1455,0
2012/1/18,90,91.5,89.5,89.6,0.1,0.1117,88.26,87.38,85.235,,,206,201,1923,1902.4,1912.8,23,23.4,22.8,-10433,164,294,297,300,1344,1318,1162,0,0,0,1639,1615,1463,0
2012/1/30,93,93,91,91.2,1.6,1.7857,88.92,88.17,85.71,,,278,215,1939,1906.8,1920.5,16,22,22.3,-9939,494,293,296,299,1344,1330,1171,0,0,0,1638,1626,1470,0
2012/1/31,91.4,95,91,93.4,2.2,2.4123,90.16,89.15,86.15,,,382,249,2013,1931.2,1935.2,17,20.6,21.9,-9423,516,298,297,298,1344,1339,1180,0,0,0,1643,1635,1479,0
2012/2/1,94.5,95.7,94,95.1,1.7,1.8201,91.76,89.78,86.7,,,257,277,2063,1969.6,1943.1,20,19.8,21.6,-8841,582,301,298,298,1344,1344,1315,0,0,0,1646,1641,1613,0
2012/2/2,96.3,98.5,95.4,95.5,0.4,0.4206,92.96,90.5,87.36,,,277,280,2110,2009.6,1961,19,19,21.2,-8349,492,303,299,298,1344,1345,1324,0,0,0,1648,1643,1622,0
2012/2/3,95,95.5,94.4,94.7,-0.8,-0.8377,93.98,91.12,87.97,,,199,278,2065,2038,1970.2,17,17.8,20.6,-8049,300,315,303,300,1344,1345,1331,0,0,0,1660,1648,1631,0
2012/2/4,95.3,98.4,95.2,95.6,0.9,0.9504,94.86,91.89,88.59,,,325,288,2081,2066.4,1986.6,16,17.8,19.9,-7699,350,314,307,302,1344,1345,1337,0,0,0,1659,1652,1639,0
2012/2/6,95.6,95.6,94.2,94.2,-1.4,-1.4644,95.02,92.59,89.105,,,146,240,2063,2076.4,2003.8,15,17.4,19,-7836,-137,326,313,305,1344,1345,1342,0,0,0,1671,1657,1646,0
2012/2/7,93,94.5,92.5,93.5,-0.7,-0.7431,94.7,93.23,89.67,,,119,213,2050,2073.8,2021.7,13,16,17.9,-7877,-41,326,318,308,1344,1345,1344,0,0,0,1671,1662,1652,0
2012/2/8,94,98.5,94,98,4.5,4.8128,95.2,94.08,90.44,,,493,256,2121,2076,2042.8,14,15,17,-7388,489,333,324,311,1344,1345,1345,0,0,0,1678,1668,1656,0
2012/2/9,97.5,104.5,96.4,104.5,6.5,6.6327,97.16,95.57,91.475,,,1252,467,2469,2156.8,2097.4,24,16.4,17.1,-7105,283,339,328,316,1344,1345,1345,0,0,0,1684,1673,1660,0
2012/2/10,108,108.5,104,105,0.5,0.4785,99.04,96.95,92.56,,,1047,611,2373,2215.2,2140.8,18,16.8,17.3,-7005,100,315,329,318,1344,1345,1345,0,0,0,1660,1673,1663,0
2012/2/13,104,104,99.5,101.5,-3.5,-3.3333,100.5,97.76,93.455,,,540,690,2442,2291,2183.7,13,16.4,16.9,-6817,188,328,329,321,1344,1345,1345,0,0,0,1673,1674,1666,0
2012/2/14,101,101.5,99.1,99.1,-2.4,-2.3645,101.62,98.16,93.97,,,318,730,2397,2360.4,2217.1,11,16,16,-6848,-31,334,331,324,1344,1345,1345,0,0,0,1679,1675,1669,0
2012/2/15,99.5,104,99.5,101,1.9,1.9173,102.22,98.71,94.605,,,538,739,2429,2422,2249,11,15.4,15.2,-6472,376,338,332,328,1284,1333,1339,0,0,0,1623,1664,1666,0
