日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 騰落指標, 騰落指標, 未平倉量
2011/11/15,37.3,38.3,37.2,37.25,0,0,,,,,,2317,,24620,,,355,,,17152,,,3022,,,2136,,,22310,,,-5649,-5649,0
2011/11/16,37.45,37.9,36.5,36.5,-0.75,-2.0134,,,,,,2202,,24721,,,326,,,17061,,,3022,,,2055,,,22138,,,-6218,-569,0
2011/11/17,36,36.8,36,36.4,-0.1,-0.274,,,,,,1475,,24887,,,288,,,16923,,,3054,,,2036,,,22013,,,-6274,-56,0
2011/11/18,36.2,36.2,35,35.1,-1.3,-3.5714,,,,,,2052,,24642,,,100,,,17023,,,3005,,,1946,,,21974,,,-6877,-603,0
2011/11/21,35.1,35.1,32.85,33,-2.1,-5.9829,35.65,,,,,2728,2154,24147,24603.4,,77,229.2,,17218,17076,,3006,3022,,1811,1997,,22035,22095,,-7777,-900,0
2011/11/22,33.1,33.6,32.1,32.3,-0.7,-2.1212,34.66,,,,,2829,2257,24050,24489.4,,74,173,,17000,17045,,2906,2999,,1742,1918,,21648,21962,,-8356,-579,0
2011/11/23,32.3,33.4,32.25,32.3,0,0,33.82,,,,,2769,2370,23759,24297,,254,158.6,,17618,17157,,2909,2976,,1670,1841,,22198,21974,,-9154,-798,0
2011/11/24,32.4,34,31.7,33.6,1.3,4.0248,33.26,,,,,2652,2606,23905,24100.6,,235,148,,17539,17280,,2861,2938,,1689,1772,,22090,21990,,-8870,284,0
2011/11/25,33.8,34,32.4,32.4,-1.2,-3.5714,32.72,,,,,2153,2626,23979,23968,,200,168,,17054,17286,,2765,2890,,1698,1722,,21518,21898,,-9191,-321,0
2011/11/28,32.8,33.2,32.75,33,0.6,1.8519,32.72,34.185,,,,874,2255,23987,23936,24269.7,203,193.2,211.2,17068,17256,17166,2766,2842,2932,1674,1695,1846,21509,21793,21944,-8609,582,0
2011/11/29,33.6,34.1,33.2,33.7,0.7,2.1212,33,33.83,,,,2367,2163,24004,23926.8,24208.1,196,217.6,195.3,17082,17273,17159,2767,2814,2906,1845,1715,1817,21695,21802,21882,-7969,640,0
2011/11/30,34,35.2,33.7,34.35,0.65,1.9288,33.41,33.615,,,,6170,2843,24118,23998.6,24147.8,383,243.4,201,17210,17191,17174,2767,2785,2881,1852,1752,1797,21830,21728,21851,-8583,-614,0
2011/12/1,36.5,36.75,35.3,36.7,2.35,6.8413,34.03,33.645,,,,5230,3358,24165,24050.6,24075.6,432,282.8,215.4,17201,17124,17202,2765,2766,2852,1900,1794,1783,21867,21684,21837,-7707,876,0
2011/12/2,36.5,36.5,35.3,35.8,-0.9,-2.4523,34.71,33.715,,,,3412,3610,24884,24231.6,24099.8,381,319,243.5,17030,17119,17203,1742,2562,2726,1900,1834,1778,20673,21515,21707,-7968,-261,0
