日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 未平倉量",
2011/11/04,55.80,56.90,55.80,56.30,0.00,0.00,,,,,,2539,,17452.0000,,,4583.0000,,,52550,,,4025,,,2634,,,59210,,,-7935,-7935,0.000,
2011/11/07,56.60,60.00,56.00,59.00,2.70,4.7957,,,,,,5747,,17839.0000,,,4999.0000,,,52409,,,4025,,,2969,,,59404,,,-7809,126,0.000,
2011/11/08,59.10,60.30,58.20,58.40,-0.60,-1.0169,,,,,,3775,,17953.0000,,,5028.0000,,,52198,,,4025,,,3113,,,59336,,,-7808,1,0.000,
2011/11/09,58.50,58.60,55.70,55.90,-2.50,-4.2808,,,,,,4579,,17752.0000,,,4526.0000,,,51517,,,4025,,,2677,,,58219,,,-7949,-141,0.000,
2011/11/10,54.00,54.30,52.00,52.00,-3.90,-6.9767,56.3200,,,,,4569,4241,17494.0000,17698.0000,,4191.0000,4665.4000,,51030,51941,,4025,4026,,2276,2734,,57332,58701,,-8443,-494,0.000,
2011/11/11,51.10,52.30,48.50,49.80,-2.20,-4.2308,55.0200,,,,,4908,4715,17442.0000,17696.0000,,3556.0000,4460.0000,,50790,51589,,4025,4026,,1807,2569,,56623,58183,,-8388,55,0.000,
2011/11/14,50.40,52.50,50.10,52.20,2.40,4.8193,53.6600,,,,,4014,4369,17477.0000,17623.6000,,3979.0000,4256.0000,,50838,51275,,4025,4026,,2086,2392,,56949,57692,,-8061,327,0.000,
2011/11/15,52.40,52.40,50.70,51.10,-1.10,-2.1073,52.2000,,,,,1463,3906,17505.0000,17534.0000,,3889.0000,4028.2000,,50838,51003,,3915,4004,,2086,2187,,56839,57193,,-8270,-209,0.000,
2011/11/16,51.10,52.00,49.85,50.70,-0.40,-0.7828,51.1600,,,,,2997,3590,17758.0000,17535.2000,,3958.0000,3914.6000,,50071,50714,,3915,3982,,2083,2068,,56070,56763,,-8563,-293,0.000,
2011/11/17,51.20,52.50,51.20,51.50,0.80,1.5779,51.0600,53.6900,,,,2775,3231,18029.0000,17642.2000,17670.1000,4160.0000,3908.4000,4286.9000,49839,50475,51208,3915,3960,3993,2155,2044,2389,55909,56479,57590,-8581,-18,0.000,
2011/11/18,50.80,50.80,49.90,50.00,-1.50,-2.9126,51.1000,53.0600,,,,1979,2645,17615.0000,17676.8000,17686.4000,3850.0000,3967.2000,4213.6000,49620,50241,50915,3915,3938,3982,2081,2098,2334,55617,56277,57230,-8938,-357,0.000,
2011/11/21,49.70,49.80,46.80,46.80,-3.20,-6.40,50.0200,51.8400,,,,2563,2355,17159.0000,17613.2000,17618.4000,3379.0000,3847.2000,4051.6000,49481,49970,50623,3915,3916,3971,1990,2079,2236,55387,55965,56829,-9535,-597,0.000,
2011/11/22,46.20,46.80,43.55,43.60,-3.20,-6.8376,48.5200,50.3600,,,,4511,2965,16796.0000,17471.4000,17502.7000,3094.0000,3688.2000,3858.2000,49403,49683,50343,3375,3807,3905,1659,1994,2090,54438,55484,56339,-10017,-482,0.000,
2011/11/23,43.60,45.20,42.80,42.90,-0.70,-1.6055,46.9600,49.0600,,,,4128,3191,16921.0000,17304.0000,17419.6000,3896.0000,3675.8000,3795.2000,49293,49528,50121,3529,3730,3856,1692,1916,1992,54515,55173,55968,-10550,-533,0.000,
2011/11/24,43.00,45.40,42.50,44.75,1.85,4.3124,45.6100,48.3350,,,,5128,3661,16955.0000,17089.2000,17365.7000,4204.0000,3684.6000,3796.5000,49519,49464,49970,3529,3653,3806,1954,1875,1960,55003,54992,55735,-10583,-33,0.000,
2011/11/25,45.85,46.20,44.20,45.45,0.70,1.5642,44.7000,47.9000,,,,4540,4174,16601.0000,16886.4000,17281.6000,4535.0000,3821.6000,3894.4000,51143,49769,50005,3529,3576,3757,2028,1865,1982,56701,55209,55743,-10623,-40,0.000,
2011/11/28,46.40,46.80,45.50,46.80,1.35,2.9703,44.7000,47.3600,,,,2565,4174,16581.0000,16770.8000,17192.0000,4709.0000,4087.6000,3967.4000,51969,50266,50118,3529,3498,3707,2045,1876,1978,57544,55640,55803,-10288,335,0.000,
2011/11/29,47.80,49.70,47.30,48.80,2.00,4.2735,45.7400,47.1300,,,,3590,3990,16275.0000,16666.6000,17069.0000,4989.0000,4466.6000,4077.4000,52492,50884,50284,3529,3529,3668,2204,1985,1989,58225,56398,55941,-9906,382,0.000,
2011/11/30,49.00,50.40,48.20,49.90,1.10,2.2541,47.1400,47.0500,,,,4638,4092,16275.0000,16537.4000,16920.7000,5239.0000,4735.2000,4205.5000,51587,51343,50435,3529,3529,3630,2161,2079,1997,57278,56950,56062,-10289,-383,0.000,
2011/12/01,53.10,53.30,52.30,53.30,3.40,6.8136,48.8500,47.2300,50.4600,,,6833,4433,16666.0000,16479.6000,16784.4000,5112.0000,4916.8000,4300.7000,52269,51893,50678,3529,3529,3591,2414,2171,2023,58212,57592,56292,-9773,516,0.000,
2011/12/02,52.30,52.90,51.30,51.60,-1.70,-3.1895,50.0800,47.3900,50.2250,,,3093,4143,16456.0000,16450.6000,16668.5000,4756.0000,4961.0000,4391.3000,51868,52037,50903,3529,3529,3552,2355,2236,2050,57752,57802,56506,-9964,-191,0.000,
2011/12/05,51.60,51.60,49.90,49.90,-1.70,-3.2946,50.7000,47.7000,49.7700,,,1873,4005,16149.0000,16364.2000,16567.5000,4677.0000,4954.6000,4521.1000,52043,52052,51159,3530,3529,3514,2325,2292,2084,57898,57873,56757,-10096,-132,0.000,
2011/12/06,49.90,52.20,49.10,49.60,-0.30,-0.6012,50.8600,48.3000,49.3300,,,3489,3985,16259.0000,16361.0000,16513.8000,5056.0000,4968.0000,4717.3000,52162,51986,51435,3530,3529,3529,2267,2305,2145,57959,57820,57109,-10483,-387,0.000,
2011/12/07,50.40,51.50,49.60,50.00,0.40,0.8065,50.8800,49.0100,49.0350,,,2708,3599,16162.0000,16338.4000,16437.9000,5106.0000,4941.4000,4838.3000,52655,52200,51771,3530,3530,3529,2238,2320,2199,58424,58049,57500,-10490,-7,0.000,
2011/12/08,50.00,50.00,47.50,48.00,-2.00,-4.00,49.8200,49.3350,48.8350,,,1970,2626,15830.0000,16171.2000,16325.4000,4775.0000,4874.0000,4895.4000,52695,52285,52089,3530,3530,3529,2168,2271,2221,58394,58086,57839,-10791,-301,0.000,
2011/12/09,46.60,51.00,46.40,49.45,1.45,3.0208,49.3900,49.7350,48.8175,,,4388,2885,16027.0000,16085.4000,16268.0000,5118.0000,4946.4000,4953.7000,52662,52444,52241,3530,3530,3530,2277,2255,2246,58470,58229,58016,-10976,-185,0.000,
2011/12/12,50.00,50.60,49.25,49.90,0.45,0.91,49.3900,50.0450,48.7025,,,1997,2910,16030.0000,16061.6000,16212.9000,5229.0000,5056.8000,5005.7000,52802,52596,52324,3530,3530,3530,2211,2232,2262,58543,58358,58116,-10877,99,0.000,
2011/12/13,49.30,50.40,49.30,50.10,0.20,0.4008,49.4900,50.1750,48.6525,,,1758,2564,15885.0000,15986.8000,16173.9000,5363.0000,5118.2000,5043.1000,53328,52829,52408,3574,3539,3534,2204,2220,2262,59106,58588,58204,-11131,-254,0.000,
2011/12/14,50.10,50.70,49.50,49.65,-0.45,-0.8982,49.4200,50.1500,48.6000,,,1900,2402,16105.0000,15975.4000,16156.9000,5208.0000,5138.6000,5040.0000,52926,52883,52542,3624,3558,3544,2219,2216,2268,58769,58657,58353,-10893,238,0.000,
