,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,5364,2012,2012,3.15,0.76,3.14,63.80,79.92
1,5364,2013,2013,49.25,0.70,69.36,86.86,119.71
2,5364,2014,2014,61.50,30.05,1.05,1.81,0.75
3,5364,2015,2015,84.50,36.50,1.32,0.44,-0.29
4,5364,2016,2016,52.50,20.10,1.61,0.30,0.22
5,5364,2017,2017,26.05,20.10,0.30,0.22,0.07
6,5364,2018,2018,24.45,19.15,0.28,0.12,0.39
7,5364,2019,2019,21.50,16.05,0.34,0.66,0.47
8,5364,2020,2020,26.60,12.30,1.16,0.92,0.67
9,5364,2021,2021,23.60,16.50,0.43,0.25,
10,5364,2022,2022,20.55,17.70,0.16,,
