,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,5475,紈Щ,2012,2012,12.90,7.50,0.72,0.29,0.43
1,5475,紈Щ,2013,2013,9.70,6.02,0.61,0.79,0.36
2,5475,紈Щ,2014,2014,10.75,6.37,0.69,0.29,-0.30
3,5475,紈Щ,2015,2015,8.19,3.00,1.73,0.50,2.77
4,5475,紈Щ,2016,2016,4.49,2.77,0.62,3.08,2.74
5,5475,紈Щ,2017,2017,11.30,3.06,2.69,2.38,2.00
6,5475,紈Щ,2018,2018,10.35,4.90,1.11,0.87,-0.11
7,5475,紈Щ,2019,2019,9.18,2.85,2.22,0.54,17.39
8,5475,紈Щ,2020,2020,4.38,1.60,1.74,31.75,21.12
9,5475,紈Щ,2021,2021,52.40,3.26,15.07,9.86,
10,5475,紈Щ,2022,2022,35.40,12.15,1.91,,
