,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,6114,               ,2012,2012,5.66,1.75,2.23,7.17,56.43
1,6114,               ,2013,2013,14.30,3.75,2.81,25.80,21.88
2,6114,               ,2014,2014,100.50,11.50,7.74,6.46,5.48
3,6114,               ,2015,2015,85.80,30.55,1.81,1.44,1.84
4,6114,               ,2016,2016,74.50,42.75,0.74,1.03,0.23
5,6114,               ,2017,2017,86.70,41.10,1.11,0.27,0.34
6,6114,               ,2018,2018,52.40,26.50,0.98,1.08,0.29
7,6114,               ,2019,2019,55.00,32.90,0.67,0.04,-0.02
8,6114,               ,2020,2020,34.30,18.05,0.90,0.78,0.30
9,6114,               ,2021,2021,32.15,21.40,0.50,0.10,
10,6114,               ,2022,2022,23.50,20.40,0.15,,
