,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,4128,いぱ               ,2012,2012,42.80,27.05,0.58,0.47,0.37
1,4128,いぱ               ,2013,2013,39.70,30.20,0.31,0.23,0.04
2,4128,いぱ               ,2014,2014,37.15,24.50,0.52,0.28,0.18
3,4128,いぱ               ,2015,2015,31.40,21.50,0.46,0.34,0.19
4,4128,いぱ               ,2016,2016,28.85,21.50,0.34,0.19,0.10
5,4128,いぱ               ,2017,2017,25.50,20.35,0.25,0.16,-0.12
6,4128,いぱ               ,2018,2018,23.55,12.30,0.91,0.46,11.97
7,4128,いぱ               ,2019,2019,18.00,12.60,0.43,11.66,5.55
8,4128,いぱ               ,2020,2020,159.50,11.65,12.69,6.08,4.92
9,4128,いぱ               ,2021,2021,82.50,50.20,0.64,0.37,
10,4128,いぱ               ,2022,2022,69.00,54.90,0.26,,
