,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,6129,炊港               ,2012,2012,13.35,7.20,0.85,0.42,1.22
1,6129,炊港               ,2013,2013,10.25,7.52,0.36,1.12,0.74
2,6129,炊港               ,2014,2014,15.95,8.20,0.95,0.60,0.30
3,6129,炊港               ,2015,2015,13.10,4.90,1.67,1.17,1.14
4,6129,炊港               ,2016,2016,10.65,6.04,0.76,0.74,0.94
5,6129,炊港               ,2017,2017,10.50,7.15,0.47,0.64,0.31
6,6129,炊港               ,2018,2018,11.70,6.01,0.95,0.56,1.86
7,6129,炊港               ,2019,2019,9.39,6.57,0.43,1.62,7.68
8,6129,炊港               ,2020,2020,17.20,4.55,2.78,11.53,8.01
9,6129,炊港               ,2021,2021,57.00,14.70,2.88,1.79,
10,6129,炊港               ,2022,2022,41.00,26.70,0.54,,
