,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,2337,Щ               ,2012,2012,13.70,7.03,0.95,0.33,0.24
1,2337,Щ               ,2013,2013,9.35,6.25,0.50,0.40,0.26
2,2337,Щ               ,2014,2014,8.74,6.10,0.43,0.29,-0.21
3,2337,Щ               ,2015,2015,7.88,3.83,1.06,0.26,14.90
4,2337,Щ               ,2016,2016,4.84,2.11,1.29,27.86,25.30
5,2337,Щ               ,2017,2017,60.90,4.56,12.36,11.17,7.57
6,2337,Щ               ,2018,2018,55.50,15.15,2.66,1.58,2.10
7,2337,Щ               ,2019,2019,39.10,16.85,1.32,1.78,1.97
8,2337,Щ               ,2020,2020,46.90,22.05,1.13,1.27,1.05
9,2337,Щ               ,2021,2021,50.00,34.00,0.47,0.33,
10,2337,Щ               ,2022,2022,45.15,36.75,0.23,,
