,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,8066,2012,2012,42.80,2.11,19.28,18.72,39.90
1,8066,2013,2013,41.60,15.00,1.77,4.75,7.73
2,8066,2014,2014,86.30,31.00,1.78,3.23,2.58
3,8066,2015,2015,131.00,71.10,0.84,0.56,1.36
4,8066,2016,2016,111.00,81.00,0.37,1.07,0.69
5,8066,2017,2017,167.50,97.50,0.72,0.40,0.32
6,8066,2018,2018,136.50,91.00,0.50,0.41,-0.07
7,8066,2019,2019,128.50,73.50,0.75,0.15,-0.20
8,8066,2020,2020,84.60,50.50,0.68,0.17,-0.28
9,8066,2021,2021,59.00,31.50,0.87,0.15,
10,8066,2022,2022,36.25,27.20,0.33,,
