,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,3633,お               ,2012,2012,26.00,14.70,0.77,1.79,10.47
1,3633,お               ,2013,2013,41.04,17.73,1.31,8.51,1.84
2,3633,お               ,2014,2014,168.63,34.85,3.84,0.44,0.15
3,3633,お               ,2015,2015,50.30,29.62,0.70,0.35,0.35
4,3633,お               ,2016,2016,40.00,28.51,0.40,0.40,0.81
5,3633,お               ,2017,2017,40.00,29.55,0.35,0.75,0.51
6,3633,お               ,2018,2018,51.57,38.10,0.35,0.17,0.17
7,3633,お               ,2019,2019,44.65,38.86,0.15,0.14,0.27
8,3633,お               ,2020,2020,44.45,31.88,0.39,0.54,0.47
9,3633,お               ,2021,2021,49.20,37.05,0.33,0.27,
10,3633,お               ,2022,2022,47.00,39.55,0.19,,
