,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,3205,ㄕ               ,2012,2012,24.70,12.70,0.94,1.76,1.91
1,3205,ㄕ               ,2013,2013,35.00,17.85,0.96,1.07,18.61
2,3205,ㄕ               ,2014,2014,36.90,23.70,0.56,13.77,13.68
3,3205,ㄕ               ,2015,2015,350.00,28.40,11.32,11.25,4.28
4,3205,ㄕ               ,2016,2016,348.00,94.10,2.70,0.59,-0.07
5,3205,ㄕ               ,2017,2017,150.00,58.50,1.56,0.50,0.15
6,3205,ㄕ               ,2018,2018,87.70,36.70,1.39,0.83,0.43
7,3205,ㄕ               ,2019,2019,67.30,45.15,0.49,0.17,-0.24
8,3205,ㄕ               ,2020,2020,52.60,26.05,1.02,0.32,0.07
9,3205,ㄕ               ,2021,2021,34.40,24.50,0.40,0.13,
10,3205,ㄕ               ,2022,2022,27.75,20.65,0.34,,
