,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,2496,禫               ,2012,2012,12.45,4.00,2.11,1.72,1.06
1,2496,禫               ,2013,2013,10.90,5.78,0.89,0.42,1.95
2,2496,禫               ,2014,2014,8.23,4.61,0.79,2.70,22.64
3,2496,禫               ,2015,2015,17.05,6.28,1.71,16.36,54.10
4,2496,禫               ,2016,2016,109.00,12.50,7.72,26.68,15.36
5,2496,禫               ,2017,2017,346.00,92.00,2.76,1.22,0.20
6,2496,禫               ,2018,2018,204.50,75.50,1.71,0.46,0.05
7,2496,禫               ,2019,2019,110.00,61.40,0.79,0.29,0.02
8,2496,禫               ,2020,2020,79.50,46.80,0.70,0.34,0.07
9,2496,禫               ,2021,2021,62.90,48.00,0.31,0.05,
10,2496,禫               ,2022,2022,50.30,46.95,0.07,,
