,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,2609,2012,2012,18.20,10.90,0.67,0.43,0.57
1,2609,2013,2013,15.60,12.05,0.29,0.42,0.60
2,2609,2014,2014,17.10,11.95,0.43,0.61,-0.17
3,2609,2015,2015,19.25,7.52,1.56,0.32,1.33
4,2609,2016,2016,9.95,4.40,1.26,2.99,1.85
5,2609,2017,2017,17.55,4.86,2.61,1.58,0.91
6,2609,2018,2018,12.55,7.20,0.74,0.29,3.06
7,2609,2019,2019,9.29,6.90,0.35,3.24,32.99
8,2609,2020,2020,29.25,4.72,5.20,48.68,28.13
9,2609,2021,2021,234.50,18.75,11.51,6.33,
10,2609,2022,2022,137.50,95.10,0.45,,
