,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,6242,ミ眃,2012,2012,16.65,9.07,0.84,0.31,6.08
1,6242,ミ眃,2013,2013,11.85,4.39,1.70,13.62,11.57
2,6242,ミ眃,2014,2014,64.20,4.38,13.66,11.60,11.31
3,6242,ミ眃,2015,2015,55.20,44.00,0.25,0.22,0.79
4,6242,ミ眃,2016,2016,53.90,40.50,0.33,0.94,1.13
5,6242,ミ眃,2017,2017,78.60,42.50,0.85,1.03,0.20
6,6242,ミ眃,2018,2018,86.10,41.50,1.07,0.23,0.01
7,6242,ミ眃,2019,2019,51.00,39.55,0.29,0.06,0.84
8,6242,ミ眃,2020,2020,42.00,29.30,0.43,1.49,1.82
9,6242,ミ眃,2021,2021,72.90,37.00,0.97,1.23,
10,6242,ミ眃,2022,2022,82.50,37.50,1.20,,
