,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,6150,举癟,2012,2012,24.50,11.00,1.23,0.64,0.75
1,6150,举癟,2013,2013,18.05,9.60,0.88,1.00,0.24
2,6150,举癟,2014,2014,19.20,10.00,0.92,0.20,1.08
3,6150,举癟,2015,2015,11.95,4.05,1.95,4.15,21.10
4,6150,举癟,2016,2016,20.85,5.72,2.65,14.65,72.43
5,6150,举癟,2017,2017,89.50,15.80,4.66,25.58,4.71
6,6150,举癟,2018,2018,420.00,40.20,9.45,1.24,2.71
7,6150,举癟,2019,2019,90.20,50.10,0.80,1.97,3.89
8,6150,举癟,2020,2020,149.00,25.75,4.79,8.51,6.13
9,6150,举癟,2021,2021,245.00,82.30,1.98,1.23,
10,6150,举癟,2022,2022,183.50,90.10,1.04,,
