,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,8941,2012,2012,25.40,3.33,6.63,7.66,26.78
1,8941,2013,2013,28.85,2.46,10.73,36.60,41.68
2,8941,2014,2014,92.50,17.80,4.20,4.90,4.13
3,8941,2015,2015,105.00,58.10,0.81,0.57,0.30
4,8941,2016,2016,91.30,65.40,0.40,0.16,0.25
5,8941,2017,2017,75.70,57.30,0.32,0.43,-0.02
6,8941,2018,2018,82.00,40.15,1.04,0.39,0.09
7,8941,2019,2019,56.00,42.10,0.33,0.04,0.04
8,8941,2020,2020,43.95,29.90,0.47,0.46,0.39
9,8941,2021,2021,43.60,33.75,0.29,0.23,
10,8941,2022,2022,41.60,36.00,0.16,,
