,股票代號,股票名稱,股利發放年度,股價年度,年度最高價,年度最低價,p0,p1,p2
0,5351,鈺創               ,2012,2012,13.15,6.51,1.02,1.64,1.90
1,5351,鈺創               ,2013,2013,17.20,8.20,1.10,1.30,1.76
2,5351,鈺創               ,2014,2014,18.90,13.00,0.45,0.74,0.13
3,5351,鈺創               ,2015,2015,22.60,8.73,1.59,0.68,0.96
4,5351,鈺創               ,2016,2016,14.65,10.05,0.46,0.71,0.67
5,5351,鈺創               ,2017,2017,17.15,10.65,0.61,0.58,0.15
6,5351,鈺創               ,2018,2018,16.80,7.95,1.11,0.54,2.48
7,5351,鈺創               ,2019,2019,12.25,8.65,0.42,2.20,11.02
8,5351,鈺創               ,2020,2020,27.70,4.14,5.69,24.12,21.46
9,5351,鈺創               ,2021,2021,104.00,19.70,4.28,3.72,
10,5351,鈺創               ,2022,2022,93.00,57.50,0.62,,
