,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,4743,,2012,2012,50.30,17.80,1.83,3.10,3.83
1,4743,,2013,2013,72.90,37.70,0.93,1.28,0.58
2,4743,,2014,2014,86.00,38.70,1.22,0.54,0.11
3,4743,,2015,2015,59.50,24.50,1.43,0.75,0.44
4,4743,,2016,2016,42.80,26.25,0.63,0.35,0.65
5,4743,,2017,2017,35.35,19.70,0.79,1.19,0.79
6,4743,,2018,2018,43.20,19.00,1.27,0.85,24.08
7,4743,,2019,2019,35.20,26.20,0.34,17.19,11.90
8,4743,,2020,2020,476.50,19.40,23.56,16.42,13.82
9,4743,,2021,2021,338.00,165.00,1.05,0.74,
10,4743,,2022,2022,287.50,171.00,0.68,,
