,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,4431,2012,2012,29.50,24.30,0.21,0.26,0.39
1,4431,2013,2013,30.50,25.21,0.21,0.34,0.62
2,4431,2014,2014,33.69,25.18,0.34,0.62,0.69
3,4431,2015,2015,40.84,23.76,0.72,0.79,0.57
4,4431,2016,2016,42.63,31.00,0.38,0.21,0.08
5,4431,2017,2017,37.40,28.43,0.32,0.17,-0.27
6,4431,2018,2018,33.36,19.20,0.74,0.09,16.50
7,4431,2019,2019,20.89,13.34,0.57,24.19,5.86
8,4431,2020,2020,336.00,14.71,21.84,5.22,1.25
9,4431,2021,2021,91.50,23.90,2.83,0.39,
10,4431,2022,2022,33.15,17.25,0.92,,
