,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,2615,2012,2012,17.65,13.10,0.35,0.35,1.21
1,2615,2013,2013,17.65,14.35,0.23,1.02,1.70
2,2615,2014,2014,29.00,14.05,1.06,1.76,0.54
3,2615,2015,2015,38.80,15.20,1.55,0.43,0.40
4,2615,2016,2016,21.70,14.60,0.49,0.46,0.39
5,2615,2017,2017,21.35,16.30,0.31,0.25,0.44
6,2615,2018,2018,20.30,15.00,0.35,0.56,2.85
7,2615,2019,2019,23.40,15.45,0.51,2.73,21.85
8,2615,2020,2020,57.70,11.85,3.87,28.79,16.30
9,2615,2021,2021,353.00,40.60,7.69,4.05,
10,2615,2022,2022,205.00,138.50,0.48,,
