"98年07月30日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1614","三洋電","40.74","0.94","2.04",
"1615","大山","24.59","2.99","0.72",
"1616","億泰","-","0.00","0.52",
"1617","榮星","-","0.00","0.57",
"1618","合機","-","0.92","0.88",
"1701","中化","282.50","0.88","1.66",
"1702","南僑","-","0.00","1.36",
"1704","榮化","10.70","6.11","1.40",
"1707","葡萄王","15.67","4.28","1.78",
"1708","東鹼","11.28","4.60","1.62",
"1709","和益","11.20","4.13","0.88",
"1710","東聯","25.95","4.88","1.30",
"1711","永光","270.71","1.06","1.42",
"1712","興農","13.56","5.32","1.13",
"1713","國化","278.75","0.90","0.78",
"1714","和桐","10.99","4.72","1.00",
"1715","萬洲","25.77","1.44","0.60",
"1716","永信","19.92","3.96","1.82",
"1717","長興","10.38","5.93","1.34",
"1718","中纖","-","0.00","0.61",
"1720","生達","15.54","5.19","1.71",
"1721","三晃","-","0.00","0.85",
"1722","台肥","63.17","1.71","2.05",
"1723","中碳","12.07","7.20","3.17",
"1724","台硝","17.42","6.32","0.86",
"1725","元禎","12.32","0.00","1.71",
"1726","永記","15.33","4.57","1.10",
"1727","中華化","13.45","5.26","1.13",
"1729","必翔","57.98","1.52","4.58",
"1730","花仙子","23.92","3.48","1.14",
"1731","美吾華","36.42","1.37","1.59",
"1732","毛寶","72.50","0.00","1.28",
"1733","五鼎","18.61","4.85","4.38",
"1734","杏輝","53.16","1.09","2.06",
"1735","日勝化","-","0.00","0.82",
"1736","喬山","-","1.45","1.33",
"1737","臺鹽","-","0.00","0.95",
"1773","勝一","10.85","6.49","1.13",
"1802","台玻","103.18","2.20","1.13",
"1805","寶徠","-","0.00","0.92",
"1806","冠軍","26.54","1.45","0.73",
"1808","潤隆","10.14","8.04","1.55",
"1809","中釉","21.57","0.00","0.76",
"1810","和成","-","0.00","0.57",
"1902","台紙","-","0.00","0.59",
"1903","士紙","-","0.00","4.59",
"1904","正隆","48.64","0.00","0.69",
"1905","華紙","-","1.25","0.89",
"1906","寶隆","14.03","0.00","0.53",
"1907","永豐餘","-","0.00","0.97",
"1909","榮成","-","0.00","0.57",
"2002","中鋼","78.97","5.62","1.67",
"2006","東和鋼鐵","48.40","5.16","1.62",
"2007","燁興","-","0.00","0.30",
"2008","高興昌","-","0.00","1.50",
"2009","第一銅","-","0.00","1.00",
"2010","春源","-","4.72","0.66",
"2012","春雨","138.71","6.18","0.80",
"2013","中鋼構","14.32","4.76","0.99",
"2014","中鴻","-","0.00","2.54",
"2015","豐興","25.30","3.99","2.21",
"2017","官田鋼","-","0.00","0.85",
"2020","美亞","-","0.00","1.19",
"2022","聚亨","-","0.00","0.64",
"2023","燁輝","61.36","3.70","0.72",
"2024","志聯","-","0.00","0.49",
"2025","千興","-","0.00","0.81",
"2027","大成鋼","-","0.00","1.50",
"2028","威致","-","0.00","1.11",
"2029","盛餘","23.41","5.99","1.04",
"2030","彰源","-","0.00","1.36",
"2031","新光鋼","-","2.41","1.72",
"2032","新鋼","-","0.00","1.35",
"2033","佳大","18.20","5.86","1.73",
"2034","允強","-","0.68","1.74",
"2038","海光","7.30","9.71","1.22",
"2049","上銀","8.41","1.99","1.75",
"2059","川湖","19.69","2.13","5.28",
"2062","橋椿","11.37","4.56","0.94",
"2101","南港","-","0.00","2.46",
"2102","泰豐","-","0.00","0.83",
"2103","台橡","10.42","7.23","2.05",
"2104","國際中橡","41.47","4.82","1.19",
"2105","正新","23.70","3.13","3.02",
"2106","建大","28.99","1.69","2.61",
"2107","厚生","11.10","2.49","1.36",
"2108","南帝","14.46","6.29","1.58",
"2109","華豐","-","0.00","0.86",
"2201","裕隆","-","0.24","0.90",
"2204","中華","-","0.00","0.78",
"2206","三陽工業","-","0.00","0.88",
"2207","和泰車","18.36","3.24","2.09",
"2208","台船","28.43","3.05","2.08",
"2227","裕日車","43.19","0.00","1.52",
"2301","光寶科","20.05","3.89","1.40",
"2302","麗正","-","0.00","0.27",
"2303","聯電","-","0.00","0.99",
"2305","全友","-","0.00","0.51",
"2308","台達電","19.76","4.34","2.92",
"2311","日月光","54.02","2.26","1.81",
"2312","金寶","-","0.00","0.57",
"2313","華通","50.28","0.00","0.65",
"2314","台揚","22.54","3.58","1.19",
"2315","神達","-","1.35","0.72",
"2316","楠梓電","-","0.00","0.58",
"2317","鴻海","18.41","2.31","2.52",
"2321","東訊","-","0.00","1.68",
"2323","中環","-","0.00","0.56",
"2324","仁寶","10.30","4.68","1.54",
"2325","矽品","27.97","4.21","2.24",
"2327","國巨","-","1.27","0.64",
"2328","廣宇","34.10","1.50","1.63",
"2329","華泰","-","0.00","0.57",
"2330","台積電","19.65","5.39","2.98",
"2331","精英","46.79","1.91","0.74",
"2332","友訊","33.54","6.37","1.24",
"2337","旺宏","12.48","6.25","1.46",
"2338","光罩","-","5.78","0.84",
"2340","台亞","78.61","0.85","2.48",
"2341","英群","-","0.00","1.38",
"2342","茂矽","-","0.00","1.52",
"2344","華邦電","-","0.00","0.70",
"2345","智邦","15.71","6.00","0.81",
"2347","聯強","26.67","3.59","2.61",
"2348","海悅","-","0.00","0.41",
"2349","錸德","-","0.00","0.73",
"2350","環電","-","2.49","0.90",
"2351","順德","69.06","1.36","1.29",
"2352","佳世達","-","0.00","1.47",
"2353","宏碁","16.94","3.06","2.12",
"2354","鴻準","14.10","2.57","1.77",
"2355","敬鵬","10.65","3.37","0.74",
"2356","英業達","8.57","10.55","1.21",
"2357","華碩","22.37","3.96","1.27",
"2358","廷鑫","11.69","0.00","0.91",
"2359","所羅門","-","0.00","-",
"2360","致茂","19.42","5.32","2.65",
"2361","鴻友","-","0.00","0.44",
"2362","藍天","41.04","1.06","3.94",
"2363","矽統","-","0.00","1.64",
"2364","倫飛","-","0.00","0.60",
"2365","昆盈","10.94","6.93","1.82",
"2367","燿華","-","0.00","0.65",
"2368","金像電","84.62","2.73","0.64",
"2369","菱生","34.86","3.19","0.83",
"2371","大同","-","0.00","1.12",
"2373","震旦行","17.07","3.57","2.08",
"2374","佳能","16.43","3.65","2.78",
"2375","凱美","-","0.00","0.48",
"2376","技嘉","15.86","4.35","0.75",
"2377","微星","19.74","4.33","0.92",
"2379","瑞昱","54.86","2.18","2.31",
"2380","虹光","12.80","2.70","0.55",
"2382","廣達","11.03","5.78","2.45",
"2383","台光電","29.77","1.65","1.43",
"2384","勝華","-","0.00","1.11",
"2385","群光","15.95","3.92","4.54",
"2387","精元","12.97","3.35","2.16",
"2388","威盛","-","0.00","2.90",
"2390","云辰","-","0.00","0.51",
"2391","合勤","40.39","1.46","1.15",
"2392","正崴","17.55","4.51","1.58",
"2393","億光","27.34","3.50","3.34",
"2395","研華","11.18","6.09","2.14",
"2397","友通","11.54","7.88","1.83",
"2399","映泰","14.70","0.00","1.78",
"2401","凌陽","-","0.00","1.06",
"2402","毅嘉","-","0.00","0.89",
"2403","友尚","12.17","8.00","1.24",
"2404","漢唐","9.37","5.95","1.01",
"2405","輔信","384.00","0.00","1.54",
"2406","國碩","-","0.00","1.28",
"2408","南亞科","-","0.00","1.58",
"2409","友達","-","1.64","1.15",
"2412","中華電","14.15","5.82","1.65",
"2413","環科","41.25","0.00","0.81",
"2414","精技","18.13","6.90","1.14",
"2415","錩新","66.25","2.36","0.69",
"2417","圓剛","10.84","6.48","2.12",
"2419","仲琦","20.54","4.01","1.09",
"2420","新巨","11.57","5.86","1.02",
"2421","建準","49.31","3.89","1.30",
"2423","固緯","12.92","6.45","1.06",
"2424","隴華","-","0.00","1.18",
"2425","承啟","-","0.00","0.99",
"2426","鼎元","-","0.00","2.01",
"2427","三商電","639.00","0.00","0.57",
"2428","興勤","13.04","3.50","1.56",
"2429","銘旺科","-","0.00","1.86",
"2430","燦坤","19.86","4.17","1.73",
"2431","聯昌","-","0.00","1.11",
"2433","互盛電","7.26","12.30","1.07",
"2434","統懋","-","0.00","1.29",
"2436","偉詮電","92.86","0.00","2.49",
"2437","旺詮","15.08","5.07","0.71",
"2438","翔耀","-","0.00","0.19",
"2439","美律","11.00","7.83","1.20",
"2440","太空梭","-","0.00","0.67",
"2441","超豐","12.81","6.17","1.73",
"2442","新美齊","-","0.00","1.55",
"2443","昶虹","-","0.00","0.48",
"2444","兆勁","-","0.00","1.38",
"2446","全懋","-","0.00","1.35",
"2448","晶電","-","0.13","2.63",
"2449","京元電子","-","0.93","0.80",
"2450","神腦","9.54","9.59","2.27",
"2451","創見","14.16","3.41","2.56",
"2452","乾坤","14.68","4.79","2.66",
"2453","凌群","32.14","0.00","0.60",
"2454","聯發科","23.48","2.90","5.81",
"2455","全新","-","0.00","4.64",
"2456","奇力新","27.27","2.50","0.83",
"2457","飛宏","14.13","3.86","1.27",
"2458","義隆","151.94","0.84","4.09",
"2459","敦吉","11.09","6.94","0.64",
"2460","建通","11.48","7.14","1.25",
"2461","光群雷","28.48","1.53","0.81",
"2462","良得電","10.65","3.79","2.18",
"2463","研揚","12.05","6.15","2.69",
"2464","盟立","8.69","9.59","1.29",
"2465","麗臺","-","0.00","0.82",
"2466","冠西電","-","0.00","2.53",
"2467","志聖","9.05","4.22","0.77",
"2468","華經","9.91","6.09","0.73",
"2471","資通","-","0.00","0.53",
"2472","立隆電","21.49","0.00","0.59",
"2473","思源","15.73","3.39","1.10",
"2474","可成","12.76","2.27","1.70",
"2475","華映","-","0.00","0.67",
"2476","鉅祥","15.58","7.11","1.12",
"2477","美隆電","-","2.51","0.71",
"2478","大毅","21.30","3.27","1.21",
"2480","敦陽科","8.62","10.60","0.78",
"2481","強茂","-","1.95","1.18",
"2482","連宇","45.23","0.00","1.46",
"2483","百容","45.87","2.84","0.55",
"2484","希華","23.33","5.71","0.68",
"2485","兆赫","13.51","4.59","3.10",
"2486","一詮","20.42","3.91","2.22",
"2488","漢平","8.29","7.63","0.77",
"2489","瑞軒","13.45","6.09","1.36",
"2491","吉祥全","-","0.00","0.46",
"2492","華新科","-","0.00","0.58",
"2493","揚博","153.33","2.72","0.61",
"2495","普安","10.69","8.63","2.33",
"2496","卓越","-","0.00","1.94",
"2497","怡利電","-","0.00","2.29",
"2498","宏達電","12.57","6.14","5.09",
"2499","東貝","329.58","0.00","2.30",
"2501","國建","77.78","0.00","1.27",
"2504","國產","42.14","1.41","1.21",
"2505","國揚","-","0.00","1.10",
"2506","太設","-","0.00","0.48",
"2509","全坤建","14.30","5.67","1.25",
"2511","太子","-","0.00","1.42",
"2514","龍邦","-","0.00","1.79",
"2515","中工","-","1.40","0.71",
"2516","新建","9.58","0.00","0.89",
"2520","冠德","22.13","2.40","1.39",
"2524","京城","16.57","0.00","1.88",
"2526","大陸","56.19","2.97","0.64",
"2527","宏璟","101.67","1.64","1.35",
"2528","皇普","-","0.00","0.58",
"2530","華建","-","0.00","0.88",
"2534","宏盛","-","6.67","0.86",
"2535","達欣工","22.03","3.85","1.72",
"2536","宏普","7.15","6.11","1.37",
"2537","聯上發","-","0.00","0.72",
"2538","基泰","12.97","3.92","1.07",
"2539","櫻花建","10.07","0.00","0.44",
"2540","愛山林","1.07","0.00","0.62",
"2542","興富發","13.66","7.19","2.59",
"2543","皇昌","20.91","0.00","0.58",
"2545","皇翔","28.54","2.02","3.38",
"2546","根基","15.68","2.55","1.50",
"2547","日勝生","-","1.39","1.74",
"2548","華固","7.03","6.11","2.54",
"2601","益航","5.62","4.35","1.96",
"2603","長榮","-","0.00","0.97",
"2605","新興","7.48","6.39","1.61",
"2606","裕民","5.99","9.55","1.81",
"2607","榮運","36.30","0.00","1.60",
"2608","嘉里大榮","24.93","2.91","1.37",
"2609","陽明","-","1.20","0.72",
"2610","華航","-","0.00","1.45",
"2611","志信","84.71","0.00","1.20",
"2612","中航","5.32","7.62","2.28",
"2613","中櫃","11.30","0.00","1.11",
"2614","東森","-","0.00","0.62",
"2615","萬海","-","0.00","1.26",
"2616","山隆","12.84","3.57","0.77",
"2617","台航","7.23","6.80","2.46",
"2618","長榮航","-","0.00","1.38",
"2701","萬企","30.43","2.94","0.85",
"2702","華園","69.70","1.00","2.74",
"2704","國賓","61.41","1.27","1.88",
"2705","六福","-","0.00","1.65",
"2706","第一店","23.72","3.71","1.42",
"2707","晶華","49.10","2.45","11.00",
"2801","彰銀","15.93","4.14","0.86",
"2809","京城銀","-","0.00","0.75",
"2812","台中銀","-","1.21","0.74",
"2816","旺旺保","-","0.00","0.99",
"2820","華票","11.13","9.19","0.73",
"2823","中壽","5.58","0.00","2.47",
"2832","台產","-","0.00","2.46",
"2833","台壽保","-","0.00","2.75",
"2834","臺企銀","-","0.00","0.80",
"2836","高雄銀","-","0.00","0.59",
"2837","萬泰銀","-","0.00","0.45",
"2838","聯邦銀","-","0.00","0.65",
"2841","台開","91.11","2.99","1.53",
"2845","遠東銀","-","0.00","0.76",
"2847","大眾銀","-","0.00","0.56",
"2849","安泰銀","-","0.00","0.69",
"2850","新產","10.74","0.00","1.11",
"2851","中再保","17.82","0.00","0.98",
