"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","14.16","7.89","1.19",
"1102","亞泥","8.41","11.36","1.17",
"1103","嘉泥","13.60","7.91","0.59",
"1104","環泥","17.33","6.32","0.67",
"1108","幸福","16.40","4.36","0.54",
"1109","信大","18.20","6.24","0.58",
"1110","東泥","22.38","4.58","0.61",
"1201","味全","20.19","0.00","2.22",
"1203","味王","55.60","0.00","0.90",
"1210","大成","9.07","7.73","1.31",
"1213","大飲","77.00","0.00","0.61",
"1215","卜蜂","8.33","8.70","1.02",
"1216","統一","12.30","8.99","1.78",
"1217","愛之味","-","0.00","0.72",
"1218","泰山","22.47","0.00","0.66",
"1219","福壽","10.00","6.67","0.59",
"1220","台榮","-","0.00","0.57",
"1225","福懋油","7.83","3.43","0.59",
"1227","佳格","8.95","4.05","1.44",
"1229","聯華","7.53","10.48","0.60",
"1231","聯華食","12.64","6.88","0.59",
"1232","大統益","5.89","10.61","1.50",
"1233","天仁","15.48","5.48","1.93",
"1234","黑松","52.11","2.73","0.56",
"1235","興泰","17.57","4.35","2.52",
"1236","宏亞","7.47","10.48","0.90",
"1301","台塑","5.97","14.18","1.30",
"1303","南亞","6.70","18.98","1.10",
"1304","台聚","5.48","13.10","0.77",
"1305","華夏","8.16","0.00","0.68",
"1307","三芳","6.50","8.67","1.12",
"1308","亞聚","4.83","12.42","0.75",
"1309","台達化","66.00","9.47","0.34",
"1310","台苯","-","8.12","0.65",
"1312","國喬","14.44","0.00","0.35",
"1313","聯成","5.08","14.07","0.58",
"1314","中石化","647.00","9.27","0.51",
"1315","達新","10.63","7.95","0.68",
"1316","上曜","-","0.00","0.29",
"1319","東陽","6.30","7.14","0.61",
"1321","大洋","-","0.00","0.82",
"1323","永裕","8.16","8.83","0.66",
"1324","地球","54.33","0.00","0.68",
"1325","恆大","6.03","6.73","0.63",
"1326","台化","5.74","17.52","1.06",
"1402","遠東新","13.47","8.44","1.26",
"1409","新纖","16.76","4.77","0.40",
"1410","南染","-","0.00","0.73",
"1413","宏洲","-","0.00","0.29",
"1414","東和","-","0.00","0.27",
"1416","廣豐","-","0.00","0.48",
"1417","嘉裕","14.85","0.00","0.39",
"1418","東華","-","0.00","0.21",
"1419","新紡","261.00","1.92","0.89",
"1423","利華","-","13.40","0.26",
"1432","大魯閣","2.12","0.00","0.09",
"1434","福懋","7.75","18.60","0.62",
"1435","中福","200.00","0.00","0.45",
"1436","華友聯","-","0.00","0.69",
"1437","勤益控","-","2.68","0.43",
"1438","三地開發","-","0.00","1.56",
"1439","雋揚","50.95","0.00","0.73",
"1440","南紡","13.53","9.43","0.44",
"1441","大東","-","0.00","0.46",
"1442","名軒","4.88","0.00","0.95",
"1443","立益物流","-","0.00","0.23",
"1444","力麗","7.68","0.00","0.40",
"1445","大宇","11.58","9.09","0.35",
"1446","宏和","19.03","4.58","0.43",
"1447","力鵬","-","0.00","0.31",
"1449","佳和","-","0.00","0.22",
"1451","年興","8.76","18.61","0.45",
"1452","宏益","-","7.51","0.47",
"1453","大將","1.87","0.00","0.50",
"1454","台富","20.04","0.00","0.42",
"1455","集盛","12.93","8.00","0.31",
"1456","怡華","2.41","0.00","0.33",
"1457","宜進","14.25","0.00","0.28",
"1459","聯發","-","11.20","0.53",
"1460","宏遠","-","4.82","0.39",
"1463","強盛","-","0.00","0.26",
"1464","得力","-","3.92","0.46",
"1465","偉全","8.43","9.78","0.41",
"1466","聚隆","284.00","0.00","0.32",
"1467","南緯","-","12.17","0.45",
"1468","昶和","-","0.00","0.87",
"1469","理隆","-","0.00","0.84",
"1470","大統新創","20.53","0.00","1.04",
"1471","首利","-","1.16","0.60",
"1472","三洋實業","-","0.00","0.20",
"1473","台南","7.69","14.33","0.64",
"1474","弘裕","29.00","14.37","0.28",
"1475","業旺","-","0.00","0.39",
"1476","儒鴻","8.17","13.27","0.68",
"1477","聚陽","6.34","25.19","1.19",
"1503","士電","14.55","4.12","1.22",
"1504","東元","9.62","10.00","0.55",
"1506","正道","-","0.00","1.44",
"1507","永大","9.55","7.81","0.60",
"1512","瑞利","13.05","12.10","0.39",
"1513","中興電","11.35","10.11","0.93",
"1514","亞力","82.00","5.49","0.41",
"1515","力山","-","0.00","0.35",
"1516","川飛","-","0.00","2.36",
"1517","利奇","9.18","7.69","0.68",
"1519","華城","9.45","8.82","2.11",
"1521","大億","8.54","15.27","0.60",
"1522","堤維西","7.30","7.86","0.57",
"1523","開億","5.29","0.91","0.54",
"1524","耿鼎","16.13","4.13","0.54",
"1525","江申","6.38","8.47","0.44",
"1526","日馳","13.60","0.00","0.88",
"1527","鑽全","-","15.40","0.98",
"1528","恩德","8.51","25.60","0.45",
"1529","樂事綠能","-","0.00","0.20",
"1530","亞崴","4.07","20.04","0.97",
"1531","高林股","5.86","13.82","0.53",
"1532","勤美","5.43","7.30","0.69",
"1533","車王電","14.06","11.29","0.45",
"1535","中宇","9.25","5.84","1.97",
"1536","和大","7.50","17.36","0.67",
"1537","廣隆","4.05","15.93","0.72",
"1538","正峰","7.55","0.00","1.25",
"1539","巨庭","52.75","7.11","0.33",
"1540","喬福","5.54","17.75","1.08",
"1541","錩泰","17.53","10.07","0.52",
"1560","中砂","8.63","12.15","0.85",
"1583","程泰","4.58","21.39","0.93",
"1603","華電","7.70","0.00","0.50",
"1604","聲寶","10.28","0.00","0.54",
"1605","華新","52.08","4.80","0.34",
"1608","華榮","-","14.20","0.41",
"1609","大亞","10.38","2.78","0.41",
"1611","中電","8.60","11.16","0.76",
"1612","宏泰","11.36","19.30","0.56",
"1613","台一","11.26","0.00","0.30",
"1614","三洋電","14.26","6.43","1.06",
"1615","大山","4.73","11.74","0.64",
"1616","億泰","41.80","0.00","0.34",
"1617","榮星","7.12","4.13","0.34",
"1618","合機","9.15","0.00","0.34",
"1701","中化","17.84","3.79","0.95",
"1702","南僑","162.67","0.00","0.59",
"1704","榮化","6.57","11.97","1.01",
"1707","葡萄王","13.67","8.05","1.20",
"1708","東鹼","7.34","5.40","1.41",
"1709","和益","5.41","6.43","0.71",
"1710","東聯","4.58","17.52","0.86",
"1711","永光","18.86","3.18","0.70",
"1712","興農","6.78","7.13","0.64",
"1713","國化","21.67","4.20","0.49",
"1714","和桐","7.00","0.00","0.67",
"1715","萬洲","30.54","6.81","0.77",
"1716","永信","14.36","7.18","1.43",
"1717","長興","6.13","15.79","0.84",
"1718","中纖","83.40","19.90","0.37",
"1720","生達","12.33","6.38","1.21",
"1721","三晃","-","0.00","0.69",
"1722","台肥","16.52","6.18","1.09",
"1723","中碳","7.77","10.74","2.59",
"1724","台硝","14.47","10.74","0.57",
"1725","元禎","8.28","10.69","1.52",
"1726","永記","8.88","7.24","0.87",
"1727","中華化","7.70","3.65","1.01",
"1729","必翔","31.81","3.64","2.94",
"1730","花仙子","13.61","8.43","0.69",
"1731","美吾華","26.70","1.87","1.00",
"1732","毛寶","33.72","5.93","0.75",
"1733","五鼎","12.77","9.00","3.14",
"1734","杏輝","46.67","3.27","1.31",
"1735","日勝化","13.52","12.86","0.47",
"1736","喬山","8.79","5.81","0.76",
"1737","臺鹽","-","3.85","0.56",
"1802","台玻","15.30","6.82","0.90",
"1805","寶徠","-","0.00","0.64",
"1806","冠軍","6.12","10.13","0.57",
"1808","潤隆","7.95","21.43","1.05",
"1809","中釉","12.20","3.79","0.46",
"1810","和成","-","0.00","0.41",
"1902","台紙","3.24","0.00","0.44",
"1903","士紙","-","0.00","1.04",
"1904","正隆","8.22","6.01","0.43",
"1905","華紙","7.70","12.42","0.60",
"1906","寶隆","7.89","0.00","0.38",
"1907","永豐餘","9.09","8.68","0.56",
"1909","榮成","14.38","8.44","0.41",
"2002","中鋼","5.67","16.10","1.35",
"2006","東和鋼鐵","4.45","14.55","0.97",
"2007","燁興","-","0.00","0.21",
"2008","高興昌","3.46","0.00","0.66",
"2009","第一銅","10.88","16.89","0.48",
"2010","春源","4.12","7.53","0.52",
"2012","春雨","5.84","6.85","0.56",
"2013","中鋼構","7.43","9.23","0.68",
