"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1617","榮星","-","0.00","0.60",
"1618","合機","-","0.91","0.54",
"1701","中化","54.02","0.80","1.76",
"1702","南僑","24.65","0.00","2.63",
"1704","榮化","11.89","5.21","1.68",
"1707","葡萄王","21.43","2.06","3.55",
"1708","東鹼","26.92","4.64","1.55",
"1709","和益","29.88","3.89","0.94",
"1710","東聯","46.48","3.98","1.55",
"1711","永光","139.20","0.57","2.53",
"1712","興農","19.72","5.63","1.10",
"1713","國化","-","0.87","0.80",
"1714","和桐","17.50","3.49","1.33",
"1715","萬洲","14.32","1.23","0.69",
"1716","永信","18.14","4.05","1.85",
"1717","長興","10.18","5.02","1.62",
"1718","中纖","-","0.00","0.65",
"1720","生達","16.40","5.23","1.73",
"1722","台肥","167.69","1.65","2.16",
"1723","中碳","17.19","5.42","4.33",
"1724","台硝","27.09","5.67","1.01",
"1725","元禎","21.25","0.00","1.34",
"1726","永記","12.91","4.08","1.23",
"1727","中華化","40.71","4.68","1.32",
"1729","必翔","759.00","1.30","4.82",
"1730","花仙子","15.40","2.90","1.36",
"1731","美吾華","34.50","1.74","1.16",
"1732","毛寶","31.58","0.00","1.54",
"1733","五鼎","19.88","4.64","4.53",
"1734","杏輝","32.83","1.02","1.98",
"1735","日勝化","18.43","0.00","1.16",
"1736","喬山","-","0.97","2.14",
"1737","臺鹽","39.42","0.00","0.87",
"1773","勝一","16.90","4.44","1.63",
"1802","台玻","-","1.95","1.30",
"1805","寶徠","-","0.00","1.69",
"1806","冠軍","32.42","0.70","1.50",
"1808","潤隆","8.53","9.38","1.42",
"1809","中釉","16.59","0.00","1.42",
"1810","和成","-","0.00","0.75",
"1902","台紙","-","0.00","0.64",
"1903","士紙","-","0.00","4.51",
"1904","正隆","60.45","0.00","0.83",
"1905","華紙","-","0.93","1.25",
"1906","寶隆","-","0.00","0.67",
"1907","永豐餘","-","0.00","1.04",
"1909","榮成","-","0.00","0.93",
"2002","中鋼","-","5.67","1.78",
"2006","東和鋼鐵","-","5.52","1.60",
"2007","燁興","-","0.00","0.64",
"2008","高興昌","-","0.00","1.25",
"2009","第一銅","-","0.00","1.14",
"2010","春源","-","4.15","0.76",
"2012","春雨","-","6.59","0.85",
"2013","中鋼構","25.10","3.73","1.25",
"2014","中鴻","-","0.00","1.81",
"2015","豐興","-","3.90","2.18",
"2017","官田鋼","-","0.00","0.81",
"2020","美亞","-","0.00","1.73",
"2022","聚亨","-","0.00","0.62",
"2023","燁輝","-","4.27","0.65",
"2024","志聯","-","0.00","0.51",
"2025","千興","-","0.00","0.82",
"2027","大成鋼","-","0.00","1.17",
"2028","威致","-","0.00","1.50",
"2029","盛餘","-","6.54","1.03",
"2030","彰源","-","0.00","1.28",
"2031","新光鋼","-","2.52","1.36",
"2032","新鋼","-","0.00","1.25",
"2033","佳大","-","6.34","1.86",
"2034","允強","-","0.78","1.54",
"2038","海光","-","10.15","1.18",
"2049","上銀","55.49","1.52","2.00",
"2059","川湖","22.45","2.40","4.90",
"2062","橋椿","15.39","3.72","1.18",
"2101","南港","92.50","0.00","2.34",
"2102","泰豐","40.16","0.00","1.17",
"2103","台橡","13.91","7.19","2.20",
"2104","國際中橡","-","4.43","1.47",
"2105","正新","11.38","2.76","3.27",
"2106","建大","10.60","1.94","2.19",
"2107","厚生","13.77","1.78","1.71",
"2108","南帝","17.46","6.94","1.54",
"2109","華豐","67.12","0.00","1.34",
"2201","裕隆","44.49","0.20","1.04",
"2204","中華","-","0.00","0.83",
"2206","三陽工業","-","0.00","0.87",
"2207","和泰車","15.22","3.19","2.09",
"2208","台船","24.11","3.68","1.71",
"2227","裕日車","22.47","0.00","1.44",
"2301","光寶科","20.87","3.26","1.65",
"2302","麗正","-","0.00","0.47",
"2303","聯電","-","0.00","1.02",
"2305","全友","-","0.00","0.76",
"2308","台達電","20.13","3.83","3.51",
"2311","日月光","59.13","1.84","2.17",
"2312","金寶","-","0.00","0.62",
"2313","華通","-","0.00","0.68",
"2314","台揚","170.00","3.53","1.32",
"2315","神達","-","1.28","0.77",
"2316","楠梓電","-","0.00","0.85",
"2317","鴻海","21.67","1.84","2.94",
"2321","東訊","-","0.00","1.75",
"2323","中環","-","0.00","0.52",
"2324","仁寶","12.41","3.50","2.00",
"2325","矽品","37.97","4.27","2.18",
"2327","國巨","-","1.06","0.71",
"2328","廣宇","48.44","1.14","2.07",
"2329","華泰","-","0.00","1.15",
"2330","台積電","23.46","4.84","3.49",
"2331","精英","22.86","1.74","0.81",
"2332","友訊","112.07","5.85","1.49",
"2337","旺宏","11.15","6.83","1.33",
"2338","光罩","-","5.00","1.00",
"2340","台亞","295.00","0.81","2.44",
"2341","英群","-","0.00","8.78",
"2342","茂矽","-","0.00","1.90",
"2344","華邦電","-","0.00","0.76",
"2345","智邦","29.88","5.14","0.98",
"2347","聯強","21.71","3.42","2.92",
"2348","海悅","-","0.00","1.70",
"2349","錸德","-","0.00","0.69",
"2350","環電","50.50","1.58","1.40",
"2351","順德","725.00","0.69","2.50",
"2352","佳世達","-","0.00","1.72",
"2353","宏碁","21.41","2.47","2.55",
"2354","鴻準","20.70","1.95","2.50",
"2355","敬鵬","15.41","2.02","1.21",
"2356","英業達","10.81","10.70","1.34",
"2357","華碩","68.21","3.12","1.66",
"2358","廷鑫","58.28","0.00","1.84",
"2359","所羅門","-","0.00","0.71",
"2360","致茂","47.40","3.44","4.20",
"2361","鴻友","-","0.00","1.93",
"2362","藍天","29.10","1.03","3.50",
"2363","矽統","-","0.00","1.33",
"2364","倫飛","-","0.00","1.00",
"2365","昆盈","15.66","6.77","1.97",
"2367","燿華","-","0.00","0.83",
"2368","金像電","-","2.33","0.80",
"2369","菱生","61.74","2.82","0.93",
"2371","大同","-","0.00","1.34",
"2373","震旦行","19.97","3.07","2.34",
"2374","佳能","16.99","2.98","3.03",
"2375","凱美","-","0.00","0.54",
"2376","技嘉","12.39","3.32","0.95",
"2377","微星","54.32","4.98","0.85",
"2379","瑞昱","26.53","1.97","2.48",
"2380","虹光","181.11","1.78","0.87",
"2382","廣達","12.98","5.33","2.65",
"2383","台光電","13.95","1.34","1.68",
"2384","勝華","-","0.00","1.06",
"2385","群光","14.88","3.84","4.22",
"2387","精元","12.55","3.48","2.18",
"2388","威盛","-","0.00","2.77",
"2390","云辰","-","0.00","1.11",
"2391","合勤","-","1.15","1.49",
"2392","正崴","28.29","4.42","1.72",
"2393","億光","37.13","2.84","4.65",
"2395","研華","17.32","4.92","2.61",
"2397","友通","15.69","9.25","1.72",
"2399","映泰","10.41","0.00","1.62",
"2401","凌陽","-","0.00","1.55",
"2402","毅嘉","82.39","0.00","1.07",
"2403","友尚","13.94","6.95","1.55",
"2404","漢唐","21.10","3.62","1.69",
"2405","輔信","-","0.00","2.24",
"2406","國碩","30.04","0.00","3.09",
"2408","南亞科","-","0.00","4.30",
"2409","友達","-","1.70","1.15",
"2412","中華電","14.83","6.60","1.65",
"2413","環科","-","0.00","0.92",
"2414","精技","13.91","7.94","1.18",
"2415","錩新","-","1.81","1.00",
"2417","圓剛","12.67","5.72","2.43",
"2419","仲琦","18.45","3.21","1.45",
"2420","新巨","24.23","4.65","1.33",
"2421","建準","64.78","2.37","2.18",
"2423","固緯","18.07","5.08","1.41",
"2424","隴華","-","0.00","1.20",
"2425","承啟","-","0.00","1.68",
"2426","鼎元","-","0.00","2.94",
"2427","三商電","154.29","0.00","0.97",
"2428","興勤","14.94","1.73","2.82",
"2429","銘旺科","-","0.00","1.36",
"2430","燦坤","8.69","2.56","1.14",
"2431","聯昌","20.54","0.00","1.45",
"2433","互盛電","10.95","11.87","1.01",
"2434","統懋","-","0.00","1.66",
"2436","偉詮電","352.50","0.00","2.40",
"2437","旺詮","12.74","3.20","1.13",
"2438","翔耀","-","0.00","0.63",
"2439","美律","27.23","4.76","2.06",
"2440","太空梭","-","0.00","1.04",
"2441","超豐","15.24","6.40","1.73",
"2442","新美齊","12.86","0.00","1.86",
"2443","昶虹","-","0.00","0.63",
"2444","兆勁","-","0.00","1.52",
"2448","晶電","364.52","0.11","2.54",
"2449","京元電子","-","0.85","0.89",
"2450","神腦","10.95","8.65","2.80",
"2451","創見","12.10","3.25","2.60",
"2452","乾坤","17.07","3.35","3.81",
"2453","凌群","53.87","0.00","1.09",
"2454","聯發科","18.66","2.66","5.74",
"2455","全新","76.49","0.00","6.07",
"2456","奇力新","38.56","1.73","1.22",
"2457","飛宏","12.67","2.47","1.83",
"2458","義隆","71.08","0.87","3.84",
"2459","敦吉","13.97","5.37","0.88",
"2460","建通","17.84","5.76","1.62",
"2461","光群雷","-","0.76","1.67",
"2462","良得電","11.84","2.42","3.00",
"2463","研揚","17.56","5.27","3.44",
"2464","盟立","16.40","7.19","1.86",
"2465","麗臺","-","0.00","1.23",
"2466","冠西電","-","0.00","2.53",
"2467","志聖","19.38","3.18","1.06",
"2468","華經","18.30","4.35","1.06",
"2471","資通","-","0.00","1.26",
"2472","立隆電","-","0.00","0.81",
"2473","思源","23.06","2.36","1.57",
"2474","可成","16.37","2.28","1.88",
"2475","華映","-","0.00","0.69",
"2476","鉅祥","16.97","5.81","1.45",
"2477","美隆電","-","1.93","0.99",
"2478","大毅","20.25","3.29","1.23",
"2480","敦陽科","16.71","5.78","1.49",
"2481","強茂","-","1.47","1.63",
"2482","連宇","57.77","0.00","1.98",
"2483","百容","-","1.75","0.90",
"2484","希華","-","5.41","0.80",
"2485","兆赫","16.21","5.02","3.08",
"2486","一詮","21.52","2.80","2.60",
"2488","漢平","15.32","5.99","1.03",
"2489","瑞軒","13.82","4.07","2.08",
"2491","吉祥全","-","0.00","0.65",
"2492","華新科","-","0.00","0.62",
"2493","揚博","-","1.11","1.55",
"2495","普安","17.67","6.77","3.50",
"2496","卓越","-","0.00","4.23",
"2497","怡利電","-","0.00","3.00",
"2498","宏達電","10.75","8.02","4.49",
"2499","東貝","35.15","0.00","3.13",
"2501","國建","167.50","0.00","1.13",
"2504","國產","51.38","1.68","1.03",
"2505","國揚","-","0.00","1.34",
"2506","太設","10.31","0.00","0.71",
"2509","全坤建","9.77","6.00","1.22",
"2511","太子","19.87","0.00","1.36",
"2514","龍邦","-","0.00","1.73",
"2515","中工","-","1.39","0.71",
"2516","新建","9.86","0.00","0.77",
"2520","冠德","15.91","1.80","1.73",
"2524","京城","28.43","0.00","1.97",
"2526","大陸","15.31","2.82","0.66",
"2527","宏璟","-","1.55","1.25",
"2528","皇普","-","0.00","0.28",
"2530","華建","-","0.00","0.99",
"2534","宏盛","15.19","6.33","0.90",
"2535","達欣工","17.36","4.29","1.53",
"2536","宏普","8.52","4.86","1.59",
"2537","聯上發","49.23","0.00","0.62",
"2538","基泰","12.48","3.56","1.20",
"2539","櫻花建","9.04","0.00","0.37",
"2540","愛山林","1.65","0.00","0.69",
"2542","興富發","10.50","5.89","2.98",
"2543","皇昌","-","0.00","0.54",
"2545","皇翔","12.81","2.48","2.72",
"2546","根基","9.41","1.97","1.61",
"2547","日勝生","17.88","1.46","1.83",
"2548","華固","8.18","5.83","2.55",
"2601","益航","9.13","4.46","2.12",
"2603","長榮","-","0.00","0.90",
"2605","新興","7.01","6.38","1.63",
"2606","裕民","9.05","9.24","2.10",
"2607","榮運","36.64","0.00","1.50",
"2608","嘉里大榮","51.63","2.30","1.75",
"2609","陽明","-","1.28","0.81",
"2610","華航","-","0.00","1.03",
"2611","志信","-","0.00","1.38",
"2612","中航","6.04","7.72","2.40",
"2613","中櫃","-","0.00","1.06",
"2614","東森","-","0.00","0.65",
"2615","萬海","-","0.00","1.30",
"2616","山隆","13.70","3.17","0.82",
"2617","台航","8.12","9.57","2.04",
"2618","長榮航","-","0.00","1.34",
"2701","萬企","23.02","2.90","0.85",
