"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"6598","ABC-KY","0.00","109","-","3.36","111/1",
"6605","帝寶","4.69","110","8.04","0.72","111/1",
"6625","必應","0.00","109","-","2.19","111/1",
"6641","基士德-KY","7.41","110","9.95","1.41","111/1",
"6655","科定","10.34","110","14.22","5.07","111/1",
"6666","羅麗芬-KY","2.88","110","34.21","1.48","111/1",
"6668","中揚光","2.48","109","-","1.55","111/1",
"6669","緯穎","2.67","110","17.59","5.46","111/1",
"6670","復盛應用","5.90","110","10.28","2.96","111/1",
"6671","三能-KY","6.54","110","14.34","1.58","111/1",
"6672","騰輝電子-KY","7.24","110","8.61","2.32","111/1",
"6674","鋐寶科技","3.55","110","51.18","1.23","111/1",
"6691","洋基工程","6.16","109","10.65","2.49","111/1",
"6698","旭暉應材","1.34","109","197.11","1.90","111/1",
"6706","惠特","6.43","110","9.46","2.91","111/1",
"6715","嘉基","1.63","110","32.40","3.06","111/1",
"6719","力智","1.46","110","36.22","4.70","111/1",
"6743","安普新","1.14","110","-","2.28","111/1",
"6754","匯僑設計","7.87","110","11.64","1.51","111/1",
"6756","威鋒電子","3.59","110","21.33","7.62","111/1",
"6768","志強-KY","4.86","110","20.00","1.11","111/1",
"6770","力積電","3.11","110","13.13","3.03","111/1",
"6776","展碁國際","7.62","110","9.29","1.75","111/1",
"6781","AES-KY","1.28","110","38.95","8.80","111/1",
"6790","永豐實","6.98","110","12.50","2.04","111/1",
"6792","詠業","5.21","110","16.13","3.17","111/1",
"6799","來頡","1.49","110","26.76","11.17","111/1",
"6806","森崴能源","2.93","110","56.89","2.26","111/1",
"6807","峰源-KY","9.73","110","6.20","0.84","111/1",
"8011","台通","0.00","109","-","0.84","111/1",
"8016","矽創","12.96","110","4.46","3.18","111/1",
"8021","尖點","6.78","110","10.56","0.98","111/1",
"8028","昇陽半導體","1.32","110","30.25","3.29","111/1",
"8033","雷虎","0.00","109","168.18","2.96","111/1",
"8039","台虹","5.33","110","12.74","1.22","111/1",
"8046","南電","2.49","110","20.15","5.79","111/1",
"8070","長華*","5.41","110","12.25","2.43","111/1",
"8072","陞泰","1.46","110","40.68","0.88","111/1",
"8081","致新","7.29","110","7.62","2.79","111/1",
"8101","華冠","0.00","109","6.94","1.52","111/1",
"8103","瀚荃","5.05","110","8.84","1.03","111/1",
"8104","錸寶","4.06","110","38.22","1.57","111/1",
"8105","凌巨","0.00","109","11.31","0.67","111/1",
"8110","華東","0.89","110","30.31","0.70","111/1",
"8112","至上","8.38","110","6.92","1.82","111/1",
"8114","振樺電","3.80","110","13.64","2.74","111/1",
"8131","福懋科","6.27","110","10.64","1.39","111/1",
"8150","南茂","8.89","110","6.61","1.37","111/1",
"8163","達方","6.99","110","10.07","1.25","111/1",
"8201","無敵","0.00","109","7.23","1.15","111/1",
"8210","勤誠","4.36","110","12.35","1.89","111/1",
"8213","志超","9.33","110","6.11","0.95","111/1",
"8215","明基材","4.18","110","10.50","2.13","111/1",
"8222","寶一","0.00","109","-","1.31","111/1",
"8249","菱光","5.94","110","19.04","0.76","111/1",
"8261","富鼎","5.33","110","11.08","3.69","111/1",
"8271","宇瞻","6.74","110","8.40","1.47","111/1",
"8341","日友","3.77","110","22.97","6.58","111/1",
"8367","建新國際","6.42","110","6.79","1.26","111/1",
"8374","羅昇","3.05","110","24.02","1.64","111/1",
"8404","百和興業-KY","7.33","110","10.69","1.95","111/1",
"8411","福貞-KY","2.50","110","7.21","0.47","111/1",
"8422","可寧衛","5.15","110","20.25","3.50","111/1",
"8429","金麗-KY","0.00","109","-","0.29","111/1",
"8438","昶昕","5.32","110","11.94","1.47","111/1",
"8442","威宏-KY","1.68","110","19.32","1.97","111/1",
"8443","阿瘦","1.35","109","-","0.73","111/1",
"8454","富邦媒","1.80","110","42.50","14.72","111/1",
"8462","柏文","1.07","110","-","5.44","111/1",
"8463","潤泰材","3.36","109","-","1.53","111/1",
"8464","億豐","3.57","110","16.29","4.63","111/1",
"8466","美吉吉-KY","1.68","110","34.14","1.09","111/1",
"8467","波力-KY","1.25","110","16.30","1.28","111/1",
"8473","山林水","2.80","110","32.34","0.76","111/1",
"8478","東哥遊艇","2.75","110","12.96","4.55","111/1",
"8480","泰昇-KY","4.56","110","11.80","1.45","111/1",
"8481","政伸","9.63","110","10.94","3.00","111/1",
"8482","商億-KY","8.09","110","8.42","2.22","111/1",
"8488","吉源-KY","1.81","110","19.76","0.42","111/1",
"8499","鼎炫-KY","7.21","110","7.49","1.57","111/1",
"8926","台汽電","4.65","110","25.07","1.83","111/1",
"8940","新天地","0.00","109","-","1.51","111/1",
"8996","高力","2.74","110","27.68","2.70","111/1",
"9802","鈺齊-KY","2.86","110","19.58","2.94","111/1",
"9902","台火","4.41","110","10.13","0.85","111/1",
"9904","寶成","5.12","110","6.75","0.76","111/1",
"9905","大華","5.86","110","13.33","1.01","111/1",
"9906","欣巴巴","1.18","110","10.69","4.16","111/1",
"9907","統一實","6.17","110","11.17","1.22","111/1",
"9908","大台北","3.34","110","19.82","1.32","111/1",
"9910","豐泰","2.34","110","31.12","7.44","111/1",
"9911","櫻花","5.59","110","13.79","2.46","111/1",
"9912","偉聯","0.00","109","24.59","1.12","111/1",
"9914","美利達","3.33","110","15.29","3.65","111/1",
"9917","中保科","4.72","110","17.70","3.77","111/1",
"9918","欣天然","3.94","110","25.12","2.38","111/1",
"9919","康那香","1.42","110","92.17","1.58","111/1",
"9921","巨大","4.18","110","14.82","2.99","111/1",
"9924","福興","5.85","110","12.46","1.23","111/1",
"9925","新保","5.13","110","15.29","1.36","111/1",
"9926","新海","3.95","110","20.32","2.44","111/1",
"9927","泰銘","10.03","110","9.12","1.36","111/1",
"9928","中視","0.00","109","-","2.29","111/1",
"9929","秋雨","4.59","109","-","1.00","111/1",
"9930","中聯資源","5.32","110","16.73","1.94","111/1",
"9931","欣高","3.41","110","21.47","1.82","111/1",
"9933","中鼎","5.09","110","13.82","1.96","111/1",
"9934","成霖","4.15","109","-","0.80","111/1",
"9935","慶豐富","2.92","110","-","1.48","111/1",
"9937","全國","4.34","110","19.60","2.71","111/1",
"9938","百和","5.32","110","10.09","1.87","111/1",
"9939","宏全","5.96","110","10.18","1.56","111/1",
"9940","信義","8.26","110","10.56","1.86","111/1",
"9941","裕融","3.33","110","18.33","4.26","111/1",
"9942","茂順","5.92","110","12.67","2.06","111/1",
"9943","好樂迪","0.93","110","282.63","2.15","111/1",
"9944","新麗","4.98","110","4.02","0.66","111/1",
"9945","潤泰新","9.63","110","10.92","2.14","111/1",
"9946","三發地產","6.40","109","17.86","0.62","111/1",
"9955","佳龍","0.00","109","-","1.60","111/1",
"9958","世紀鋼","2.55","110","20.12","3.91","111/1",
