"日期","成交股數","成交金額","成交筆數","發行量加權股價指數","漲跌點數",
"114/12/01","7,418,235,597","493,440,574,126","3,283,316","27,342.53","-283.95",
"114/12/02","7,321,099,919","486,538,825,279","3,003,839","27,564.27","221.74",
"114/12/03","6,838,633,055","457,284,590,648","2,825,733","27,793.04","228.77",
"114/12/04","6,475,222,009","397,985,953,488","2,684,178","27,795.71","2.67",
"114/12/05","6,781,520,261","457,238,821,346","2,968,196","27,980.89","185.18",
"114/12/08","7,603,908,443","438,297,179,091","3,111,236","28,303.78","322.89",
"114/12/09","8,116,345,692","524,525,111,897","3,654,191","28,182.60","-121.18",
"114/12/10","8,239,950,462","509,141,432,257","3,681,759","28,400.73","218.13",
"114/12/11","8,087,246,896","537,128,803,314","3,741,874","28,024.75","-375.98",
"114/12/12","8,508,400,161","488,652,979,581","3,461,174","28,198.02","173.27",
"114/12/15","7,855,274,707","451,740,486,315","3,557,639","27,866.94","-331.08",
"114/12/16","9,586,999,810","547,186,167,710","4,338,142","27,536.66","-330.28",
"114/12/17","9,020,647,323","524,829,243,071","3,677,384","27,525.17","-11.49",
"114/12/18","8,450,315,748","460,035,955,277","3,339,942","27,468.53","-56.64",
"114/12/19","9,145,168,124","568,327,509,178","2,974,397","27,696.35","227.82",
"114/12/22","8,984,157,012","504,472,490,831","3,141,900","28,149.64","453.29",
"114/12/23","7,965,662,925","431,994,260,374","3,146,495","28,310.47","160.83",
"114/12/24","7,899,870,510","439,061,668,896","3,162,529","28,371.98","61.51",
"114/12/26","8,084,220,373","443,994,479,984","3,225,756","28,556.02","184.04",
