"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2380","虹光","0.00","109","-","2.12","111/1",
"2382","廣達","8.23","110","9.28","1.82","111/1",
"2383","台光電","4.18","110","13.62","3.69","111/1",
"2385","群光","6.99","110","9.82","2.13","111/1",
"2387","精元","7.83","110","6.77","0.86","111/1",
"2388","威盛","1.95","110","11.72","2.05","111/1",
"2390","云辰","5.36","110","-","1.04","111/1",
"2392","正崴","4.35","110","18.35","0.72","111/1",
"2393","億光","7.80","110","10.23","1.04","111/1",
"2395","研華","2.29","110","30.40","7.69","111/1",
"2397","友通","5.95","110","10.94","2.51","111/1",
"2399","映泰","6.65","110","9.70","1.30","111/1",
"2401","凌陽","5.44","110","16.19","2.05","111/1",
"2402","毅嘉","3.16","110","19.51","0.80","111/1",
"2404","漢唐","7.14","110","13.38","4.53","111/1",
"2405","浩鑫","0.00","109","24.05","1.33","111/1",
"2406","國碩","0.00","109","-","1.74","111/1",
"2408","南亞科","5.60","110","7.67","1.13","111/1",
"2409","友達","5.62","110","3.12","0.74","111/1",
"2412","中華電","3.64","110","27.26","2.53","111/1",
"2413","環科","0.00","109","39.90","1.37","111/1",
"2414","精技","8.16","110","10.33","1.77","111/1",
"2415","錩新","5.45","110","13.90","1.84","111/1",
"2417","圓剛","0.57","110","-","1.20","111/1",
"2419","仲琦","2.58","110","43.11","1.33","111/1",
"2420","新巨","6.91","110","10.66","1.86","111/1",
"2421","建準","3.17","110","19.41","2.07","111/1",
"2423","固緯","5.29","110","13.00","1.77","111/1",
"2424","隴華","0.00","109","-","4.35","111/1",
"2425","承啟","1.97","110","20.75","1.56","111/1",
"2426","鼎元","4.46","110","9.82","1.61","111/1",
"2427","三商電","2.88","110","12.15","0.96","111/1",
"2428","興勤","4.44","110","11.61","2.08","111/1",
"2429","銘旺科","0.00","109","-","2.31","111/1",
"2430","燦坤","10.00","110","8.96","1.24","111/1",
"2431","聯昌","4.00","110","-","0.84","111/1",
"2433","互盛電","6.80","110","13.48","1.68","111/1",
"2434","統懋","0.00","109","-","2.43","111/1",
"2436","偉詮電","4.24","110","17.97","3.26","111/1",
"2438","翔耀","0.00","109","-","1.41","111/1",
"2439","美律","4.83","110","14.72","1.62","111/1",
"2440","太空梭","0.00","109","23.53","1.31","111/1",
"2441","超豐","6.94","110","8.46","1.86","111/1",
"2442","新美齊","5.34","110","6.72","0.84","111/1",
"2443","昶虹","0.00","109","-","1.52","111/1",
"2444","兆勁","0.00","109","18.62","1.44","111/1",
"2449","京元電子","6.51","110","9.64","1.57","111/1",
"2450","神腦","5.87","110","14.09","1.52","111/1",
"2451","創見","8.32","110","11.23","1.71","111/1",
"2453","凌群","6.76","110","11.61","1.38","111/1",
"2454","聯發科","7.85","110","12.42","3.26","111/1",
"2455","全新","4.13","110","21.16","5.13","111/1",
"2457","飛宏","0.00","109","-","2.61","111/1",
"2458","義隆","9.06","110","8.83","3.69","111/1",
"2459","敦吉","6.82","110","10.36","1.18","111/1",
"2460","建通","1.36","110","19.01","1.49","111/1",
"2461","光群雷","8.35","110","9.88","1.21","111/1",
"2462","良得電","2.11","110","19.86","1.54","111/1",
"2464","盟立","5.43","110","14.26","1.97","111/1",
"2465","麗臺","4.37","110","6.24","3.09","111/1",
"2466","冠西電","0.00","110","61.18","3.15","111/1",
"2467","志聖","7.39","110","10.25","2.19","111/1",
"2468","華經","3.05","110","19.26","0.79","111/1",
"2471","資通","8.07","110","10.76","1.56","111/1",
"2472","立隆電","4.96","110","9.95","1.63","111/1",
"2474","可成","5.78","110","15.54","0.80","111/1",
"2476","鉅祥","4.22","110","12.90","1.70","111/1",
"2477","美隆電","3.95","110","28.43","1.12","111/1",
"2478","大毅","7.04","110","8.93","1.22","111/1",
"2480","敦陽科","6.22","110","14.20","3.69","111/1",
"2481","強茂","3.71","110","13.74","2.46","111/1",
"2482","連宇","0.00","109","15.88","1.64","111/1",
"2483","百容","3.86","110","14.23","1.12","111/1",
"2484","希華","3.87","110","12.56","1.54","111/1",
"2485","兆赫","0.00","109","-","0.88","111/1",
"2486","一詮","1.32","110","25.86","2.01","111/1",
"2488","漢平","4.40","110","14.73","1.02","111/1",
"2489","瑞軒","8.93","110","-","0.77","111/1",
"2491","吉祥全","0.59","110","-","1.31","111/1",
"2492","華新科","3.81","110","8.38","1.24","111/1",
"2493","揚博","6.53","110","11.96","2.11","111/1",
"2495","普安","2.54","110","26.69","1.06","111/1",
"2496","卓越","6.11","110","16.05","1.16","111/1",
"2497","怡利電","0.00","109","65.19","6.71","111/1",
"2498","宏達電","0.00","109","-","1.45","111/1",
"2501","國建","3.38","110","32.27","0.82","111/1",
"2504","國產","6.68","110","7.21","1.34","111/1",
"2505","國揚","4.85","110","8.92","0.83","111/1",
"2506","太設","1.06","110","-","0.51","111/1",
"2509","全坤建","9.52","109","-","0.83","111/1",
"2511","太子","4.12","110","17.36","0.76","111/1",
"2514","龍邦","0.00","109","10.97","0.59","111/1",
"2515","中工","5.73","110","4.70","0.60","111/1",
"2516","新建","0.00","109","15.17","0.66","111/1",
"2520","冠德","7.07","110","5.04","1.04","111/1",
"2524","京城","0.00","109","8.07","0.75","111/1",
"2527","宏璟","11.07","110","4.82","0.69","111/1",
"2528","皇普","2.39","110","14.17","1.48","111/1",
"2530","華建","0.00","109","-","1.23","111/1",
"2534","宏盛","4.77","110","11.18","0.85","111/1",
"2535","達欣工","7.91","110","8.00","1.25","111/1",
"2536","宏普","5.58","109","134.38","0.60","111/1",
"2537","聯上發","9.54","110","5.27","0.64","111/1",
"2538","基泰","3.66","110","-","1.00","111/1",
"2539","櫻花建","3.98","110","28.15","2.47","111/1",
"2540","愛山林","7.76","110","21.57","3.43","111/1",
"2542","興富發","11.44","110","10.52","1.44","111/1",
"2543","皇昌","0.00","109","5.87","0.94","111/1",
"2545","皇翔","11.05","110","5.75","1.39","111/1",
"2546","根基","6.72","110","7.39","1.56","111/1",
"2547","日勝生","2.10","110","158.50","0.76","111/1",
"2548","華固","7.85","110","7.75","1.39","111/1",
"2597","潤弘","7.96","110","11.82","2.77","111/1",
"2601","益航","0.00","109","34.68","0.86","111/1",
"2603","長榮","12.37","110","2.53","1.76","111/1",
"2605","新興","3.77","110","24.36","1.08","111/1",
"2606","裕民","5.15","110","9.14","1.70","111/1",
"2607","榮運","1.11","110","24.66","1.34","111/1",
"2608","嘉里大榮","3.87","110","14.46","1.77","111/1",
"2609","陽明","15.38","110","2.25","1.54","111/1",
"2610","華航","3.13","110","11.91","2.08","111/1",
"2611","志信","8.79","110","15.80","1.34","111/1",
"2612","中航","4.88","110","10.79","1.02","111/1",
