"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","25.00","3.20","114","-","0.83","114/4",
"1102","亞泥","35.50","6.48","114","12.54","0.70","114/4",
"1103","嘉泥","13.90","3.96","114","16.55","0.50","114/4",
"1104","環泥","29.35","6.30","114","11.46","0.83","114/4",
"1108","幸福","14.85","6.73","114","6.81","1.04","114/4",
"1109","信大","15.45","5.83","114","15.00","0.63","114/4",
"1110","東泥","15.95","1.88","114","44.31","0.96","114/4",
"1201","味全","13.30","1.58","114","33.25","0.88","114/4",
"1203","味王","42.90","2.33","114","23.70","1.60","114/4",
"1210","大成","54.80","5.47","114","12.66","1.72","114/4",
"1213","大飲","9.28","3.77","113","-","0.81","114/4",
"1215","卜蜂","144.00","4.86","114","13.86","3.41","114/4",
"1216","統一","73.00","4.11","114","21.16","3.05","114/4",
"1217","愛之味","10.35","2.42","114","24.64","0.66","114/4",
"1218","泰山","19.20","6.88","114","12.08","0.72","114/4",
"1219","福壽","14.15","3.53","114","31.44","1.05","114/4",
"1220","台榮","12.75","1.57","114","159.38","0.96","114/4",
"1225","福懋油","34.05","2.94","114","21.02","2.11","114/4",
"1227","佳格","29.90","4.48","114","22.48","1.46","114/4",
"1229","聯華","44.30","4.51","114","17.24","1.39","114/4",
"1231","聯華食","90.40","2.77","114","23.73","3.72","114/4",
"1232","大統益","150.50","4.78","114","18.22","4.08","114/4",
"1233","天仁","29.60","0.68","114","39.47","1.98","114/4",
"1234","黑松","36.25","4.55","114","18.13","0.77","114/4",
"1235","興泰","45.35","5.51","113","-","0.71","114/4",
"1236","宏亞","26.95","6.12","114","-","0.93","114/4",
"1256","鮮活果汁-KY","155.00","4.26","114","14.50","1.40","114/4",
"1301","台塑","54.50","0.92","114","-","0.96","114/4",
"1303","南亞","90.50","0.88","114","158.77","2.02","114/4",
"1304","台聚","15.25","0.98","114","-","0.93","114/4",
"1305","華夏","16.10","0.62","114","-","1.21","114/4",
"1307","三芳","32.05","6.86","114","11.25","1.27","114/4",
"1308","亞聚","15.95","1.25","114","-","0.93","114/4",
"1309","台達化","20.75","0.72","114","-","1.43","114/4",
"1310","台苯","10.15","0.00","113","-","0.72","114/4",
"1312","國喬","14.10","0.00","113","-","0.55","114/4",
"1313","聯成","12.35","0.81","114","-","0.56","114/4",
"1314","中石化","7.80","0.00","113","-","0.39","114/4",
"1315","達新","64.70","6.96","114","41.74","0.61","114/4",
"1316","上曜","12.20","0.00","113","-","0.98","114/4",
"1319","東陽","79.90","6.26","114","12.43","1.68","114/4",
"1321","大洋","33.10","1.15","113","-","1.28","114/4",
"1323","永裕","21.30","4.23","114","81.92","0.76","114/4",
"1324","地球","11.40","1.75","113","-","0.96","114/4",
"1325","恆大","27.00","1.11","113","-","0.89","114/4",
"1326","台化","52.10","1.15","114","-","0.88","114/4",
"1337","再生-KY","5.62","0.00","113","-","0.41","114/4",
"1338","廣華-KY","16.45","1.82","114","-","0.23","114/4",
"1339","昭輝","40.80","6.13","114","16.93","0.75","114/4",
"1340","勝悅-KY","6.45","0.00","113","-","0.38","114/4",
"1341","富林-KY","60.40","6.62","114","16.28","2.47","114/4",
"1342","八貫","92.00","6.52","114","16.20","2.99","114/4",
"1402","遠東新","26.45","4.73","114","18.12","0.62","114/4",
"1409","新纖","17.05","5.28","114","14.21","0.66","114/4",
"1410","南染","30.75","0.65","114","52.12","1.81","114/4",
"1413","宏洲","9.85","0.00","113","21.89","1.15","114/4",
"1414","東和","16.80","1.19","114","80.00","1.14","114/4",
"1416","廣豐","11.60","4.91","114","14.32","0.49","114/4",
"1417","嘉裕","9.04","2.77","114","14.58","0.73","114/4",
"1418","東華","18.75","0.00","113","-","0.83","114/4",
"1419","新紡","63.90","2.35","113","15.55","1.09","114/4",
"1423","利華","40.60","8.87","114","9.31","1.10","114/4",
"1432","大魯閣","17.20","11.63","114","2.85","1.12","114/4",
"1434","福懋","16.85","2.97","114","33.04","0.67","114/4",
"1435","中福","14.60","0.00","113","-","2.06","114/4",
"1436","華友聯","53.30","9.47","114","10.64","1.59","114/4",
"1437","勤益控","30.50","3.15","114","12.60","0.75","114/4",
"1438","三地開發","28.70","0.00","113","16.49","1.02","114/4",
"1439","雋揚","27.50","1.82","114","8.57","0.86","114/4",
"1440","南紡","13.55","2.21","114","-","0.81","114/4",
"1441","大東","9.92","0.00","113","-","1.54","114/4",
"1442","名軒","27.30","8.79","114","9.01","1.25","114/4",
"1443","立益物流","24.30","0.00","113","21.50","1.43","114/4",
"1444","力麗","6.71","0.00","113","-","0.69","114/4",
"1445","大宇","13.00","3.85","114","-","0.80","114/4",
"1446","宏和","16.80","8.93","114","10.37","0.83","114/4",
"1447","力鵬","5.44","0.00","113","-","0.61","114/4",
"1449","佳和","14.55","0.00","114","132.27","0.82","114/4",
"1451","年興","17.55","5.70","114","9.97","0.47","114/4",
"1452","宏益","11.95","1.67","114","-","0.59","114/4",
"1453","大將","12.20","2.46","114","305.00","0.96","114/4",
"1454","台富","13.30","0.75","114","-","1.18","114/4",
