"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","26.35","3.80","113","-","0.91","114/3",
"1102","亞泥","35.70","6.16","113","10.66","0.73","114/3",
"1103","嘉泥","14.05","3.91","113","32.67","0.51","114/3",
"1104","環泥","29.90","5.69","113","12.72","0.88","114/3",
"1108","幸福","15.30","4.90","113","6.54","1.09","114/3",
"1109","信大","15.80","5.70","113","14.50","0.66","114/3",
"1110","東泥","16.50","1.82","113","42.31","1.00","114/3",
"1201","味全","14.50","3.45","113","25.89","0.98","114/3",
"1203","味王","41.35","2.90","113","20.07","1.61","114/3",
"1210","大成","51.40","5.51","113","13.08","1.74","114/3",
"1213","大飲","9.72","3.60","113","1.10","0.83","114/3",
"1215","卜蜂","155.50","4.50","114","15.22","3.94","114/3",
"1216","統一","73.60","4.08","113","21.15","3.28","114/3",
"1217","愛之味","10.45","3.54","113","38.70","0.69","114/3",
"1218","泰山","18.15","7.44","113","13.85","0.70","114/3",
"1219","福壽","13.55","3.69","113","31.51","1.02","114/3",
"1220","台榮","13.20","5.30","113","52.80","0.99","114/3",
"1225","福懋油","32.60","2.12","113","23.29","2.09","114/3",
"1227","佳格","29.85","4.69","113","20.45","1.52","114/3",
"1229","聯華","44.75","4.02","113","17.48","1.40","114/3",
"1231","聯華食","85.80","3.03","113","23.77","3.79","114/3",
"1232","大統益","153.00","4.58","113","18.52","4.15","114/4",
"1233","天仁","33.30","2.85","113","41.63","2.26","114/3",
"1234","黑松","37.30","5.09","113","19.03","0.80","114/3",
"1235","興泰","47.80","5.23","113","-","0.65","114/3",
"1236","宏亞","27.45","6.01","114","-","0.94","114/4",
"1256","鮮活果汁-KY","160.00","2.94","113","16.55","1.58","114/3",
"1301","台塑","50.70","0.99","113","-","1.11","114/3",
"1303","南亞","89.50","0.78","113","-","2.16","114/3",
"1304","台聚","12.25","1.63","113","-","0.73","114/3",
"1305","華夏","12.20","1.23","113","-","0.90","114/3",
"1307","三芳","34.10","7.92","113","11.52","1.44","114/3",
"1308","亞聚","13.70","1.82","113","-","0.78","114/3",
"1309","台達化","12.35","1.62","113","-","0.87","114/3",
"1310","台苯","9.08","0.00","113","-","0.71","114/3",
"1312","國喬","12.85","0.00","113","-","0.50","114/3",
"1313","聯成","11.45","1.31","113","-","0.51","114/3",
"1314","中石化","8.25","0.00","113","-","0.41","114/3",
"1315","達新","64.80","7.72","113","39.51","0.66","114/3",
"1316","上曜","13.40","0.00","113","-","1.10","114/3",
"1319","東陽","98.00","5.41","113","15.01","2.17","114/3",
"1321","大洋","34.00","1.12","113","-","1.29","114/3",
"1323","永裕","18.65","4.83","113","186.50","0.69","114/3",
"1324","地球","10.55","1.90","113","-","0.89","114/3",
"1325","恆大","29.10","1.03","113","-","0.96","114/3",
"1326","台化","48.20","1.04","113","-","1.01","114/3",
"1337","再生-KY","5.32","0.00","113","-","0.40","114/3",
"1338","廣華-KY","18.55","4.20","113","-","0.27","114/3",
"1339","昭輝","43.55","6.89","113","21.04","0.82","114/3",
"1340","勝悅-KY","7.09","0.00","113","-","0.40","114/3",
"1341","富林-KY","61.70","8.43","113","15.39","2.77","114/3",
"1342","八貫","101.50","5.91","114","17.87","3.30","114/4",
"1402","遠東新","29.15","5.49","113","18.45","0.70","114/3",
"1409","新纖","15.15","3.96","113","12.73","0.62","114/3",
"1410","南染","33.30","1.53","113","58.42","1.98","114/3",
"1413","宏洲","9.99","0.00","113","22.70","1.17","114/3",
"1414","東和","20.00","1.15","113","166.67","1.42","114/3",
"1416","廣豐","11.70","4.79","113","15.00","0.52","114/3",
"1417","嘉裕","8.81","0.00","113","-","0.71","114/3",
"1418","東華","19.65","0.00","113","-","0.91","114/3",
"1419","新紡","67.40","2.23","113","15.11","1.17","114/3",
"1423","利華","38.30","2.09","113","8.97","0.97","114/3",
"1432","大魯閣","18.15","0.00","113","-","2.01","114/3",
"1434","福懋","17.90","4.47","113","51.14","0.80","114/3",
"1435","中福","23.05","0.00","113","-","2.87","114/3",
"1436","華友聯","55.60","23.04","113","11.10","1.66","114/4",
"1437","勤益控","33.15","4.07","113","15.79","0.81","114/3",
"1438","三地開發","32.40","0.00","113","-","1.26","114/3",
"1439","雋揚","29.40","1.02","113","10.54","0.95","114/3",
"1440","南紡","13.25","2.26","113","-","0.80","114/3",
"1441","大東","10.05","0.00","113","-","1.54","114/3",
"1442","名軒","28.75","15.65","113","7.59","1.35","114/3",
"1443","立益物流","27.05","0.00","113","34.68","1.60","114/3",
"1444","力麗","6.35","0.00","113","-","0.64","114/3",
"1445","大宇","14.55","3.44","113","-","0.83","114/3",
"1446","宏和","16.30","12.27","113","5.80","0.79","114/3",
"1447","力鵬","5.50","0.00","113","-","0.59","114/3",
"1449","佳和","10.70","0.00","113","-","0.62","114/3",
"1451","年興","18.35","5.45","113","10.43","0.50","114/3",
"1452","宏益","11.50","4.35","113","-","0.57","114/3",
"1453","大將","13.10","2.29","113","-","1.03","114/3",
"1454","台富","13.75","1.82","113","-","1.17","114/3",
"1455","集盛","8.20","0.00","113","-","0.73","114/3",
"1456","怡華","13.50","0.00","113","10.63","0.83","114/3",
"1457","宜進","15.85","6.31","113","38.66","0.71","114/3",
"1459","聯發","12.40","1.61","114","15.31","1.12","114/4",
"1460","宏遠","6.89","0.00","113","-","0.85","114/3",
"1463","強盛新","18.40","11.41","113","5.01","1.17","114/3",
"1464","得力","10.95","8.58","113","27.38","0.95","114/3",
"1465","偉全","12.40","4.84","113","-","0.83","114/3",
"1466","聚隆","19.60","0.00","113","-","1.40","114/3",
"1467","南緯","7.54","0.00","113","-","0.65","114/3",
"1468","昶和","13.40","0.00","113","134.00","1.60","114/3",
"1470","大統新創","23.15","4.36","113","33.55","2.04","114/3",
"1471","首利","14.30","0.00","113","-","1.51","114/3",
"1472","三洋實業","88.90","3.37","113","13.80","2.10","114/3",
"1473","台南","25.05","7.98","113","20.20","0.98","114/3",
"1474","弘裕","10.30","3.88","113","31.21","0.64","114/3",
"1475","業旺","30.10","11.96","113","8.78","1.36","114/3",
"1476","儒鴻","414.50","4.10","113","20.16","4.10","114/3",
"1477","聚陽","320.50","5.34","113","21.30","6.08","114/3",
"1503","士電","226.00","1.99","113","35.87","3.24","114/3",
"1504","東元","80.50","2.73","113","35.00","2.15","114/3",
