"97年01月10日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","18.01","3.54","2.04",
"1102","亞泥","14.47","4.65","1.90",
"1103","嘉泥","20.52","0.00","0.97",
"1104","環泥","22.28","7.87","0.65",
"1108","幸福","74.50","5.03","0.84",
"1109","信大","17.21","5.71","0.73",
"1110","東泥","380.00","2.63","0.76",
"1201","味全","22.99","7.90","2.17",
"1203","味王","-","0.00","1.44",
"1210","大成","14.98","4.02","2.21",
"1213","大飲","530.00","0.00","0.94",
"1215","卜蜂","15.96","4.00","1.31",
"1216","統一","19.00","2.73","2.78",
"1217","愛之味","-","0.00","1.13",
"1218","泰山","27.03","0.00","0.85",
"1219","福壽","27.50","2.11","0.82",
"1220","台榮","-","0.00","1.09",
"1225","福懋油","19.44","0.00","0.92",
"1227","佳格","17.58","7.47","1.25",
"1229","聯華","10.15","5.00","0.85",
"1231","聯華食","14.94","4.24","0.81",
"1232","大統益","11.67","6.30","2.13",
"1233","天仁","19.22","4.22","2.21",
"1234","黑松","29.05","1.64","0.70",
"1235","興泰","31.02","1.83","1.57",
"1236","宏亞","13.06","3.80","1.18",
"1301","台塑","12.54","4.57","2.33",
"1303","南亞","11.80","5.74","2.46",
"1304","台聚","12.85","3.34","1.29",
"1305","華夏","-","0.00","0.89",
"1307","三芳","13.64","5.88","1.74",
"1308","亞聚","10.62","3.88","1.12",
"1309","台達化","14.68","0.00","0.72",
"1310","台苯","15.76","5.90","1.13",
"1311","福聚","9.64","6.31","1.21",
"1312","國喬","7.12","0.00","0.87",
"1313","聯成","7.83","6.52","1.05",
"1314","中石化","7.97","0.00","0.97",
"1315","達新","14.32","4.31","0.83",
"1316","上曜","-","0.00","0.49",
"1319","東陽","13.22","2.91","1.44",
"1321","大洋","-","1.11","1.33",
"1323","永裕","22.76","4.48","0.85",
"1324","地球","-","0.54","1.92",
"1325","恆大","14.09","2.42","0.90",
"1326","台化","10.56","5.69","1.87",
"1402","遠東新","19.37","3.72","2.21",
"1409","新纖","-","0.00","0.74",
"1410","南染","116.92","0.00","1.20",
"1413","宏洲","-","0.00","0.54",
"1414","東和","39.53","0.00","0.70",
"1416","廣豐","42.84","0.00","0.93",
"1417","嘉裕","-","0.00","0.58",
"1418","東華","-","0.00","0.60",
"1419","新紡","73.15","1.67","1.17",
"1423","利華","11.44","0.00","0.60",
"1432","大魯閣","1.38","0.00","0.51",
"1434","福懋","7.14","4.33","0.88",
"1435","中福","-","0.00","1.24",
"1436","華友聯","51.84","0.00","0.90",
"1437","勤益控","12.35","0.00","1.02",
"1438","三地開發","-","0.00","1.51",
"1439","雋揚","43.57","0.00","0.85",
"1440","南紡","13.16","1.85","0.87",
"1441","大東","114.75","0.00","0.68",
"1442","名軒","39.39","0.00","2.23",
"1443","立益物流","-","0.00","0.39",
"1444","力麗","19.37","0.00","0.81",
"1445","大宇","-","0.00","0.52",
"1446","宏和","11.26","0.00","0.65",
