日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2012/05/17,28.20,28.20,28.00,28.15,0.00,0.00,,,,,,15756,,16218.0000,,,3006.0000,,,-8940,-8940,1973175,,,184395,,,89354,,,2246924,,,0.000,
2012/05/18,28.00,28.10,27.80,28.00,-0.15,-0.5329,,,,,,22157,,16553.0000,,,3028.0000,,,-9717,-777,1966929,,,184437,,,89973,,,2241340,,,0.000,
2012/05/21,28.00,28.20,28.00,28.20,0.20,0.7143,,,,,,10302,,16439.0000,,,2937.0000,,,-9493,224,1968001,,,184437,,,90762,,,2243201,,,0.000,
2012/05/22,28.20,28.25,28.00,28.20,0.00,0.00,,,,,,12576,,16549.0000,,,2666.0000,,,-8892,601,1978345,,,184437,,,90818,,,2253600,,,0.000,
2012/05/23,28.20,28.20,28.00,28.00,-0.20,-0.7092,28.1100,,,,,14568,15071,16576.0000,16467.0000,,2693.0000,2866.0000,,-9539,-647,1978815,1973053,,184437,184429,,91218,90425,,2254471,2247908,,0.000,
2012/05/24,28.00,28.10,27.90,28.00,0.00,0.00,28.0800,,,,,15255,14971,16570.0000,16537.4000,,2921.0000,2849.0000,,-10033,-494,1977825,1973984,,184437,184437,,92193,90993,,2254456,2249414,,0.000,
2012/05/25,28.00,28.05,27.90,27.90,-0.10,-0.3571,28.0600,,,,,12012,12942,16464.0000,16519.6000,,3028.0000,2849.0000,,-10413,-380,1970084,1974615,,184437,184437,,92364,91471,,2246886,2250523,,0.000,
2012/05/28,27.90,28.00,27.80,27.85,-0.05,-0.1792,27.9900,,,,,13387,13559,16550.0000,16541.8000,,3100.0000,2881.6000,,-10048,365,1977758,1976566,,184438,184438,,92557,91830,,2254754,2252834,,0.000,
2012/05/29,27.95,28.30,27.85,28.25,0.40,1.4363,28.0000,,,,,17049,14454,16569.0000,16545.8000,,2998.0000,2948.0000,,-9198,850,1975416,1975980,,184456,184441,,92660,92199,,2252532,2252620,,0.000,
2012/05/30,28.20,28.25,27.85,28.05,-0.20,-0.708,28.0100,28.0600,,,,29379,17416,16547.0000,16540.0000,16503.5000,2856.0000,2980.6000,2923.3000,-9645,-447,1971274,1974472,1973763,184022,184358,184394,92380,92431,91428,2247677,2251261,2249585,0.000,
