日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2015/04/09,82.00,82.00,78.80,81.00,0.00,0.00,,,,,,5816,,8518.0000,,,272.0000,,,-15804,-15804,301535,,,1486,,,25110,,,328132,,,0.000,
2015/04/10,81.00,81.30,78.00,78.50,-2.50,-3.0864,,,,,,4771,,8536.0000,,,357.0000,,,-15863,-59,302656,,,1486,,,25173,,,329316,,,0.000,
2015/04/13,78.50,80.50,77.70,79.80,1.30,1.6561,,,,,,6024,,8646.0000,,,648.0000,,,-15672,191,303540,,,1486,,,25332,,,330359,,,0.000,
2015/04/14,80.20,80.20,78.90,79.80,0.00,0.00,,,,,,2793,,8481.0000,,,699.0000,,,-15527,145,304333,,,1486,,,25169,,,330989,,,0.000,
2015/04/15,80.00,80.00,78.80,79.30,-0.50,-0.6266,79.6800,,,,,2052,4291,8576.0000,8551.4000,,693.0000,533.8000,,-15932,-405,304003,303214,,1432,1476,,25128,25183,,330565,329873,,0.000,
2015/04/16,79.60,80.00,79.00,79.70,0.40,0.5044,79.4200,,,,,2507,3629,8462.0000,8540.2000,,707.0000,620.8000,,-15801,131,305238,303954,,1432,1465,,24801,25121,,331473,330541,,0.000,
2015/04/17,80.00,80.10,79.50,79.50,-0.20,-0.2509,79.6200,,,,,2157,3106,8234.0000,8479.8000,,726.0000,694.6000,,-15904,-103,306059,304635,,1469,1462,,24698,25026,,332227,331123,,0.000,
2015/04/20,79.50,80.00,79.40,80.00,0.50,0.6289,79.6600,,,,,2381,2378,7982.0000,8347.0000,,737.0000,712.4000,,-16272,-368,306391,305205,,1468,1458,,24644,24889,,332504,331552,,0.000,
2015/04/21,80.00,81.30,79.60,80.60,0.60,0.75,79.8200,,,,,2854,2390,8099.0000,8270.6000,,757.0000,724.0000,,-16784,-512,306450,305629,,1468,1455,,24660,24787,,332579,331870,,0.000,
2015/04/22,80.60,81.00,79.60,80.50,-0.10,-0.1241,80.0600,79.8700,,,,3226,2625,8174.0000,8190.2000,8370.8000,758.0000,737.0000,635.4000,-16621,163,307368,306302,304758,1468,1462,1469,24617,24685,24934,333454,332448,331161,0.000,
2015/04/23,80.50,81.20,80.20,80.70,0.20,0.2484,80.2600,79.8400,,,,3656,2854,8083.0000,8114.4000,8327.3000,764.0000,748.4000,684.6000,-16182,439,308995,307053,305504,1468,1469,1467,24676,24660,24890,335140,333182,331861,0.000,
2015/04/24,80.70,82.50,80.40,80.80,0.10,0.1239,80.5200,80.0700,,,,8029,4029,8089.0000,8085.4000,8282.6000,805.0000,764.2000,729.4000,-15985,197,313967,308634,306635,1468,1469,1465,24693,24659,24842,340129,334762,332943,0.000,
