"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","23.95","3.34","114","-","0.76","115/1",
"1102","亞泥","33.90","6.78","114","11.38","0.68","115/1",
"1103","嘉泥","13.40","4.10","114","16.75","0.49","115/1",
"1104","環泥","29.05","6.37","114","11.35","0.80","115/1",
"1108","幸福","13.75","7.27","114","6.81","1.03","115/1",
"1109","信大","14.65","6.14","114","18.54","0.59","115/1",
"1110","東泥","15.40","1.95","114","48.13","0.93","115/1",
"1201","味全","12.25","1.71","114","32.24","0.80","115/1",
"1203","味王","42.00","2.38","114","24.42","1.53","115/1",
"1210","大成","54.50","5.50","114","12.91","1.81","115/1",
"1213","大飲","8.41","4.16","113","-","0.75","115/1",
"1215","卜蜂","115.00","6.09","114","12.39","3.20","115/1",
"1216","統一","74.10","4.05","114","20.03","2.91","115/1",
"1217","愛之味","9.84","2.54","114","20.50","0.66","115/1",
"1218","泰山","19.40","6.80","114","12.60","0.76","115/1",
"1219","福壽","12.50","4.00","114","26.60","0.92","115/1",
"1220","台榮","11.70","1.71","114","585.00","0.89","115/1",
"1225","福懋油","30.10","3.32","114","17.60","1.81","115/1",
"1227","佳格","28.60","4.69","114","19.59","1.36","115/1",
"1229","聯華","41.55","4.81","114","15.98","1.34","115/1",
"1231","聯華食","87.20","2.87","114","19.82","3.45","115/1",
"1232","大統益","148.50","4.85","114","17.17","3.79","115/1",
"1233","天仁","28.00","0.71","114","34.15","1.82","115/1",
"1234","黑松","34.75","4.75","114","20.81","0.76","115/1",
"1235","興泰","37.15","2.69","114","-","0.59","115/1",
"1236","宏亞","25.60","6.45","114","-","0.90","115/1",
"1256","鮮活果汁-KY","182.00","3.63","114","13.75","1.56","115/1",
"1301","台塑","45.55","1.10","114","-","0.74","115/1",
"1303","南亞","99.20","0.81","114","42.94","2.05","115/1",
"1304","台聚","12.75","1.18","114","-","0.78","115/1",
"1305","華夏","12.55","0.80","114","-","0.95","115/1",
"1307","三芳","34.60","6.36","114","12.63","1.41","115/1",
"1308","亞聚","13.40","1.49","114","-","0.72","115/1",
"1309","台達化","15.20","0.99","114","-","1.05","115/1",
"1310","台苯","8.71","0.00","114","-","0.63","115/1",
"1312","國喬","13.75","0.00","114","-","0.54","115/1",
"1313","聯成","10.80","0.93","114","-","0.50","115/1",
"1314","中石化","7.78","0.00","114","-","0.39","115/1",
"1315","達新","61.50","7.32","114","39.94","0.57","115/1",
"1316","上曜","10.45","0.00","113","-","0.84","115/1",
"1319","東陽","105.00","4.76","114","18.85","2.13","115/1",
"1321","大洋","29.45","0.00","114","-","1.12","115/1",
"1323","永裕","19.70","4.57","114","35.18","0.70","115/1",
"1324","地球","10.60","1.89","113","-","0.89","115/1",
"1325","恆大","26.35","1.14","113","-","0.87","115/1",
"1326","台化","48.25","1.24","114","321.67","0.76","115/1",
"1337","再生-KY","4.98","0.00","113","-","0.37","115/1",
"1338","廣華-KY","16.80","1.79","114","-","0.23","115/1",
"1339","昭輝","43.60","5.73","114","10.31","0.79","115/1",
"1340","勝悅-KY","5.49","0.00","113","-","0.32","115/1",
"1341","富林-KY","62.90","6.36","114","15.42","2.80","115/1",
"1342","八貫","111.50","5.38","114","18.74","4.16","115/1",
"1402","遠東新","27.70","4.51","114","17.20","0.63","115/1",
"1409","新纖","24.90","3.61","114","18.44","0.96","115/1",
"1410","南染","25.30","0.79","114","46.85","1.50","115/1",
"1413","宏洲","9.49","0.00","114","22.60","1.12","115/1",
"1414","東和","17.50","1.14","114","60.34","1.21","115/1",
"1416","廣豐","10.95","5.21","114","12.73","0.45","115/1",
"1417","嘉裕","8.42","2.97","114","18.71","0.68","115/1",
"1418","東華","18.80","0.00","113","-","0.86","115/1",
"1419","新紡","65.00","2.77","114","4.94","0.95","115/1",
"1423","利華","43.90","8.20","114","11.64","1.18","115/1",
"1432","大魯閣","17.40","11.49","114","3.19","1.18","115/1",
"1434","福懋","16.35","3.06","114","27.25","0.61","115/1",
"1436","華友聯","45.05","11.21","114","10.48","1.60","115/1",
"1437","勤益控","28.70","3.34","114","10.36","0.70","115/1",
"1438","三地開發","19.95","1.00","114","7.23","0.69","115/1",
"1439","雋揚","24.70","2.02","114","8.02","0.77","115/1",
"1440","南紡","13.25","2.26","114","-","0.79","115/1",
"1441","大東","9.14","0.00","114","-","1.54","115/1",
"1442","名軒","26.50","9.06","114","13.52","1.20","115/1",
"1443","立益物流","26.35","0.00","113","23.95","1.56","115/1",
"1444","力麗","6.93","0.00","113","-","0.70","115/1",
"1445","大宇","11.35","4.41","114","-","0.72","115/1",
"1446","宏和","16.50","9.09","114","9.71","0.80","115/1",
"1447","力鵬","6.61","0.00","113","-","0.73","115/1",
"1449","佳和","16.35","0.00","114","-","0.90","115/1",
"1451","年興","16.55","6.04","114","18.60","0.45","115/1",
"1452","宏益","10.85","1.84","114","-","0.54","115/1",
"1453","大將","11.15","2.69","114","101.36","0.88","115/1",
"1454","台富","13.00","0.77","114","-","1.19","115/1",
"1455","集盛","9.96","1.61","114","-","0.92","115/1",
"1456","怡華","14.00","0.00","114","4.06","0.69","115/1",
"1457","宜進","14.65","6.83","114","16.10","0.66","115/1",
"1459","聯發","11.65","1.72","114","7.52","1.04","115/1",
"1460","宏遠","6.95","0.00","114","-","0.82","115/1",
"1463","強盛新","17.65","0.74","114","-","1.16","115/1",
"1464","得力","10.35","2.42","114","27.97","0.80","115/1",
"1465","偉全","12.40","2.42","114","-","0.82","115/1",
"1466","聚隆","14.15","1.41","114","-","1.00","115/1",
"1467","南緯","7.78","0.00","113","-","0.63","115/1",
"1468","昶和","11.85","0.00","113","98.75","1.31","115/1",
"1470","大統新創","22.65","2.87","114","26.03","1.97","115/1",
"1471","首利","11.10","0.00","113","-","1.16","115/1",
"1472","三洋實業","88.50","6.78","114","13.76","1.96","115/1",
"1473","台南","20.90","2.39","114","-","0.77","115/1",
"1474","弘裕","10.20","2.45","114","42.50","0.60","115/1",
"1475","業旺","27.15","5.52","114","10.65","1.18","115/1",
"1476","儒鴻","348.50","4.30","114","16.86","3.48","115/1",
"1477","聚陽","226.00","6.64","114","16.32","4.29","115/1",
"1503","士電","229.50","2.18","114","34.20","3.15","115/1",
"1504","東元","73.10","2.74","114","32.49","2.04","115/1",
"1506","正道","10.15","0.00","114","145.00","1.09","115/1",
"1512","瑞利","6.93","0.00","113","25.67","1.01","115/1",
"1513","中興電","169.50","3.54","114","20.60","3.89","115/1",
"1514","亞力","125.50","1.75","114","36.59","5.20","115/1",
"1515","力山","23.85","2.52","114","24.34","1.11","115/1",
"1516","川飛","20.60","0.00","113","1,030.00","4.03","115/1",
"1517","利奇","10.15","1.97","114","-","0.66","115/1",
"1519","華城","843.00","1.42","114","57.94","32.32","115/1",
"1521","大億","26.15","2.87","114","36.83","1.08","115/1",
