"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","24.45","3.27","114","-","0.78","115/1",
"1102","亞泥","34.35","6.70","114","11.53","0.69","115/1",
"1103","嘉泥","13.65","4.03","114","17.06","0.50","115/1",
"1104","環泥","29.25","6.32","114","11.43","0.80","115/1",
"1108","幸福","14.10","7.09","114","6.98","1.05","115/1",
"1109","信大","14.90","6.04","114","18.86","0.60","115/1",
"1110","東泥","16.00","1.88","114","50.00","0.96","115/1",
"1201","味全","12.55","1.67","114","33.03","0.82","115/1",
"1203","味王","43.10","2.32","114","25.06","1.57","115/1",
"1210","大成","54.20","5.54","114","12.84","1.80","115/1",
"1213","大飲","0.00","4.07","113","-","0.77","115/1",
"1215","卜蜂","116.00","6.03","114","12.50","3.23","115/1",
"1216","統一","73.60","4.08","114","19.89","2.89","115/1",
"1217","愛之味","10.00","2.50","114","20.83","0.67","115/1",
"1218","泰山","19.50","6.77","114","12.66","0.76","115/1",
"1219","福壽","13.00","3.85","114","27.66","0.96","115/1",
"1220","台榮","11.95","1.67","114","597.50","0.91","115/1",
"1225","福懋油","29.70","3.37","114","17.37","1.79","115/1",
"1227","佳格","28.45","4.71","114","19.49","1.35","115/1",
"1229","聯華","43.00","4.65","114","16.54","1.38","115/1",
"1231","聯華食","86.90","2.88","114","19.75","3.43","115/1",
"1232","大統益","149.00","4.83","114","17.23","3.80","115/1",
"1233","天仁","27.80","0.72","114","33.90","1.80","115/1",
"1234","黑松","35.15","4.69","114","21.05","0.77","115/1",
"1235","興泰","39.00","2.56","114","-","0.62","115/1",
"1236","宏亞","25.20","6.55","114","-","0.89","115/1",
"1256","鮮活果汁-KY","200.00","3.30","114","15.11","1.71","115/1",
"1301","台塑","50.80","0.98","114","-","0.83","115/1",
"1303","南亞","111.00","0.72","114","48.05","2.29","115/1",
"1304","台聚","13.70","1.09","114","-","0.84","115/1",
"1305","華夏","13.55","0.74","114","-","1.03","115/1",
"1307","三芳","34.45","6.39","114","12.57","1.40","115/1",
"1308","亞聚","14.05","1.42","114","-","0.76","115/1",
"1309","台達化","16.95","0.88","114","-","1.17","115/1",
"1310","台苯","9.18","0.00","114","-","0.66","115/1",
"1312","國喬","14.20","0.00","113","-","0.56","115/1",
"1313","聯成","11.40","0.88","114","-","0.53","115/1",
