"ら戳","秨絃计","程蔼计","程计","Μ絃计",
"114/05/02","20,534.08","20,787.64","20,534.08","20,787.64",
"114/05/05","20,839.04","20,885.54","20,320.80","20,532.99",
"114/05/06","20,353.88","20,623.85","20,349.56","20,522.59",
"114/05/07","20,575.15","20,685.28","20,418.03","20,546.49",
"114/05/08","20,559.65","20,747.28","20,543.40","20,543.40",
"114/05/09","20,690.80","20,915.04","20,643.56","20,915.04",
"114/05/12","20,996.95","21,176.13","20,996.95","21,129.54",
"114/05/13","21,474.02","21,626.28","21,330.14","21,330.14",
"114/05/14","21,552.42","21,782.87","21,552.42","21,782.87",
"114/05/15","21,776.65","21,821.01","21,674.32","21,730.25",
"114/05/16","21,731.88","21,854.50","21,697.85","21,843.69",
"114/05/19","21,786.33","21,786.33","21,496.69","21,523.83",
"114/05/20","21,631.61","21,746.56","21,517.10","21,526.03",
"114/05/21","21,603.58","21,879.24","21,603.58","21,803.91",
"114/05/22","21,733.82","21,733.82","21,585.31","21,670.96",
"114/05/23","21,766.24","21,798.88","21,559.78","21,652.24",
"114/05/26","21,577.64","21,688.45","21,536.57","21,536.57",
"114/05/27","21,491.65","21,558.47","21,310.00","21,336.54",
"114/05/28","21,539.15","21,634.37","21,305.73","21,357.72",
"114/05/29","21,531.29","21,605.26","21,347.30","21,347.30",
