日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 騰落指標, 騰落指標, 未平倉量
2011/11/15,64.8,67.1,64.8,66.2,0,0,,,,,,2483,,11261,,,509,,,51929,,,26395,,,647,,,78972,,,-5649,-5649,0
2011/11/16,66.9,67.3,66,66.2,0,0,,,,,,1863,,10985,,,540,,,51829,,,27031,,,564,,,79425,,,-6218,-569,0
2011/11/17,66.9,66.9,65.2,66.2,0,0,,,,,,787,,11042,,,528,,,51898,,,27121,,,543,,,79563,,,-6274,-56,0
2011/11/18,65.6,66.2,63.4,63.8,-2.4,-3.6254,,,,,,1571,,11147,,,452,,,51184,,,27103,,,499,,,78787,,,-6877,-603,0
2011/11/21,63.7,63.7,59.4,60.1,-3.7,-5.7994,64.5,,,,,3175,1975,10995,11086,,383,482.4,,50111,51391,,26572,26845,,454,542,,77139,78777,,-7777,-900,0
2011/11/22,59.9,60.1,58.2,58.5,-1.6,-2.6622,62.96,,,,,2002,1879,10958,11025.4,,332,447,,49992,51003,,26245,26815,,439,501,,76678,78319,,-8356,-579,0
2011/11/23,58.5,60.5,57.5,57.8,-0.7,-1.1966,61.28,,,,,2518,2010,10880,11004.4,,478,434.6,,49200,50478,,26649,26739,,411,470,,76261,77686,,-9154,-798,0
2011/11/24,58,58.6,56.5,58.5,0.7,1.2111,59.74,,,,,1888,2230,10936,10983.2,,574,443.8,,49316,49961,,26451,26605,,400,441,,76168,77007,,-8870,284,0
2011/11/25,58.9,59.2,58,58.4,-0.1,-0.1709,58.66,,,,,1700,2256,10618,10877.4,,711,495.6,,49015,49527,,27490,26682,,430,428,,76936,76637,,-9191,-321,0
2011/11/28,59.2,60.3,58.8,59.5,1.1,1.8836,58.54,61.52,,,,1410,1903,10743,10827,10956.5,712,561.4,521.9,48810,49267,50329,27187,26805,26825,434,424,483,76433,76496,77637,-8609,582,0
2011/11/29,60.3,61.4,60.3,60.7,1.2,2.0168,58.98,60.97,,,,3046,2112,10797,10794.8,10910.1,841,663.2,555.1,48625,48993,49998,27215,26999,26907,382,412,456,76223,76405,77362,-7969,640,0
2011/11/30,60.7,61.7,59.5,59.5,-1.2,-1.9769,59.32,60.3,,,,2086,2026,10752,10769.2,10886.8,882,744,589.3,48447,48843,49660,27108,27091,26915,396,409,440,75952,76343,77015,-8583,-614,0
2011/12/1,63.6,63.6,61.8,62,2.5,4.2017,60.02,59.88,,,,2210,2090,10629,10707.8,10845.5,619,753,598.4,48337,48647,49304,27181,27237,26921,372,404,423,75891,76288,76647,-7707,876,0
2011/12/2,62,62,61.2,61.5,-0.5,-0.8065,60.64,59.65,,,,1194,1989,10627,10709.6,10793.5,573,725.4,610.5,47922,48429,48978,27214,27182,26932,390,396,412,75528,76006,76322,-7968,-261,0
2011/12/5,61.5,61.5,60.6,60.9,-0.6,-0.9756,60.92,59.73,,,,505,1808,10535,10668,10747.5,559,694.8,628.1,47934,48253,48760,27254,27195,27000,389,386,405,75578,75835,76165,-8227,-259,0
2011/12/6,60.1,61.1,58,58.4,-2.5,-4.1051,60.46,59.72,,,,2131,1625,10602,10629,10711.9,520,630.6,646.9,47857,48100,48547,27013,27155,27077,210,352,382,75081,75607,76006,-8889,-662,0
2011/12/7,59.2,59.3,57.2,58.5,0.1,0.1712,60.26,59.79,,,,1709,1549,10466,10571.8,10670.5,694,593,668.5,48003,48011,48427,26957,27125,27108,227,318,364,75187,75454,75898,-8700,189,0
2011/12/8,58.5,58.5,56.2,56.6,-1.9,-3.2479,59.18,59.6,,,,1255,1358,10369,10519.8,10613.8,584,586,669.5,47964,47936,48292,26565,27001,27119,241,292,348,74771,75229,75759,-9162,-462,0
2011/12/9,55.2,55.5,54,55,-1.6,-2.8269,57.88,59.26,,,,2109,1541,10239,10442.2,10575.9,531,577.6,651.5,47832,47918,48174,26800,26918,27050,196,253,324,74828,75090,75548,-9527,-365,0
2011/12/12,55.9,56.4,55.3,55.5,0.5,0.9091,56.8,58.86,60.19,,,1361,1713,10154,10366,10517,751,616,655.4,47554,47843,48048,27423,26952,27074,132,201,294,75110,74996,75416,-9383,144,0
2011/12/13,54.1,55,52.9,53.4,-2.1,-3.7838,55.8,58.13,59.55,,,1882,1663,10064,10258.4,10443.7,629,637.8,634.2,46734,47618,47859,27639,27077,27116,51,170,261,74425,74865,75236,-9770,-387,0
