日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2018/04/30,80.10,84.60,80.10,80.30,0.00,0.00,,,,,,38709,,15510.0000,,,31.0000,,,-32040,-32040,3144993,,,0,,,0,,,3144993,,,0.000,
2018/05/02,80.80,82.20,75.10,75.70,-4.60,-5.7285,,,,,,33829,,15201.0000,,,21.0000,,,-32037,3,3441254,,,0,,,0,,,3441254,,,0.000,
2018/05/03,75.60,77.10,73.60,75.10,-0.60,-0.7926,,,,,,19415,,15362.0000,,,52.0000,,,-32334,-297,3441976,,,0,,,0,,,3441976,,,0.000,
2018/05/04,77.50,82.30,76.70,80.20,5.10,6.7909,,,,,,23111,,13607.0000,,,117.0000,,,-32461,-127,3449716,,,0,,,0,,,3449716,,,0.000,
2018/05/07,82.00,82.50,78.90,79.00,-1.20,-1.4963,78.0600,,,,,18863,26785,13162.0000,14568.4000,,105.0000,65.2000,,-32335,126,3450090,3385606,,0,0,,0,0,,3450090,3385606,,0.000,
2018/05/08,78.50,78.50,77.60,77.70,-1.30,-1.6456,77.5400,,,,,11128,21269,13083.0000,14083.0000,,92.0000,77.4000,,-32143,192,3448197,3446247,,2,0,,0,0,,3448199,3446247,,0.000,
2018/05/09,77.20,78.40,76.50,77.20,-0.50,-0.6435,77.8400,,,,,9129,16329,12875.0000,13617.8000,,53.0000,83.8000,,-32223,-80,3446564,3447309,,0,0,,36,7,,3446600,3447317,,0.000,
2018/05/10,77.90,78.60,77.70,78.50,1.30,1.6839,78.5200,,,,,9972,14440,12787.0000,13102.8000,,55.0000,84.4000,,-32033,190,3444278,3447769,,0,0,,48,17,,3444326,3447787,,0.000,
2018/05/11,80.00,80.30,78.90,79.80,1.30,1.6561,78.4400,,,,,8973,11613,12398.0000,12861.0000,,44.0000,69.8000,,-32062,-29,3448501,3447526,,0,0,,0,17,,3448501,3447544,,0.000,
2018/05/14,80.80,80.80,79.80,79.80,0.00,0.00,78.6000,78.3300,,,,6387,9117,12360.0000,12700.6000,13634.5000,44.0000,57.6000,61.4000,-32065,-3,3450659,3447640,3416623,42,9,4,0,17,8,3450701,3447666,3416636,0.000,
2018/05/15,79.80,80.70,79.70,79.70,-0.10,-0.1253,79.0000,78.2700,,,,7186,8329,12012.0000,12486.4000,13284.7000,38.0000,46.8000,62.1000,-32270,-205,3452160,3448433,3447340,42,17,9,4,18,9,3452206,3448467,3447357,0.000,
2018/05/16,80.40,80.40,79.40,79.50,-0.20,-0.2509,79.4600,78.6500,,,,6007,7705,11337.0000,12178.8000,12898.3000,38.0000,43.8000,63.8000,-32265,5,3453342,3449788,3448549,42,25,13,0,10,9,3453384,3449824,3448570,0.000,
2018/05/17,79.80,79.90,77.50,77.80,-1.70,-2.1384,79.3200,78.9200,,,,7196,7149,11303.0000,11882.0000,12492.4000,40.0000,40.8000,62.6000,-32297,-32,3451779,3451288,3449529,42,34,17,0,1,9,3451821,3451323,3449555,0.000,
2018/05/18,78.00,79.80,78.00,78.70,0.90,1.1568,79.1000,78.7700,,,,5056,6366,11108.0000,11624.0000,12242.5000,36.0000,39.2000,54.5000,-32270,27,3452338,3452056,3449791,44,42,21,0,1,9,3452382,3452099,3449821,0.000,
2018/05/21,79.00,80.50,78.90,79.80,1.10,1.3977,79.1000,78.8500,,,,5973,6283,11086.0000,11369.2000,12034.9000,37.0000,37.8000,47.7000,-31889,381,3452616,3452447,3450044,788,192,100,168,34,26,3453572,3452673,3450170,0.000,
