日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2011/11/25,31.65,32,31.2,31.75,0,0,,,,,,12358,,15123,,,1478,,,-9191,-9191,563163,,,40116,,,35844,,,639125,,,0
2011/11/28,32.6,32.95,32.1,32.8,1.05,3.3071,,,,,,10034,,14147,,,2038,,,-8609,582,564042,,,39664,,,35965,,,639673,,,0
2011/11/29,33,33.1,32.45,32.85,0.05,0.1524,,,,,,6669,,13583,,,2114,,,-7969,640,560291,,,39427,,,36077,,,635797,,,0
2011/11/30,33.1,33.1,31.9,32.35,-0.5,-1.5221,,,,,,6341,,13305,,,2132,,,-8583,-614,558943,,,38569,,,35891,,,633405,,,0
2011/12/1,34.3,34.35,33.3,33.85,1.5,4.6368,32.72,,,,,11666,9413,13947,14021,,2050,1962.4,,-7707,876,564030,562094,,38848,39326,,36005,35957,,638885,637377,,0
2011/12/2,33.2,33.8,33.2,33.7,-0.15,-0.4431,33.11,,,,,3659,7673,13899,13776.2,,2040,2074.8,,-7968,-261,565586,562579,,38791,39061,,36052,35999,,640431,637638,,0
2011/12/5,33.7,33.75,33.3,33.65,-0.05,-0.1484,33.28,,,,,2237,6114,13900,13726.8,,1914,2050,,-8227,-259,566166,563004,,38745,38877,,36068,36019,,640981,637900,,0
2011/12/6,33.45,33.55,32.9,33.1,-0.55,-1.6345,33.33,,,,,4166,5613,13823,13774.8,,1952,2017.6,,-8889,-662,567287,564403,,38113,38614,,36117,36027,,641519,639044,,0
2011/12/7,33.1,33.5,32.9,33.05,-0.05,-0.1511,33.47,,,,,5729,5491,14053,13924.4,,1875,1966.2,,-8700,189,565857,565786,,38116,38524,,36229,36095,,640204,640404,,0
2011/12/8,33,33.2,31.8,32,-1.05,-3.177,33.1,32.91,,,,8182,4794,14233,13981.6,14001.3,1504,1857,1909.7,-9162,-462,564573,565894,563994,37419,38238,38782,36166,36127,36042,638160,640259,638818,0
2011/12/9,31.5,31.8,30.9,31.65,-0.35,-1.0938,32.69,32.9,,,,11911,6445,14071,14016,13896.1,1533,1755.6,1915.2,-9527,-365,561493,565076,563827,36764,37832,38447,35961,36109,36054,634220,639017,638328,0
2011/12/12,31.85,32.15,31.4,32,0.35,1.1058,32.36,32.82,,,,6758,7349,14043,14044.6,13885.7,1491,1671,1860.5,-9383,144,560375,563918,563461,36764,37436,38157,35876,36070,36045,633017,637424,637662,0
2011/12/13,31.7,32.2,31.35,32,0,0,32.14,32.735,,,,4014,7318,13578,13995.6,13885.2,1585,1597.6,1807.6,-9770,-387,559678,562396,563399,36764,37166,37890,35617,35970,35999,632061,635533,637289,0
2011/12/14,32.3,32.3,31.75,32.25,0.25,0.7813,31.98,32.725,,,,4448,7062,13437,13872.4,13898.4,1628,1548.2,1757.2,-9421,349,560744,561373,563580,36768,36897,37710,35379,35800,35948,632893,634071,637237,0
2011/12/15,32,32,31.35,31.5,-0.75,-2.3256,31.88,32.49,,,,5050,6436,13492,13724.2,13852.9,1443,1536,1696.5,-10049,-628,558201,560099,562997,36769,36767,37502,35451,35657,35892,630422,632523,636391,0
2011/12/16,31.8,31.8,30.95,31.5,0,0,31.85,32.27,,,,5823,5218,13642,13638.4,13827.2,1311,1491.6,1623.6,-10086,-37,557472,559295,562185,36671,36748,37290,34966,35458,35784,629110,631501,635259,0
2011/12/19,31.5,31.5,30.65,31.5,0,0,31.75,32.055,,,,6962,5259,13050,13439.8,13742.2,1601,1513.6,1592.3,-10919,-833,557133,558646,561282,37088,36813,37124,35060,35295,35683,629282,630754,634089,0
2011/12/20,31.7,31.9,31,31.4,-0.1,-0.3175,31.63,31.885,,,,7731,6002,13371,13398.4,13697,1510,1498.6,1548.1,-10724,195,556366,557984,560190,36747,36809,36988,32105,34593,35282,625219,629386,632459,0
2011/12/21,32.3,33,32.2,32.95,1.55,4.9363,31.77,31.875,,,,7718,6656,14652,13641.4,13756.9,1637,1500.4,1524.3,-9697,1027,556900,557215,559294,36684,36793,36845,31968,33911,34856,625554,627918,630994,0
2011/12/22,32.9,33,32.55,32.95,0,0,32.06,31.97,32.44,,,8422,7331,13654,13673.8,13699,1853,1582.4,1559.2,-9941,-244,556009,556776,558438,36578,36754,36761,31856,33192,34425,624444,626722,629623,0
