,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1109,1997,21.65,,40.10,57.00,35.00,36.20,9.00,7.22,13.54,1997,1.00,3.60,1.19,84.00
1,1109,1998,20.59,-4.92,42.10,55.00,19.20,27.80,5.26,4.26,13.03,1998,0.70,4.12,0.68,103.00
2,1109,1999,16.63,-19.20,42.10,57.00,12.40,17.00,5.23,4.33,12.98,1999,0.60,4.81,0.68,88.20
3,1109,2000,13.77,-17.20,42.10,53.00,11.00,12.50,2.98,2.49,12.73,2000,0.30,2.84,0.38,78.90
4,1109,2001,10.57,-23.20,42.10,47.00,10.15,10.50,0.58,0.49,12.49,2001,0.10,1.04,0.07,143.00
5,1109,2002,14.73,39.30,42.10,60.00,9.25,9.57,7.67,6.63,13.37,2002,0.50,5.69,0.99,50.50
6,1109,2003,15.59,5.83,42.10,55.00,9.70,8.79,3.65,3.17,13.22,2003,0.60,5.82,0.49,122.00
7,1109,2004,19.86,27.40,42.90,53.00,10.70,10.30,5.18,4.48,13.31,2004,0.50,5.29,0.65,76.90
8,1109,2005,20.91,5.27,42.90,64.00,9.13,9.46,6.04,5.27,13.58,2005,0.50,4.76,0.80,62.50
9,1109,2006,22.86,9.34,42.90,70.00,13.00,10.50,10.70,9.42,14.53,2006,0.60,5.00,1.50,40.00
10,1109,2007,19.65,-14.00,42.90,62.00,10.85,12.00,4.06,3.60,14.44,2007,0.50,4.83,0.58,86.20
11,1109,2008,18.32,-6.73,42.90,57.00,8.01,10.40,2.76,2.47,13.94,2008,0.20,2.09,0.44,45.50
12,1109,2009,14.19,-22.60,42.10,55.00,10.50,9.59,1.74,1.57,14.47,2009,0.35,3.50,0.26,135.00
13,1109,2010,12.56,-11.50,42.10,43.00,10.25,9.99,-0.09,-0.08,13.97,2010,0.28,2.66,-0.04,-700.00
14,1109,2011,15.38,22.50,42.10,51.00,10.55,10.50,1.27,0.97,14.09,2011,0.35,3.32,0.17,206.00
15,1109,2012,17.12,11.30,42.10,49.00,10.65,10.50,0.81,0.58,13.85,2012,0.38,3.55,0.20,186.00
16,1109,2013,45.51,24.30,42.10,49.00,11.95,10.70,4.61,3.34,14.60,2013,1.20,8.88,0.65,185.00
17,1109,2014,50.00,9.86,42.10,47.00,13.35,13.50,4.76,3.54,14.18,2014,0.20,1.66,0.67,29.90
18,1109,2015,43.51,-13.00,37.90,40.00,10.05,12.00,-0.86,-0.64,14.31,2015,0.20,1.99,0.04,500.00
19,1109,2016,43.46,-0.11,37.90,47.00,10.00,10.10,2.79,2.06,14.27,2016,0.10,0.91,0.42,23.80
20,1109,2017,53.76,23.70,36.00,57.00,13.10,11.00,10.80,8.25,15.73,2017,0.10,0.69,1.32,7.58
21,1109,2018,67.01,24.60,34.20,62.00,13.80,14.50,17.30,13.40,18.25,2018,0.80,4.68,2.38,33.60
22,1109,2019,78.21,16.70,34.20,62.00,20.10,17.10,17.90,13.70,19.94,2019,1.10,6.02,2.82,39.00
23,1109,2020,75.75,-3.15,34.20,70.00,20.00,18.30,15.90,12.60,21.93,2020,1.50,6.63,2.94,51.00
24,1109,2021,73.78,-2.59,34.20,68.00,20.80,22.60,12.50,10.30,22.90,2021,1.50,7.43,2.52,59.50
