,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1108,1998,41.78,,36.40,34.00,15.30,18.90,4.78,2.17,13.12,1998,0.60,4.95,0.63,95.20
1,1108,1999,33.61,-19.50,38.50,32.00,10.00,12.10,0.58,0.27,12.39,1999,0.50,6.21,0.07,714.00
2,1108,2000,27.60,-17.90,40.50,19.00,3.96,8.05,-9.59,-4.44,10.73,2000,0.00,0.00,-1.08,0.00
3,1108,2001,23.55,-14.70,40.50,19.00,3.19,3.60,-6.38,-2.78,10.06,2001,0.00,0.00,-0.66,0.00
4,1108,2002,31.34,33.10,40.50,30.00,5.20,5.16,1.71,0.72,10.24,2002,0.11,2.01,0.17,64.70
5,1108,2003,33.56,7.10,40.50,30.00,8.90,5.46,1.99,0.85,10.33,2003,0.15,1.52,0.21,71.40
6,1108,2004,37.90,12.90,40.50,30.00,9.50,9.88,4.07,1.80,10.65,2004,0.30,3.89,0.44,68.20
7,1108,2005,42.52,12.20,40.50,30.00,7.08,7.72,4.89,2.28,10.86,2005,0.45,5.53,0.55,81.80
8,1108,2006,38.91,-8.49,40.50,30.00,10.20,8.14,6.00,2.88,11.04,2006,0.45,3.82,0.67,67.20
9,1108,2007,32.75,-15.80,40.50,30.00,8.84,11.80,2.89,1.34,10.76,2007,0.25,2.78,0.31,80.60
10,1108,2008,33.04,0.91,40.50,23.00,6.00,8.98,-0.84,-0.36,10.40,2008,0.00,0.00,-0.08,0.00
11,1108,2009,28.24,-14.50,40.50,32.00,8.95,7.52,2.30,1.02,10.74,2009,0.17,2.20,0.26,65.40
12,1108,2010,27.60,-2.26,40.50,21.00,7.92,7.72,-4.44,-2.04,10.15,2010,0.00,0.00,-0.47,0.00
13,1108,2011,31.95,15.80,40.50,19.00,5.31,6.89,-3.44,-1.57,10.16,2011,0.00,0.00,-0.35,0.00
14,1108,2012,33.95,6.25,40.50,32.00,6.68,6.12,4.32,2.02,10.37,2012,0.00,0.00,0.49,0.00
15,1108,2013,48.70,16.20,40.50,34.00,8.39,7.56,3.78,1.88,10.85,2013,0.45,4.83,0.44,102.00
16,1108,2014,50.99,4.72,40.50,34.00,10.30,9.32,8.14,4.33,11.33,2014,0.60,5.75,0.94,63.80
17,1108,2015,50.21,-1.53,40.50,40.00,10.10,10.40,9.78,5.71,11.89,2015,0.85,8.81,1.16,73.30
18,1108,2016,42.51,-15.30,40.50,38.00,9.12,9.65,6.53,4.04,11.79,2016,0.60,6.53,0.78,76.90
19,1108,2017,34.34,-19.20,40.50,28.00,8.37,9.19,-2.23,-1.38,10.88,2017,0.00,0.00,-0.25,0.00
20,1108,2018,33.31,-3.02,40.50,26.00,7.34,7.84,-4.66,-2.78,10.44,,,,,
21,1108,2019,37.32,12.00,40.50,32.00,8.38,7.27,1.07,0.63,10.68,,,,,
22,1108,2020,45.30,21.40,40.50,36.00,12.70,9.55,8.74,5.11,11.51,,,,,
23,1108,2021,37.69,-16.80,40.50,38.00,11.90,12.80,5.64,3.26,11.48,,,,,
