"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1506","正道","10.00","0.00","107","-","1.55","108/4",
"1507","永大","58.50","3.08","107","25.43","2.13","108/4",
"1512","瑞利","3.23","0.00","107","-","2.78","108/4",
"1513","中興電","22.20","5.41","108","14.32","1.20","108/4",
"1514","亞力","16.40","7.32","108","11.39","1.11","108/4",
"1515","力山","42.10","7.13","108","6.01","2.23","108/4",
"1516","川飛","13.20","2.95","108","33.00","1.15","108/4",
"1517","利奇","6.77","2.95","108","112.83","0.49","108/4",
"1519","華城","25.20","3.97","108","16.05","1.95","108/4",
"1521","大億","54.00","7.41","108","11.42","2.16","108/4",
"1522","堤維西","21.00","6.67","108","9.42","0.99","108/4",
"1524","耿鼎","8.65","4.62","108","10.30","0.66","108/4",
"1525","江申","40.50","4.94","108","10.25","0.72","108/4",
"1526","日馳","15.75","5.08","108","11.75","0.94","108/4",
"1527","鑽全","38.50","10.39","107","9.30","1.37","108/4",
"1528","恩德","5.60","1.79","108","-","0.49","108/4",
"1529","樂事綠能","11.80","4.24","108","26.82","1.07","108/4",
"1530","亞崴","25.40","5.91","108","20.65","0.86","108/4",
"1531","高林股","10.60","1.89","108","66.25","0.54","108/4",
"1532","勤美","22.35","2.68","108","16.93","0.72","108/4",
"1533","車王電","23.45","2.13","108","11.44","0.94","108/4",
"1535","中宇","26.70","4.49","108","25.92","1.11","108/4",
"1536","和大","76.50","2.61","108","30.00","2.97","108/4",
"1537","廣隆","132.00","7.58","108","10.72","2.66","108/4",
"1538","正峰","2.25","0.00","107","-","0.87","108/4",
"1539","巨庭","13.45","5.95","108","12.57","0.67","108/4",
"1540","喬福","14.90","6.71","108","11.04","0.88","108/4",
"1541","錩泰","29.50","3.39","107","9.25","1.82","108/4",
"1558","伸興","118.50","7.43","108","10.62","1.51","108/4",
"1560","中砂","51.50","6.80","107","13.52","1.69","108/4",
"1568","倉佑","13.55","3.69","108","50.19","0.90","108/4",
"1582","信錦","64.90","6.93","108","8.53","1.46","108/4",
"1583","程泰","52.80","5.68","108","21.73","1.28","108/4",
"1587","吉茂","10.90","2.75","107","218.00","0.62","108/4",
"1589","永冠-KY","50.10","1.00","108","32.53","0.69","108/4",
"1590","亞德客-KY","440.00","1.19","107","30.51","4.57","108/4",
"1592","英瑞-KY","10.45","0.00","107","-","0.49","108/4",
"1598","岱宇","31.70","3.63","108","15.46","1.54","108/4",
"1603","華電","28.05","1.78","108","19.21","0.87","108/4",
"1604","聲寶","17.35","8.65","108","8.68","0.99","108/4",
"1605","華新","11.05","4.52","108","11.63","0.47","108/4",
"1608","華榮","8.33","7.92","108","4.45","0.52","108/4",
"1609","大亞","8.38","8.35","107","9.74","0.69","108/4",
"1611","中電","11.10","10.81","108","5.21","0.82","108/4",
"1612","宏泰","9.23","5.42","108","14.42","0.63","108/4",
"1614","三洋電","25.95","3.20","108","27.32","1.29","108/4",
"1615","大山","18.35","7.36","107","8.42","1.13","108/4",
"1616","億泰","3.70","0.00","107","-","0.46","108/4",
"1617","榮星","9.74","3.08","108","15.71","0.84","108/4",
"1618","合機","6.65","4.51","107","23.75","0.39","108/4",
"1626","艾美特-KY","19.10","5.24","108","10.38","0.87","108/4",
"1701","中化","19.00","4.21","108","14.73","0.96","108/4",
"1702","南僑","41.95","4.77","108","10.76","1.70","108/4",
"1707","葡萄王","193.00","3.37","108","20.06","4.25","108/4",
"1708","東鹼","21.65","7.39","108","16.65","0.77","108/4",
"1709","和益","11.80","4.24","108","26.22","0.82","108/4",
"1710","東聯","14.25","2.11","108","356.25","0.92","108/4",
"1711","永光","12.20","2.46","108","18.48","0.85","108/4",
"1712","興農","19.00","6.84","108","11.80","1.14","108/4",
"1713","國化","16.65","3.48","108","26.02","1.09","108/4",
"1714","和桐","6.08","2.47","107","304.00","0.58","108/4",
"1717","長興","22.85","6.13","108","11.48","1.32","108/4",
"1718","中纖","5.38","13.94","107","-","0.32","108/4",
"1720","生達","34.75","4.32","108","16.47","1.65","108/4",
"1721","三晃","8.57","0.00","107","-","0.82","108/4",
"1722","台肥","41.60","5.29","108","19.72","0.80","108/4",
"1723","中碳","93.50","5.35","108","16.79","3.10","108/4",
"1724","台硝","10.40","4.81","108","18.57","0.67","108/4",
"1725","元禎","13.00","6.23","108","12.15","0.66","108/4",
"1726","永記","63.60","5.03","108","15.11","1.22","108/4",
"1727","中華化","8.50","2.35","108","28.33","0.64","108/4",
"1730","花仙子","59.30","6.34","108","11.04","2.28","108/4",
"1731","美吾華","12.00","5.00","108","15.79","0.91","108/4",
"1732","毛寶","28.50","0.00","107","48.31","2.66","108/4",
"1733","五鼎","21.40","5.14","108","18.77","1.28","108/4",
"1734","杏輝","16.75","1.19","108","209.38","1.01","108/4",
"1735","日勝化","15.90","4.09","108","13.36","1.08","108/4",
"1736","喬山","50.90","1.28","107","11.92","1.69","108/4",
"1737","臺鹽","28.80","5.21","108","16.65","0.94","108/4",
"1760","寶齡富錦","71.00","2.54","108","33.81","4.01","108/4",
"1762","中化生","32.30","2.48","108","21.39","1.24","108/4",
"1773","勝一","85.00","4.94","108","14.41","2.59","108/4",
"1776","展宇","17.90","4.75","108","21.06","1.25","108/4",
"1783","和康生","16.30","4.79","108","18.74","1.33","108/4",
"1786","科妍","46.40","4.01","108","22.31","1.98","108/4",
"1789","神隆","27.00","1.00","108","100.00","2.08","108/4",
"1795","美時","60.90","0.00","107","22.31","1.91","108/4",
"1802","台玻","7.34","4.09","107","-","0.53","108/4",
"1805","寶徠","8.20","0.00","107","-","1.23","108/4",
"1806","冠軍","4.06","0.00","107","-","0.30","108/4",
"1808","潤隆","55.00","5.45","108","25.82","3.07","108/4",
"1809","中釉","7.77","2.57","108","-","0.43","108/4",
"1810","和成","6.12","3.27","107","47.08","0.40","108/4",
"1817","凱撒衛","27.40","6.20","108","11.05","1.17","108/4",
"1902","台紙","20.25","1.73","107","21.77","1.29","108/4",
"1903","士紙","30.40","0.00","107","-","3.14","108/4",
"1904","正隆","20.50","5.85","108","9.86","0.96","108/4",
"1905","華紙","6.79","5.15","107","-","0.50","108/4",
"1906","寶隆","11.15","4.48","108","13.94","0.43","108/4",
"1907","永豐餘","11.65","6.01","108","8.44","0.49","108/4",
"1909","榮成","11.95","2.51","108","27.16","0.67","108/4",
"2002","中鋼","18.80","2.66","108","32.98","0.96","108/4",
"2006","東和鋼鐵","21.50","6.28","108","13.78","0.89","108/4",
"2007","燁興","3.70","0.00","107","-","0.72","108/4",
"2008","高興昌","12.50","0.00","107","-","1.03","108/4",
"2009","第一銅","6.45","0.00","107","-","0.63","108/4",
"2010","春源","8.62","3.48","108","23.30","0.55","108/4",
"2012","春雨","16.70","7.19","108","10.44","1.20","108/4",
"2013","中鋼構","19.50","4.15","108","23.78","0.88","108/4",
"2014","中鴻","6.80","1.47","107","680.00","0.67","108/4",
"2015","豐興","46.30","6.48","108","13.74","1.47","108/4",
"2017","官田鋼","6.27","6.38","107","-","0.56","108/4",
"2020","美亞","15.05","9.30","107","7.68","1.07","108/4",
"2022","聚亨","3.51","0.00","107","-","0.39","108/4",
"2023","燁輝","7.82","3.84","107","-","0.58","108/4",
"2024","志聯","11.95","1.26","108","66.39","1.02","108/4",
"2025","千興","1.32","0.00","107","-","0.59","108/4",
"2027","大成鋼","25.00","4.80","108","16.03","1.14","108/4",
"2028","威致","9.47","0.00","107","15.78","1.27","108/4",
"2029","盛餘","14.80","1.01","108","134.55","0.55","108/4",
"2030","彰源","9.65","5.18","108","10.27","0.69","108/4",
"2031","新光鋼","21.55","3.71","108","55.26","1.07","108/4",
"2032","新鋼","7.34","4.77","108","20.39","0.57","108/4",
"2033","佳大","8.47","2.36","108","18.82","0.67","108/4",
"2034","允強","21.90","6.85","108","14.31","1.20","108/4",
"2038","海光","5.15","0.00","107","-","0.31","108/4",
"2049","上銀","202.50","3.60","107","33.58","2.64","108/4",
"2059","川湖","290.00","2.76","108","17.74","2.58","108/4",
"2062","橋椿","18.50","0.54","108","43.02","0.57","108/4",
"2069","運錩","14.00","17.86","107","280.00","0.66","108/4",
"2101","南港","38.35","3.26","108","27.01","2.87","108/4",
"2102","泰豐","12.20","0.00","107","-","0.77","108/4",
"2103","台橡","14.50","3.45","108","16.11","0.80","108/4",
"2104","國際中橡","19.25","1.04","108","16.04","0.62","108/4",
"2105","正新","30.45","3.28","108","28.46","1.28","108/4",
"2106","建大","25.95","3.08","108","22.37","1.21","108/4",
"2107","厚生","15.15","5.28","108","9.84","0.49","108/4",
"2108","南帝","26.95","6.68","108","9.29","1.58","108/4",
"2109","華豐","11.00","0.00","107","366.67","1.34","108/4",
"2114","鑫永銓","71.60","6.98","108","12.72","2.16","108/4",
"2115","六暉-KY","35.90","7.52","108","12.78","1.34","108/4",
"2201","裕隆","14.85","4.51","107","-","0.51","108/4",
"2204","中華","25.45","6.68","107","-","0.36","108/4",
"2206","三陽工業","19.25","5.19","108","7.10","1.13","108/4",
"2207","和泰車","473.50","2.96","108","21.97","4.41","108/4",
"2208","台船","17.50","0.00","107","-","1.28","108/4",
"2227","裕日車","227.00","7.78","107","9.35","3.16","108/4",
"2228","劍麟","73.80","6.78","108","8.52","1.42","108/4",
"2231","為升","107.00","6.54","108","13.44","3.19","108/4",
"2233","宇隆","48.30","8.28","107","9.53","1.11","108/4",
"2236","百達-KY","13.05","3.14","108","14.83","0.50","108/4",
"2239","英利-KY","51.70","4.84","108","9.47","0.56","108/4",
"2243","宏旭-KY","9.03","0.00","107","-","0.50","108/4",
"2301","光寶科","41.35","7.74","108","10.26","1.33","108/4",
"2302","麗正","7.18","0.00","107","-","0.74","108/4",
"2303","聯電","13.80","5.43","108","16.63","0.78","108/4",
"2305","全友","4.22","0.00","107","422.00","0.40","108/4",
"2308","台達電","120.00","4.17","108","13.48","2.22","108/4",
"2312","金寶","9.86","3.04","108","29.00","0.87","108/4",
"2313","華通","31.75","3.78","108","9.89","1.47","108/4",
"2314","台揚","15.10","1.32","107","1,510.00","1.30","108/4",
"2316","楠梓電","24.35","2.05","108","8.92","0.68","108/4",
"2317","鴻海","70.00","5.71","107","8.41","0.78","108/4",
"2321","東訊","1.16","0.00","107","-","1.01","108/4",
"2323","中環","6.97","2.87","108","34.85","0.42","108/4",
"2324","仁寶","17.75","6.76","108","11.09","0.73","108/4",
"2327","國巨*","272.50","5.50","108","16.77","2.52","108/4",
"2328","廣宇","16.70","5.99","108","8.39","0.79","108/4",
"2329","華泰","9.80","1.53","108","9.33","0.90","108/4",
"2330","台積電","271.50","3.50","108","20.38","4.34","108/4",
"2331","精英","8.36","0.00","107","104.50","0.43","108/4",
"2332","友訊","11.50","1.74","107","-","0.88","108/4",
