"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","40.05","10.01","107","9.49","1.15","108/2",
"1102","亞泥","43.80","6.39","107","10.50","1.05","108/2",
"1103","嘉泥","17.50","5.71","107","10.94","0.51","108/2",
"1104","環泥","18.85","5.31","107","11.15","0.69","108/2",
"1108","幸福","7.02","0.00","107","-","0.67","108/2",
"1109","信大","17.60","4.55","107","6.35","0.95","108/2",
"1110","東泥","16.45","0.61","107","274.17","1.10","108/2",
"1201","味全","26.50","3.02","107","6.43","1.92","108/2",
"1203","味王","26.65","3.75","107","13.39","1.32","108/2",
"1210","大成","37.65","5.31","107","14.43","1.61","108/2",
"1215","卜蜂","65.70","4.57","107","14.80","2.46","108/2",
"1216","統一","77.50","3.23","107","23.56","4.21","108/2",
"1217","愛之味","7.00","0.00","107","53.85","0.62","108/2",
"1218","泰山","19.90","4.02","107","19.70","1.55","108/2",
"1219","福壽","18.20","0.55","107","-","1.55","108/2",
"1220","台榮","10.00","4.60","107","25.00","0.81","108/2",
"1225","福懋油","47.25","2.43","107","41.45","3.36","108/2",
"1227","佳格","64.60","3.87","107","18.04","3.91","108/2",
"1229","聯華","34.55","6.08","107","13.93","1.40","108/2",
"1231","聯華食","42.85","5.37","107","13.14","2.14","108/2",
"1232","大統益","120.50","4.15","107","19.56","5.37","108/2",
"1233","天仁","38.50","4.94","107","21.04","2.34","108/2",
"1234","黑松","31.75","5.04","107","17.45","0.74","108/2",
"1235","興泰","28.25","4.42","107","97.41","0.48","108/2",
"1236","宏亞","12.85","3.11","107","-","0.85","108/2",
"1256","鮮活果汁-KY","187.00","3.85","107","11.60","3.11","108/2",
"1262","綠悅-KY","39.80","0.00","107","-","0.65","108/2",
"1301","台塑","96.10","6.04","107","15.68","1.78","108/2",
"1303","南亞","69.40","7.20","107","16.41","1.56","108/2",
"1304","台聚","13.10","2.29","107","19.85","0.75","108/2",
"1305","華夏","19.40","9.79","107","16.72","1.25","108/2",
"1307","三芳","23.35","2.14","107","27.47","1.12","108/2",
"1308","亞聚","15.10","1.99","107","17.98","0.85","108/2",
"1309","台達化","11.05","3.62","107","27.63","0.85","108/2",
"1310","台苯","22.20","9.01","107","10.47","1.69","108/2",
"1312","國喬","18.90","0.00","107","7.05","0.73","108/2",
"1313","聯成","10.65","4.69","107","-","0.66","108/2",
"1314","中石化","10.40","9.62","107","9.63","0.42","108/2",
"1315","達新","31.75","3.78","107","8.29","0.74","108/2",
"1316","上曜","12.00","15.75","107","-","1.16","108/2",
"1319","東陽","48.30","3.52","107","15.19","1.35","108/2",
"1321","大洋","29.65","0.00","107","-","1.29","108/2",
"1323","永裕","33.80","5.33","107","10.40","1.56","108/2",
"1324","地球","10.10","2.97","107","1,010.00","0.77","108/2",
"1325","恆大","15.55","3.22","107","26.36","0.78","108/2",
"1326","台化","89.20","6.95","107","14.53","1.46","108/2",
"1337","再生-KY","5.90","0.00","107","-","0.21","108/2",
"1338","廣華-KY","68.80","5.09","107","14.55","0.89","108/2",
"1339","昭輝","43.85","4.56","107","10.08","0.95","108/2",
"1340","勝悅-KY","15.80","7.59","107","-","0.34","108/2",
"1341","富林-KY","59.10","5.08","107","19.38","2.68","108/2",
"1402","遠東新","29.00","6.21","107","15.26","0.77","108/2",
"1409","新纖","11.45","7.42","107","8.42","0.64","108/2",
"1410","南染","26.25","4.95","107","22.25","1.64","108/2",
"1413","宏洲","11.05","0.00","107","7.89","1.21","108/2",
"1414","東和","6.85","2.92","107","342.50","0.49","108/2",
"1416","廣豐","14.00","8.57","107","12.84","0.64","108/2",
"1417","嘉裕","9.41","0.00","107","-","0.98","108/2",
"1418","東華","6.81","0.00","107","-","0.49","108/2",
"1419","新紡","41.85","2.03","107","37.04","1.46","108/2",
"1423","利華","10.55","0.00","107","28.51","0.61","108/2",
"1432","大魯閣","7.10","0.00","107","-","0.76","108/2",
"1434","福懋","34.65","6.06","107","9.96","0.85","108/2",
"1435","中福","5.60","0.00","107","-","0.78","108/2",
"1436","華友聯","35.45","11.28","107","11.70","1.13","108/2",
"1437","勤益控","22.65","2.21","107","5.41","0.72","108/2",
"1438","三地開發","13.30","0.00","107","-","2.59","108/2",
"1439","雋揚","29.20","0.00","107","3.11","0.97","108/2",
"1440","南紡","11.35","3.52","107","39.14","0.76","108/2",
"1441","大東","9.43","34.99","107","-","0.58","108/2",
"1442","名軒","16.25","6.15","107","-","1.00","108/2",
"1443","立益物流","9.50","0.00","107","-","1.11","108/2",
"1444","力麗","9.28","4.31","107","21.09","0.83","108/2",
"1445","大宇","7.08","2.82","107","-","0.55","108/2",
"1446","宏和","31.00","0.97","107","-","2.74","108/2",
"1447","力鵬","7.10","2.82","107","-","0.60","108/2",
"1449","佳和","4.67","0.00","107","12.97","0.87","108/2",
"1451","年興","23.35","8.57","107","16.80","0.63","108/2",
"1452","宏益","18.15","7.71","107","12.52","1.00","108/2",
"1453","大將","7.96","12.56","107","-","0.54","108/2",
"1454","台富","7.98","2.51","107","38.00","0.66","108/2",
"1455","集盛","8.69","2.30","107","-","0.71","108/2",
"1456","怡華","0.00","0.00","107","22.05","0.70","108/2",
"1457","宜進","13.90","5.04","107","9.93","0.73","108/2",
"1459","聯發","7.08","0.00","107","-","0.74","108/2",
"1460","宏遠","10.15","1.97","107","78.08","0.91","108/2",
"1463","強盛新","13.50","10.37","107","14.21","1.04","108/2",
"1464","得力","23.90","6.28","107","20.43","1.87","108/2",
"1465","偉全","14.30","2.10","107","3.98","0.73","108/2",
"1466","聚隆","8.00","0.00","107","-","0.54","108/2",
"1467","南緯","8.67","0.00","107","61.93","0.84","108/2",
"1468","昶和","10.05","0.00","107","27.16","1.47","108/2",
"1470","大統新創","21.65","1.85","107","24.06","1.95","108/2",
"1471","首利","3.77","0.00","107","-","0.69","108/2",
"1472","三洋實業","34.25","0.00","107","14.96","2.99","108/2",
"1473","台南","26.65","1.88","107","15.40","1.00","108/2",
"1474","弘裕","9.05","3.31","107","33.52","0.64","108/2",
"1475","業旺","0.00","0.00","107","-","4.04","108/2",
"1476","儒鴻","400.00","2.75","107","25.82","6.89","108/2",
"1477","聚陽","178.00","3.99","107","20.72","4.56","108/2",
"1503","士電","45.40","3.30","107","14.69","1.01","108/2",
"1504","東元","25.35","3.55","107","14.91","0.86","108/2",
"1506","正道","15.15","0.00","107","-","1.75","108/2",
"1507","永大","65.50","2.75","107","55.98","2.46","108/2",
"1512","瑞利","5.15","0.00","107","-","1.59","108/2",
"1513","中興電","20.30","4.93","107","16.11","1.15","108/2",
"1514","亞力","16.50","6.06","107","12.60","1.16","108/2",
"1515","力山","91.30","2.19","107","13.27","5.39","108/2",
"1516","川飛","14.70","3.13","107","42.00","1.26","108/2",
"1517","利奇","9.32","2.68","107","133.14","0.66","108/2",
"1519","華城","24.50","1.22","107","24.26","2.10","108/2",
"1521","大億","65.80","5.78","107","14.43","2.80","108/2",
"1522","堤維西","31.80","4.09","107","16.22","1.52","108/2",
"1524","耿鼎","9.97","5.02","107","9.59","0.79","108/2",
"1525","江申","58.00","3.10","107","11.44","1.03","108/2",
"1526","日馳","29.25","3.42","107","14.63","1.80","108/2",
"1527","鑽全","50.50","7.92","107","7.18","1.85","108/2",
"1528","恩德","9.26","2.16","107","-","0.74","108/2",
"1529","樂事綠能","18.40","1.09","107","68.15","1.76","108/2",
"1530","亞崴","28.60","6.99","107","10.59","0.95","108/2",
"1531","高林股","15.10","3.31","107","33.56","0.75","108/2",
"1532","勤美","30.75","8.78","107","7.90","0.98","108/2",
"1533","車王電","38.95","2.05","107","14.64","1.55","108/2",
"1535","中宇","32.50","3.38","107","38.69","1.36","108/2",
"1536","和大","112.50","3.11","107","29.15","4.56","108/2",
"1537","廣隆","147.00","6.80","107","12.05","3.30","108/2",
"1538","正峰","3.70","0.00","107","-","0.78","108/2",
"1539","巨庭","21.00","8.57","107","4.38","1.05","108/2",
"1540","喬福","19.75","7.59","107","9.63","1.17","108/2",
"1541","錩泰","36.00","2.78","107","27.27","2.51","108/2",
"1558","伸興","133.50","8.24","107","9.56","1.82","108/2",
"1560","中砂","59.90","5.84","107","13.77","2.11","108/2",
"1568","倉佑","21.75","2.99","107","50.58","1.42","108/2",
"1582","信錦","77.90","8.34","107","10.53","1.85","108/2",
"1583","程泰","52.80","5.68","107","11.97","1.33","108/2",
"1587","吉茂","17.75","1.69","107","21.39","0.96","108/2",
"1589","永冠-KY","52.50","0.00","107","-","0.70","108/2",
"1590","亞德客-KY","368.50","1.42","107","26.84","3.93","108/2",
"1592","英瑞-KY","21.00","0.00","107","-","0.87","108/2",
"1598","岱宇","40.90","1.71","107","18.85","2.03","108/2",
"1603","華電","20.80","2.40","107","18.25","0.66","108/2",
"1604","聲寶","17.60","7.95","107","7.04","1.01","108/2",
"1605","華新","15.00","8.00","107","7.94","0.66","108/2",
"1608","華榮","9.99","0.00","107","-","0.67","108/2",
"1609","大亞","10.55","6.64","107","19.91","0.87","108/2",
"1611","中電","9.04","1.66","107","23.18","0.80","108/2",
"1612","宏泰","11.20","2.86","107","18.06","0.76","108/2",
"1614","三洋電","27.85","3.27","107","38.15","1.44","108/2",
"1615","大山","16.50","8.18","107","9.32","1.14","108/2",
"1616","億泰","4.82","0.00","107","-","0.57","108/2",
"1617","榮星","12.30","8.13","107","11.71","1.06","108/2",
"1618","合機","8.15","3.68","107","-","0.51","108/2",
"1626","艾美特-KY","32.05","0.00","107","13.35","1.39","108/2",
"1701","中化","18.65","4.29","107","15.04","0.96","108/2",
"1702","南僑","50.70","5.33","107","13.41","2.11","108/2",
"1707","葡萄王","188.50","3.45","107","19.35","4.71","108/2",
"1708","東鹼","25.70","3.89","107","17.36","0.88","108/2",
"1709","和益","12.95","3.86","107","35.00","0.93","108/2",
"1710","東聯","22.05","7.94","107","27.91","1.39","108/2",
"1711","永光","16.50","3.03","107","21.15","1.18","108/2",
"1712","興農","18.95","6.86","107","11.99","1.17","108/2",
"1713","國化","18.25","3.89","107","26.07","1.22","108/2",
"1714","和桐","7.16","2.09","107","23.10","0.65","108/2",
"1717","長興","25.20","3.57","107","15.85","1.44","108/2",
"1718","中纖","8.29","9.05","107","-","0.45","108/2",
"1720","生達","32.40","4.63","107","15.14","1.63","108/2",
"1721","三晃","8.99","0.00","107","64.21","0.85","108/2",
"1722","台肥","45.60","4.82","107","19.57","0.90","108/2",
"1723","中碳","125.50","4.22","107","19.02","4.49","108/2",
"1724","台硝","13.00","3.85","107","17.57","0.85","108/2",
"1725","元禎","14.60","5.75","107","13.77","0.81","108/2",
"1726","永記","70.00","5.00","107","18.18","1.38","108/2",
"1727","中華化","12.50","4.80","107","28.41","0.96","108/2",
"1730","花仙子","74.20","4.72","107","11.17","3.02","108/2",
"1731","美吾華","13.10","3.82","107","18.71","1.01","108/2",
"1732","毛寶","10.05","0.00","107","34.66","0.98","108/2",
"1733","五鼎","27.05","3.14","107","32.59","1.67","108/2",
"1734","杏輝","19.20","0.52","107","-","1.11","108/2",
"1735","日勝化","15.90","0.94","107","26.50","1.10","108/2",
"1736","喬山","84.90","0.77","107","26.37","3.00","108/2",
"1737","臺鹽","33.00","5.45","107","19.64","1.10","108/2",
"1760","寶齡富錦","87.50","2.06","107","33.65","5.16","108/2",
"1762","中化生","32.65","3.68","107","9.38","1.30","108/2",
"1773","勝一","83.30","6.00","107","14.49","2.80","108/2",
"1776","展宇","15.05","5.32","107","75.25","1.05","108/2",
"1783","和康生","25.75","2.64","107","30.65","2.17","108/2",
"1786","科妍","74.30","2.15","107","41.98","3.33","108/2",
"1789","神隆","23.95","2.05","107","61.41","1.82","108/2",
"1802","台玻","11.85","2.53","107","-","0.81","108/2",
"1805","寶徠","9.28","0.00","107","-","1.34","108/2",
"1806","冠軍","6.42","0.00","107","-","0.44","108/2",
"1808","潤隆","62.00","12.90","107","33.70","3.97","108/2",
"1809","中釉","12.75","1.57","107","-","0.69","108/2",
"1810","和成","7.57","2.64","107","-","0.51","108/2",
"1817","凱撒衛","35.90","6.41","107","12.09","1.61","108/2",
"1902","台紙","20.55","1.70","107","32.11","1.34","108/2",
"1903","士紙","31.80","0.00","107","-","3.19","108/2",
"1904","正隆","18.30","6.01","107","10.58","0.91","108/2",
"1905","華紙","9.98","3.51","107","31.19","0.70","108/2",
"1906","寶隆","12.60","3.97","107","9.84","0.50","108/2",
"1907","永豐餘","11.70","5.13","107","12.45","0.50","108/2",
"1909","榮成","14.40","3.47","107","360.00","0.79","108/2",
"2002","中鋼","23.50","4.26","107","17.80","1.17","108/2",
"2006","東和鋼鐵","21.05","5.70","107","20.44","0.90","108/2",
"2007","燁興","4.75","0.00","107","-","0.82","108/2",
"2008","高興昌","0.00","0.00","107","-","1.07","108/2",
"2009","第一銅","9.81","0.00","107","327.00","0.95","108/2",
"2010","春源","10.40","5.38","107","34.67","0.67","108/2",
"2012","春雨","20.30","6.40","107","11.80","1.48","108/2",
"2013","中鋼構","24.75","1.90","107","43.42","1.14","108/2",
"2014","中鴻","10.15","0.99","107","7.99","0.97","108/2",
"2015","豐興","54.60","7.33","107","11.79","1.82","108/2",
"2017","官田鋼","6.95","5.76","107","99.29","0.60","108/2",
"2020","美亞","14.55","9.62","107","9.04","1.09","108/2",
"2022","聚亨","6.58","0.00","107","-","0.62","108/2",
"2023","燁輝","9.22","3.25","107","-","0.64","108/2",
"2024","志聯","11.65","5.15","107","25.89","0.99","108/2",
"2025","千興","1.63","0.00","107","-","0.67","108/2",
