"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1529","樂事綠能","3.21","108","28.36","1.46","109/2",
"1530","亞崴","4.99","108","8.39","0.95","109/2",
"1531","高林股","1.80","108","-","0.59","109/2",
"1532","勤美","3.43","108","63.81","0.91","109/2",
"1533","車王電","1.66","108","42.54","1.24","109/2",
"1535","中宇","3.79","108","26.38","1.36","109/2",
"1536","和大","1.90","108","69.08","4.32","109/2",
"1537","廣隆","7.25","108","12.56","3.13","109/2",
"1538","正峰","0.00","108","-","1.05","109/2",
"1539","巨庭","3.96","108","59.41","1.03","109/2",
"1540","喬福","6.78","108","-","0.94","109/2",
"1541","錩泰","0.00","108","11.85","2.95","109/2",
"1558","伸興","6.40","108","12.06","1.85","109/2",
"1560","中砂","4.41","108","15.91","2.16","109/2",
"1568","倉佑","2.99","108","-","1.18","109/2",
"1582","信錦","5.30","108","10.19","2.00","109/2",
"1583","程泰","5.00","108","13.30","1.40","109/2",
"1587","吉茂","1.75","108","19.23","1.55","109/2",
"1589","永冠-KY","0.48","108","33.39","1.50","109/2",
"1590","亞德客-KY","0.68","108","43.90","7.08","109/2",
"1592","英瑞-KY","0.00","108","-","0.64","109/2",
"1598","岱宇","0.79","108","47.47","5.82","109/2",
"1603","華電","1.75","108","19.32","0.89","109/2",
"1604","聲寶","6.45","108","19.87","1.42","109/2",
"1605","華新","3.04","108","13.77","0.75","109/2",
"1608","華榮","6.60","108","19.23","0.70","109/2",
"1609","大亞","1.98","108","11.65","1.21","109/2",
"1611","中電","9.88","108","5.76","0.97","109/2",
"1612","宏泰","3.79","108","26.40","0.90","109/2",
"1614","三洋電","2.12","108","33.18","1.99","109/2",
"1615","大山","9.09","108","9.57","1.36","109/2",
"1616","億泰","0.00","108","-","0.61","109/2",
"1617","榮星","2.34","108","15.80","1.11","109/2",
"1618","合機","3.16","108","14.36","0.57","109/2",
"1626","艾美特-KY","3.85","108","20.63","1.19","109/2",
"1701","中化","3.36","108","13.84","1.10","109/2",
"1702","南僑","4.69","108","12.14","1.88","109/2",
"1707","葡萄王","3.61","108","19.13","4.21","109/2",
"1708","東鹼","6.85","108","26.84","0.86","109/2",
"1709","和益","3.44","108","22.05","1.02","109/2",
"1710","東聯","1.75","108","-","1.19","109/2",
"1711","永光","1.89","108","36.14","1.13","109/2",
"1712","興農","6.22","108","13.48","1.28","109/2",
"1713","國化","3.23","108","47.24","1.20","109/2",
"1714","和桐","0.00","108","5.51","0.83","109/2",
"1717","長興","4.05","108","21.63","2.16","109/2",
"1718","中纖","0.00","108","-","0.45","109/2",
"1720","生達","3.82","108","15.41","1.88","109/2",
"1721","三晃","0.00","108","4.02","0.81","109/2",
"1722","台肥","4.18","108","20.08","1.03","109/2",
"1723","中碳","5.39","108","23.61","3.58","109/2",
"1724","台硝","3.95","108","30.85","0.83","109/2",
"1725","元禎","5.83","108","14.79","0.78","109/2",
"1726","永記","4.62","108","14.69","1.37","109/2",
"1727","中華化","1.85","108","-","0.92","109/2",
"1730","花仙子","5.20","108","17.34","2.98","109/2",
"1731","美吾華","3.63","108","16.39","1.24","109/2",
"1732","毛寶","0.00","108","24.75","2.20","109/2",
"1733","五鼎","4.26","108","25.05","1.63","109/2",
"1734","杏輝","0.44","108","126.11","2.85","109/2",
