"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1713","國化","12.50","3.70","0.93",
"1714","和桐","-","0.00","0.87",
"1715","萬洲","10.51","6.45","0.88",
"1716","永信","13.14","6.98","1.47",
"1717","長興","15.37","4.37","2.76",
"1718","中纖","-","0.00","0.68",
"1720","生達","9.31","7.94","1.22",
"1721","三晃","-","0.00","1.38",
"1722","台肥","28.84","3.53","1.26",
"1723","中碳","9.35","8.51","2.95",
"1724","台硝","20.41","5.83","1.28",
"1725","元禎","8.97","9.58","1.25",
"1726","永記","13.97","3.61","2.00",
"1727","中華化","13.89","8.00","0.82",
"1729","必翔","19.14","4.53","4.08",
"1730","花仙子","13.53","6.02","1.03",
"1731","美吾華","30.41","1.78","0.81",
"1732","毛寶","24.66","0.00","1.31",
"1733","五鼎","12.24","4.87","3.23",
"1734","杏輝","28.67","7.56","1.21",
"1735","日勝化","31.54","4.27","1.13",
"1736","喬山","24.12","1.88","8.50",
"1737","臺鹽","85.22","5.10","0.79",
"1802","台玻","18.41","4.32","1.35",
"1805","寶徠","7.83","0.00","2.22",
"1806","冠軍","13.74","0.00","1.16",
"1808","潤隆","6.48","1.68","2.78",
"1809","中釉","27.42","1.18","1.28",
"1810","和成","40.53","0.00","1.06",
"1902","台紙","-","0.00","0.70",
"1903","士紙","-","0.00","3.32",
"1904","正隆","17.70","3.82","0.89",
"1905","華紙","28.25","5.06","1.25",
"1906","寶隆","26.26","0.00","0.81",
"1907","永豐餘","19.19","6.20","1.05",
"1909","榮成","13.75","5.52","1.20",
"2002","中鋼","12.14","11.85","2.02",
"2006","東和鋼鐵","8.31","8.09","1.67",
"2007","燁興","-","0.00","0.78",
"2008","高興昌","-","0.00","1.28",
"2009","第一銅","8.06","1.82","1.25",
"2010","春源","14.24","11.37","0.91",
"2012","春雨","21.48","4.31","0.99",
"2013","中鋼構","10.60","4.38","0.90",
"2014","中鴻","-","0.00","1.87",
"2015","豐興","9.29","7.00","1.89",
"2017","官田鋼","-","0.00","0.74",
"2020","美亞","18.79","0.71","1.77",
"2022","聚亨","-","0.00","0.75",
"2023","燁輝","11.85","6.80","0.82",
"2024","志聯","24.36","0.00","0.82",
"2025","千興","26.59","0.00","1.20",
"2027","大成鋼","9.52","3.86","2.07",
"2028","威致","35.65","0.00","1.17",
"2029","盛餘","8.46","6.29","1.31",
"2030","彰源","9.09","7.36","1.47",
"2031","新光鋼","12.79","4.59","1.26",
"2032","新鋼","10.19","0.00","1.89",
"2033","佳大","31.14","9.08","0.92",
"2034","允強","9.60","3.53","2.58",
"2101","南港","15.82","9.58","2.62",
"2102","泰豐","13.48","3.82","1.24",
"2103","台橡","7.62","11.18","1.56",
"2104","國際中橡","21.31","2.49","1.87",
"2105","正新","19.91","4.50","1.92",
"2106","建大","37.32","2.63","1.54",
"2107","厚生","130.00","0.00","1.66",
"2108","南帝","14.09","5.71","1.49",
"2109","華豐","-","0.00","0.67",
"2201","裕隆","16.88","4.18","1.09",
"2204","中華","9.87","5.50","0.95",
"2206","三陽工業","14.29","4.29","1.42",
"2207","和泰車","11.46","7.38","2.30",
"2227","裕日車","12.52","7.86","2.12",
"2301","光寶科","15.62","5.47","2.13",
"2302","麗正","-","0.00","0.48",
"2303","聯電","12.90","2.27","1.39",
"2305","全友","-","0.00","0.87",
"2308","台達電","17.65","3.33","4.34",
"2311","日月光","9.64","0.00","2.69",
"2312","金寶","13.92","5.41","0.85",
"2313","華通","16.87","0.00","1.27",
"2314","台揚","17.94","0.00","1.29",
"2315","神達","9.92","5.05","2.01",
"2316","楠梓電","18.87","0.75","0.84",
"2317","鴻海","23.44","2.15","5.71",
"2321","東訊","9.77","5.50","1.02",
"2323","中環","-","0.00","0.68",
"2324","仁寶","12.52","5.75","1.63",
"2325","矽品","10.87","5.14","2.56",
"2327","國巨","23.03","0.00","1.34",
"2328","廣宇","72.99","1.00","5.97",
"2329","華泰","-","0.00","1.53",
"2330","台積電","13.11","3.91","3.62",
"2331","精英","1,090.00","2.98","1.38",
"2332","友訊","14.05","3.28","2.17",
"2336","致伸","10.78","0.00","1.41",
"2337","旺宏","235.00","0.00","1.38",
