"95年08月07日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1712","興農","14.24","3.34","0.49",
"1713","國化","8.42","5.55","0.60",
"1714","和桐","-","17.33","0.64",
"1715","萬洲","9.08","8.64","0.65",
"1716","永信","14.23","7.25","1.35",
"1717","長興","17.91","4.71","2.73",
"1718","中纖","-","0.00","0.58",
"1720","生達","8.43","8.72","1.06",
"1721","三晃","94.67","0.00","0.87",
"1722","台肥","26.28","3.30","1.04",
"1723","中碳","9.08","9.68","2.40",
"1724","台硝","31.30","4.17","1.22",
"1725","元禎","10.94","11.44","1.12",
"1726","永記","8.91","6.13","1.33",
"1727","中華化","11.35","8.29","0.75",
"1729","必翔","22.22","3.87","4.45",
"1730","花仙子","11.34","6.55","0.92",
"1731","美吾華","29.55","2.18","0.66",
"1732","毛寶","55.71","0.00","1.11",
"1733","五鼎","10.50","7.64","2.17",
"1734","杏輝","12.24","7.93","1.14",
"1735","日勝化","22.37","5.30","0.99",
"1736","喬山","20.46","2.15","6.69",
"1737","臺鹽","44.77","5.08","0.78",
"1802","台玻","13.48","5.39","1.11",
"1805","寶徠","-","0.00","1.04",
"1806","冠軍","8.25","0.00","0.49",
"1808","潤隆","3.68","0.00","1.50",
"1809","中釉","12.80","2.79","0.55",
"1810","和成","53.85","0.00","0.50",
"1902","台紙","-","0.00","0.45",
"1903","士紙","-","0.00","2.23",
"1904","正隆","19.82","4.59","0.73",
"1905","華紙","13.68","5.77","1.06",
"1906","寶隆","23.00","0.00","0.49",
"1907","永豐餘","12.04","7.10","0.85",
"1909","榮成","11.19","9.14","0.75",
"2002","中鋼","7.10","15.74","1.38",
"2006","東和鋼鐵","7.45","10.68","1.23",
"2007","燁興","-","0.00","0.68",
"2008","高興昌","-","0.00","0.98",
"2009","第一銅","11.18","2.63","0.98",
"2010","春源","9.00","13.49","0.72",
"2012","春雨","22.27","5.48","0.79",
"2013","中鋼構","11.97","2.30","0.74",
"2014","中鴻","-","8.65","1.96",
"2015","豐興","8.09","9.82","1.33",
"2017","官田鋼","-","0.00","0.59",
"2020","美亞","-","13.57","1.19",
"2022","聚亨","-","0.00","0.48",
"2023","燁輝","18.01","8.16","0.67",
"2024","志聯","-","0.00","0.49",
"2025","千興","-","0.00","1.09",
"2027","大成鋼","12.06","6.04","1.47",
"2028","威致","-","0.00","0.66",
"2029","盛餘","12.89","7.72","1.08",
"2030","彰源","10.25","11.60","1.00",
"2031","新光鋼","-","5.08","1.16",
"2032","新鋼","-","0.00","1.14",
"2033","佳大","39.11","13.32","0.65",
"2034","允強","19.80","5.02","1.62",
"2101","南港","10.25","12.29","2.17",
"2102","泰豐","9.06","4.93","0.98",
"2103","台橡","6.61","13.59","1.30",
"2104","國際中橡","10.91","2.84","1.15",
"2105","正新","16.85","7.37","1.55",
"2106","建大","97.86","9.49","1.08",
"2107","厚生","111.15","0.00","1.05",
"2108","南帝","8.37","8.05","1.00",
"2109","華豐","-","0.00","0.57",
"2201","裕隆","8.51","0.93","0.87",
"2204","中華","7.27","1.16","0.80",
"2206","三陽工業","9.08","5.65","1.07",
"2207","和泰車","7.98","6.24","1.84",
"2227","裕日車","10.53","5.63","2.31",
"2301","光寶科","12.73","4.94","2.10",
"2302","麗正","23.57","0.00","0.20",
"2303","聯電","19.14","2.53","1.16",
"2305","全友","-","0.00","0.45",
"2308","台達電","19.33","4.03","3.67",
"2311","日月光","-","0.00","2.54",
"2312","金寶","11.41","6.19","0.73",
"2313","華通","24.82","0.00","1.21",
"2314","台揚","31.41","0.00","1.10",
"2315","神達","7.08","3.21","1.48",
"2316","楠梓電","14.93","7.55","0.68",
"2317","鴻海","18.30","2.27","4.10",
"2321","東訊","9.80","6.48","0.85",
"2323","中環","-","0.00","0.49",
"2324","仁寶","11.22","6.16","1.53",
"2325","矽品","10.01","7.66","1.85",
"2327","國巨","32.35","0.00","1.03",
"2328","廣宇","21.88","2.69","2.16",
"2329","華泰","-","0.00","0.60",
"2330","台積電","12.88","4.84","2.95",
"2331","精英","25.94","0.00","0.91",
"2332","友訊","11.19","7.10","1.62",
"2336","致伸","9.87","0.00","1.15",
"2337","旺宏","-","0.00","1.00",
"2338","光罩","9.40","8.23","1.38",
"2340","台亞","-","0.00","1.46",
"2341","英群","-","0.00","1.47",
"2342","茂矽","11.24","6.90","1.01",
"2344","華邦電","112.63","0.00","0.70",
"2345","智邦","-","0.00","1.66",
"2347","聯強","11.20","6.71","1.38",
"2348","海悅","6.99","0.00","0.72",
"2349","錸德","-","0.00","0.35",
"2350","環電","8.63","7.48","0.78",
"2351","順德","16.78","3.53","1.95",
"2352","佳世達","-","0.00","1.18",
"2353","宏碁","9.32","5.86","1.33",
"2354","鴻準","32.91","0.61","9.14",
"2355","敬鵬","7.59","8.97","0.92",
"2356","英業達","11.31","5.26","1.38",
"2357","華碩","13.26","3.42","1.90",
"2358","廷鑫","16.13","0.00","0.88",
"2359","所羅門","2.96","0.00","0.79",
"2360","致茂","10.50","6.89","1.95",
"2361","鴻友","-","9.59","0.35",
"2362","藍天","-","0.00","1.48",
"2363","矽統","18.39","3.56","1.17",
"2364","倫飛","-","0.00","0.36",
"2365","昆盈","8.07","6.58","1.44",
"2367","燿華","8.95","0.00","0.74",
"2368","金像電","8.35","4.84","1.30",
"2369","菱生","-","0.00","0.66",
"2371","大同","-","0.00","1.02",
"2373","震旦行","9.83","5.00","1.33",
"2374","佳能","8.84","0.00","1.40",
"2375","凱美","-","0.00","0.53",
"2376","技嘉","12.03","5.94","0.79",
"2377","微星","20.99","2.77","0.70",
"2379","瑞昱","13.83","4.22","1.56",
"2380","虹光","6.31","5.07","0.98",
"2381","華宇","-","0.00","0.70",
"2382","廣達","12.81","6.79","2.05",
"2383","台光電","18.38","3.90","1.24",
"2384","勝華","5.83","7.28","1.21",
"2385","群光","21.20","4.72","2.81",
"2387","精元","11.39","4.95","2.44",
"2388","威盛","24.72","0.00","2.05",
"2390","云辰","-","0.00","0.57",
"2391","合勤","11.19","6.50","2.17",
"2392","正崴","22.69","2.04","3.32",
"2393","億光","16.43","4.19","3.44",
"2395","研華","17.17","4.38","3.36",
"2396","精碟","-","0.00","0.21",
"2397","友通","12.93","1.81","2.05",
"2399","映泰","6.65","2.01","0.88",
"2401","凌陽","9.28","7.73","1.75",
"2402","毅嘉","487.50","0.00","2.32",
"2403","友尚","9.74","9.96","0.67",
"2404","漢唐","9.58","12.85","1.26",
"2405","輔信","21.30","5.20","0.81",
"2406","國碩","-","0.00","0.44",
"2408","南亞科","25.58","1.82","1.47",
"2409","友達","12.08","1.24","1.81",
"2411","飛瑞","12.09","7.10","2.44",
"2412","中華電","12.47","7.56","1.41",
"2413","環科","-","0.00","0.85",
"2414","精技","11.67","6.10","0.93",
"2415","錩新","47.59","5.91","0.84",
"2417","圓剛","12.17","7.49","2.03",
"2418","雅新","6.87","6.14","1.35",
"2419","仲琦","17.77","0.00","0.80",
"2420","新巨","10.92","8.18","1.77",
"2421","建準","22.81","3.42","1.14",
"2423","固緯","7.21","9.68","1.07",
"2424","隴華","-","0.00","0.67",
"2425","承啟","-","0.00","0.63",
