,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,9945,2021,272.40,41.70,211.00,55.00,63.80,56.60,14.50,9.25,55.66,2021,7.00,9.75,7.98,87.70
1,9945,2020,192.30,10.20,150.00,53.00,40.90,43.40,9.08,5.51,76.18,2020,5.00,8.83,5.88,85.00
2,9945,2019,174.60,16.20,100.00,53.00,45.20,44.30,15.90,8.11,80.91,2019,6.00,13.80,9.35,64.20
3,9945,2018,150.20,36.00,100.00,51.00,44.75,37.20,23.80,11.00,30.90,2018,2.00,4.52,7.22,27.70
4,9945,2017,110.40,-16.10,167.00,57.00,31.95,33.90,25.90,12.70,29.09,2017,2.00,5.37,6.91,28.90
5,9945,2016,131.60,0.81,139.00,53.00,36.80,38.50,24.40,11.10,23.30,2016,2.00,5.91,5.90,33.90
6,9945,2015,130.50,5.94,139.00,53.00,42.85,44.20,27.70,11.60,20.72,2015,0.00,0.00,6.46,0.00
7,9945,2014,123.20,-18.40,119.00,47.00,50.40,52.00,18.60,9.16,43.55,2014,4.00,9.04,5.69,70.20
8,9945,2013,151.00,13.20,119.00,55.00,57.80,60.30,83.60,43.80,38.95,2013,4.40,8.47,29.03,15.20
9,9945,2012,67.53,-16.90,100.00,40.00,59.80,46.90,13.00,6.35,22.93,2012,2.91,4.83,3.06,95.10
10,9945,2011,81.24,-7.24,97.90,45.00,32.40,39.80,15.10,7.72,21.14,2011,1.80,3.84,3.44,52.30
11,9945,2010,87.59,9.50,75.90,36.00,51.30,49.80,8.78,4.04,14.99,2010,1.00,2.51,1.39,71.90
12,9945,2009,79.99,-9.29,75.90,34.00,42.60,28.40,6.16,2.67,13.82,2009,0.95,1.91,0.68,140.00
13,9945,2008,88.18,-25.90,75.90,40.00,17.40,25.80,7.92,3.35,12.19,2008,0.40,1.41,0.85,47.10
14,9945,2007,119.00,2.90,75.90,40.00,27.05,29.80,11.50,5.10,12.80,2007,1.30,5.04,1.54,84.40
15,9945,2006,115.60,43.10,75.90,40.00,28.10,16.90,16.20,6.68,13.49,2006,1.90,6.38,2.10,90.50
16,9945,2005,80.77,5.42,78.30,32.00,7.70,7.16,4.09,1.44,11.35,2005,0.80,4.74,0.39,205.00
17,9945,2004,76.62,24.80,78.30,34.00,7.40,6.76,2.99,1.05,10.82,2004,0.00,0.00,0.27,0.00
18,9945,2003,61.39,12.80,78.30,34.00,5.60,5.14,0.08,0.03,10.48,2003,0.00,0.00,0.01,0.00
19,9945,2002,54.42,-23.90,78.30,32.00,5.95,6.09,0.94,0.35,10.66,2002,0.00,0.00,0.10,0.00
20,9945,2001,71.50,52.70,78.30,28.00,6.35,5.32,3.47,1.17,10.52,2001,0.00,0.00,0.36,0.00
21,9945,2000,46.82,-32.80,78.30,23.00,6.45,5.34,-10.60,-3.15,10.13,2000,0.00,0.00,-1.12,0.00
22,9945,1999,69.64,-1.37,78.30,21.00,5.10,7.60,-14.40,-4.48,10.96,1999,0.00,0.00,-1.66,0.00
23,9945,1998,70.61,22.80,78.30,28.00,10.40,14.50,0.64,0.22,12.20,1998,0.00,0.00,0.08,0.00
24,9945,1997,57.52,-1,57.50,28.00,19.80,20.40,1.93,0.68,14.18,1997,1.00,6.89,0.29,345.00
