,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3633,云光               ,2021,37.95,32.80,3.40,30.00,45.20,41.30,9.31,4.07,34.22,2021,3.00,7.03,3.18,94.30
1,3633,云光               ,2020,28.59,-28.40,3.40,39.00,42.75,38.70,10.10,4.47,34.11,2020,3.00,7.27,3.49,86.00
2,3633,云光               ,2019,39.95,-6.14,3.40,43.00,40.28,40.80,15.00,6.45,34.98,2019,4.50,11.60,5.24,85.90
3,3633,云光               ,2018,42.56,-2.95,3.40,43.00,39.63,43.40,17.00,7.33,34.72,2018,4.50,11.00,5.85,76.90
4,3633,云光               ,2017,43.86,12.40,3.40,41.00,38.93,36.50,20.40,8.75,34.16,2017,5.00,11.50,6.76,74.00
5,3633,云光               ,2016,39.01,-8.34,3.40,45.00,29.90,32.80,20.80,8.83,32.07,2016,4.50,12.30,6.41,70.20
6,3633,云光               ,2015,42.56,10.50,3.40,49.00,37.00,40.40,20.00,8.02,29.68,2015,4.00,12.20,5.77,69.30
7,3633,云光               ,2014,38.52,11.40,3.40,51.00,37.50,40.80,26.00,10.20,28.01,2014,4.50,11.10,6.83,65.90
8,3633,云光               ,2013,34.59,11.40,3.40,47.00,37.62,28.20,24.30,9.55,24.50,2013,3.50,8.58,5.57,62.80
9,3633,云光               ,2012,30.21,23.00,3.40,43.00,20.20,21.30,20.70,7.94,21.40,2012,3.00,10.60,4.26,70.50
10,3633,云光               ,2011,24.57,41.00,3.40,41.00,16.05,15.40,24.10,9.87,19.73,2011,2.50,11.70,4.36,57.30
11,3633,云光               ,2010,17.43,33.80,3.40,39.00,15.57,17.10,12.60,5.40,16.45,2010,1.50,9.74,1.93,77.70
12,3633,云光               ,2009,13.02,-13.70,2.55,25.00,14.70,16.60,-4.78,-2.11,13.66,2009,0.00,0.00,-0.72,0.00
13,3633,云光               ,2008,15.09,22.50,2.55,48.00,13.30,18.60,21.90,9.69,16.60,2008,2.00,12.00,3.21,62.30
