,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3217,2021,30.16,16.10,9.01,68.00,135.00,109.00,17.30,13.70,43.30,2021,5.60,5.28,7.11,78.80
1,3217,2020,25.98,18.50,9.01,77.00,110.00,99.60,22.10,16.80,38.60,2020,5.60,5.15,7.20,77.80
2,3217,2019,21.93,23.30,8.21,72.00,67.60,53.30,23.00,16.70,25.18,2019,4.30,4.32,5.34,80.50
3,3217,2018,17.78,13.80,8.21,60.00,29.95,35.70,17.30,12.70,21.16,2018,3.00,5.62,3.60,83.30
4,3217,2017,15.63,6.72,8.21,62.00,31.95,28.20,15.00,11.10,20.33,2017,2.55,7.15,2.93,87.00
5,3217,2016,14.64,17.20,8.21,57.00,21.30,15.40,12.80,9.53,18.60,2016,2.00,7.10,2.31,86.60
6,3217,2015,12.49,-2.77,8.21,49.00,13.25,14.60,6.47,4.86,17.41,2015,1.00,6.49,1.11,90.10
7,3217,2014,12.85,-15.10,8.41,51.00,18.25,15.60,9.13,6.41,17.04,2014,1.30,8.88,1.53,85.00
8,3217,2013,15.13,-22.20,8.41,47.00,13.10,12.40,7.34,4.36,16.32,2013,1.20,7.68,1.14,105.00
9,3217,2012,14.93,-24.00,8.41,40.00,10.95,11.20,6.90,3.91,14.71,2012,0.75,6.03,1.02,73.50
10,3217,2011,19.64,-31.40,8.34,45.00,10.20,16.60,7.06,4.12,14.61,2011,0.75,6.73,1.06,70.80
11,3217,2010,28.65,17.70,8.34,47.00,22.50,25.20,14.00,7.75,15.30,2010,1.50,9.02,2.10,71.40
12,3217,2009,24.34,-1.93,7.55,53.00,28.20,20.00,20.20,10.70,16.03,2009,2.49,9.87,2.90,85.80
13,3217,2008,24.82,14.50,7.55,30.00,11.10,16.60,-20.70,-11.10,12.50,2008,0.00,0.00,-3.07,0.00
14,3217,2007,21.67,54.70,7.37,36.00,26.65,28.40,11.90,7.31,18.12,2007,1.22,7.34,2.34,52.00
15,3217,2006,14.01,-20.90,4.53,45.00,20.95,14.90,7.15,4.89,15.57,2006,0.80,2.81,1.04,76.90
16,3217,2005,17.72,-16.00,4.20,36.00,18.45,22.20,12.50,8.04,13.64,2005,1.20,8.07,1.68,71.40
17,3217,2004,21.08,49.10,3.78,53.00,21.30,23.20,18.80,12.90,14.74,2004,2.30,10.30,2.56,89.80
18,3217,2003,14.14,46.40,3.12,53.00,-1,-1,17.10,10.60,15.15,2003,2.30,9.90,2.55,90.20
19,3217,2002,9.66,209.90,2.25,47.00,-1,-1,14.30,8.50,14.36,2002,2.00,-1,1.90,105.00
20,3217,2001,3.12,-1,1.68,47.00,-1,-1,6.55,4.05,15.14,2001,2.50,-1,0.96,260.00
