,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2379,瑞昱,2021,1055.00,35.70,51.10,64.00,580.00,508.00,49.30,18.80,76.26,2021,27.00,5.88,33.00,81.80
1,2379,瑞昱,2020,777.60,28.00,51.10,62.00,390.50,313.00,31.00,11.60,57.69,2020,14.00,2.75,17.24,81.20
2,2379,瑞昱,2019,607.40,32.60,50.80,60.00,235.00,207.00,26.20,10.30,53.57,2019,11.00,3.52,13.36,82.30
3,2379,瑞昱,2018,458.10,9.87,50.80,51.00,143.00,124.00,18.70,7.87,48.49,2018,7.00,3.37,8.57,81.70
4,2379,瑞昱,2017,416.90,7.12,50.70,57.00,109.00,109.00,15.20,6.29,43.14,2017,5.50,4.44,6.71,82.00
5,2379,瑞昱,2016,389.10,22.60,50.50,57.00,102.00,98.40,13.50,5.93,45.18,2016,5.00,4.57,6.02,83.10
6,2379,瑞昱,2015,317.50,1.54,50.50,60.00,78.70,80.80,10.90,5.52,44.12,2015,4.00,4.06,4.81,83.20
7,2379,瑞昱,2014,312.60,10.90,50.50,66.00,106.00,96.90,18.70,10.40,43.76,2014,6.00,7.42,7.71,77.80
8,2379,瑞昱,2013,281.80,14.50,50.50,64.00,80.00,71.80,16.30,10.00,38.65,2013,5.00,5.16,6.02,83.10
9,2379,瑞昱,2012,246.10,12.40,49.90,60.00,61.30,56.90,12.80,8.62,36.33,2012,3.50,4.87,4.50,77.90
10,2379,瑞昱,2011,219.00,-1.68,49.20,51.00,44.35,53.80,9.34,6.83,35.10,2011,2.40,4.22,3.24,74.10
11,2379,瑞昱,2010,222.70,9.86,48.50,53.00,69.60,76.90,9.85,7.58,34.70,2010,2.60,4.83,3.46,75.10
12,2379,瑞昱,2009,202.70,21.10,47.70,66.00,94.50,63.30,12.90,10.20,35.85,2009,3.95,5.14,4.41,89.60
13,2379,瑞昱,2008,167.40,6.59,46.90,55.00,31.65,71.10,5.43,4.38,32.50,2008,1.70,2.68,1.88,90.40
14,2379,瑞昱,2007,157.10,26.40,45.30,66.00,112.50,111.00,10.10,8.52,36.50,2007,3.20,4.50,3.30,97.00
15,2379,瑞昱,2006,124.20,16.80,83.60,79.00,56.10,40.00,13.90,12.50,24.62,2006,4.00,3.61,3.25,123.00
16,2379,瑞昱,2005,106.40,14.20,77.40,68.00,38.40,34.70,10.30,9.14,23.77,2005,2.25,5.62,2.50,90.00
17,2379,瑞昱,2004,93.11,0.36,73.40,-1,35.00,44.00,-1,-1,24.20,2004,2.00,5.77,2.39,83.70
18,2379,瑞昱,2003,92.78,1.30,65.30,-1,58.00,73.20,-1,-1,27.28,2003,2.83,6.43,4.28,66.00
19,2379,瑞昱,2002,91.59,25.90,52.80,-1,90.00,129.00,-1,-1,31.43,2002,3.75,5.13,5.95,63.00
20,2379,瑞昱,2001,72.75,35.70,35.00,-1,171.00,138.00,-1,-1,21.42,2001,3.50,2.72,6.73,52.00
21,2379,瑞昱,2000,53.61,67.70,22.30,-1,89.50,191.00,-1,-1,23.02,2000,5.50,3.97,7.66,71.80
22,2379,瑞昱,1999,31.97,50.10,15.10,-1,135.00,103.00,-1,-1,20.89,1999,5.00,2.62,4.90,102.00
23,2379,瑞昱,1998,21.30,16.00,11.30,-1,84.50,125.00,-1,-1,21.52,1998,3.00,2.92,3.91,76.70
24,2379,瑞昱,1997,18.36,-1,6.83,-1,132.00,126.00,-1,-1,17.57,1997,4.10,3.28,6.20,66.10
