,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3533,2021,213.80,23.70,10.60,66.00,761.00,563.00,21.60,15.40,159.11,2021,16.00,2.21,33.32,48.00
1,3533,2020,172.80,14.50,10.30,68.00,474.50,390.00,21.00,15.90,130.45,2020,13.30,2.36,26.41,50.40
2,3533,2019,151.00,13.50,10.30,62.00,322.50,247.00,19.10,14.30,114.18,2019,10.50,2.69,20.11,52.20
3,3533,2018,133.00,26.80,9.35,60.00,211.50,198.00,18.70,13.40,100.73,2018,8.70,3.53,17.21,50.60
4,3533,2017,104.80,18.70,9.35,53.00,202.00,149.00,12.00,8.84,88.64,2017,5.50,2.78,10.23,53.80
5,3533,2016,88.29,7.56,9.35,51.00,95.20,93.70,8.06,6.06,84.48,2016,4.00,2.69,7.38,54.20
6,3533,2015,82.08,-1.06,9.35,51.00,122.50,119.00,9.80,7.31,86.01,2015,4.50,4.80,8.52,52.80
7,3533,2014,82.96,3.12,9.35,60.00,146.50,117.00,14.70,10.50,83.18,2014,5.50,4.64,11.53,47.70
8,3533,2013,80.45,-6.09,9.35,53.00,65.40,76.60,11.10,7.40,71.82,2013,3.50,3.00,7.76,45.10
9,3533,2012,73.66,10.90,9.35,53.00,89.70,81.40,16.00,11.10,65.97,2012,4.50,5.87,10.14,44.40
10,3533,2011,66.40,4.84,9.35,53.00,73.40,105.00,17.20,12.50,60.72,2011,3.50,4.30,9.95,35.20
11,3533,2010,63.33,72.90,9.33,68.00,157.50,171.00,33.40,21.50,55.26,2010,6.99,6.64,14.62,47.80
12,3533,2009,36.63,39.80,7.71,57.00,177.00,55.40,28.50,16.10,29.93,2009,4.00,2.34,7.81,51.20
13,3533,2008,26.20,40.70,7.62,45.00,18.60,33.70,14.80,9.46,24.51,2008,1.80,3.25,3.48,51.70
14,3533,2007,18.63,64.50,7.12,49.00,41.90,40.70,17.00,11.10,24.30,2007,2.50,7.43,3.95,63.30
15,3533,2006,11.33,-1,5.92,47.00,-1,-1,6.51,4.14,21.20,2006,1.70,4.18,1.40,121.00
