,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3138,耀登,2021,14.33,27.70,4.67,66.00,225.50,249.00,22.50,13.90,28.34,2021,3.00,1.71,5.96,50.30
1,3138,耀登,2020,11.22,23.80,4.67,60.00,157.00,120.00,12.10,7.16,23.88,2020,1.60,0.64,2.63,61.00
2,3138,耀登,2019,9.06,22.20,4.07,55.00,-1,-1,8.62,5.05,16.11,2019,1.00,0.83,1.46,68.50
3,3138,耀登,2018,7.42,-1.99,4.08,57.00,-1,-1,9.66,6.26,15.57,2018,0.90,-1,1.32,68.20
4,3138,耀登,2017,7.57,15.00,4.08,53.00,-1,-1,7.18,4.58,14.86,2017,0.62,-1,1.06,58.50
5,3138,耀登,2016,6.58,-14.00,4.08,55.00,-1,-1,7.20,4.52,14.92,2016,1.00,-1,1.11,90.10
6,3138,耀登,2015,7.65,1.25,4.08,57.00,-1,-1,9.89,6.07,15.33,2015,1.03,-1,1.49,68.80
7,3138,耀登,2014,7.55,4.17,4.08,51.00,-1,-1,8.16,4.82,14.43,2014,0.30,-1,1.14,26.30
8,3138,耀登,2013,7.25,-0.48,4.08,49.00,-1,-1,5.11,2.87,12.93,2013,0.00,-1,0.65,0.00
9,3138,耀登,2012,4.36,-17.30,4.08,43.00,-1,-1,3.72,1.97,12.21,2012,0.00,-1,0.47,0.00
10,3138,耀登,2011,5.27,14.00,4.08,43.00,-1,-1,2.65,1.36,12.04,2011,0.00,-1,0.32,0.00
11,3138,耀登,2010,4.62,42.70,4.08,43.00,-1,-1,1.52,0.79,11.22,2010,0.00,-1,0.18,0.00
12,3138,耀登,2009,3.24,32.10,4.08,32.00,-1,-1,-6.85,-3.93,11.55,2009,0.00,-1,-0.83,0.00
13,3138,耀登,2008,2.45,-2.69,4.08,38.00,-1,-1,-10.00,-5.75,12.49,2008,0.00,-1,-1.21,0.00
14,3138,耀登,2007,2.52,-9.26,3.27,47.00,-1,-1,4.67,2.41,11.16,2007,0.00,-1,0.53,0.00
15,3138,耀登,2006,2.78,-17.10,2.97,36.00,-1,-1,-14.60,-8.06,10.43,2006,0.00,-1,-1.38,0.00
16,3138,耀登,2005,3.35,21.40,2.70,51.00,-1,-1,3.15,1.95,13.26,2005,1.00,-1,0.48,208.00
17,3138,耀登,2004,2.76,-1.33,2.70,47.00,-1,-1,0.68,0.46,12.74,2004,0.00,-1,0.11,0.00
18,3138,耀登,2003,2.80,-25.50,2.70,38.00,-1,-1,-6.76,-4.67,12.77,2003,0.00,-1,-0.89,0.00
