,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,5222,2021,9.17,29.80,6.78,81.00,213.00,207.00,17.20,14.10,29.18,2021,3.50,2.29,4.04,86.60
1,5222,2020,7.06,23.90,4.13,70.00,-1,-1,22.90,16.00,21.58,2020,6.20,3.00,4.42,140.00
2,5222,2019,5.70,57.90,3.78,66.00,-1,-1,29.50,20.00,14.38,2019,3.00,-1,3.84,78.10
3,5222,2018,3.61,-8.77,3.48,60.00,-1,-1,13.20,9.33,11.79,2018,1.00,-1,1.46,68.50
4,5222,2017,3.96,17.30,3.44,57.00,-1,-1,16.00,10.60,10.26,2017,0.00,-1,1.52,0.00
5,5222,2016,3.37,126.90,3.40,70.00,-1,-1,44.20,28.30,8.81,2016,0.00,-1,3.16,0.00
6,5222,2015,1.49,30.40,3.36,48.00,-1,-1,17.20,9.79,5.52,2015,0.00,-1,0.71,0.00
7,5222,2014,1.14,27.80,2.86,30.00,-1,-1,-46.60,-25.00,2.29,2014,0.00,-1,-1.20,0.00
8,5222,2013,0.89,-21.20,2.66,30.00,-1,-1,-67.20,-45.60,2.83,2013,0.00,-1,-2.85,0.00
9,5222,2012,1.13,-9.37,2.66,32.00,-1,-1,-6.00,-4.85,5.97,2012,0.00,-1,-0.35,0.00
10,5222,2011,1.25,2.84,2.51,39.00,-1,-1,4.32,3.74,6.03,2011,0.00,-1,0.26,0.00
