,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3034,2021,1354.00,69.30,60.90,83.00,539.00,485.00,70.40,43.50,115.78,2021,51.50,11.80,63.87,80.60
1,3034,2020,799.60,24.20,60.90,66.00,369.00,244.00,32.40,22.50,65.64,2020,15.60,3.22,19.42,80.30
2,3034,2019,643.70,17.40,60.90,66.00,219.00,185.00,25.00,16.70,54.36,2019,10.50,4.31,13.03,80.60
3,3034,2018,548.30,16.50,60.90,64.00,142.00,136.00,21.70,14.40,49.82,2018,8.80,4.75,10.50,83.80
4,3034,2017,470.70,3.11,60.90,60.00,113.50,116.00,17.80,12.20,46.95,2017,7.10,5.23,8.26,86.00
5,3034,2016,456.50,-10.20,60.90,60.00,106.50,115.00,17.70,12.10,45.95,2016,7.00,6.03,8.22,85.20
6,3034,2015,508.70,-5.91,60.90,62.00,129.00,142.00,22.60,14.70,46.86,2015,9.00,7.81,10.52,85.60
7,3034,2014,540.70,30.40,60.90,62.00,178.00,149.00,27.30,17.00,46.39,2014,10.00,7.06,11.85,84.40
8,3034,2013,414.50,11.90,60.90,60.00,122.00,126.00,19.80,12.20,40.46,2013,6.00,4.03,7.81,76.80
9,3034,2012,370.10,5.64,60.60,60.00,117.50,95.70,19.50,11.80,39.63,2012,5.59,4.43,7.36,76.00
10,3034,2011,350.30,-3.38,60.20,62.00,75.90,83.10,16.70,10.00,36.92,2011,4.60,4.81,6.16,74.70
11,3034,2010,362.60,34.30,59.90,62.00,94.00,92.90,21.50,13.10,36.89,2010,5.80,6.98,7.69,75.40
12,3034,2009,270.00,3.13,59.60,66.00,107.00,71.70,20.60,13.70,34.64,2009,5.00,5.38,6.78,73.70
13,3034,2008,261.80,-27.50,58.60,66.00,31.10,79.40,19.70,13.40,31.35,2008,4.55,6.35,6.18,73.60
14,3034,2007,361.30,15.00,54.20,70.00,124.00,151.00,46.50,29.80,32.22,2007,8.65,10.90,14.02,61.70
15,3034,2006,314.30,21.00,52.00,64.00,147.50,177.00,46.20,28.30,29.14,2006,8.20,5.42,12.07,67.90
16,3034,2005,259.80,48.40,46.10,64.00,193.00,142.00,46.90,27.90,26.00,2005,9.09,5.13,12.21,74.50
17,3034,2004,175.10,60.40,39.90,-1,111.00,109.00,-1,-1,22.12,2004,6.75,4.76,9.00,75.00
18,3034,2003,109.10,63.10,33.80,-1,96.00,84.10,-1,-1,18.46,2003,4.20,3.85,6.28,66.90
19,3034,2002,66.90,59.20,28.90,68.00,65.50,96.50,25.70,21.40,16.01,2002,3.00,3.57,3.75,80.00
20,3034,2001,42.03,0.95,23.50,77.00,95.00,78.10,23.30,20.00,16.22,2001,3.00,3.11,3.79,79.20
21,3034,2000,41.64,50.30,15.10,-1,-1,-1,-1,-1,19.41,2000,5.00,6.40,7.18,69.60
22,3034,1999,27.70,-1,9.72,-1,-1,-1,-1,-1,19.08,1999,5.00,-1,6.66,75.10
