,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,6225,2021,0.31,33.30,4.37,32.00,7.09,5.45,-26.20,-15.50,0.29,2021,0.00,0.00,-0.09,0.00
1,6225,2020,0.23,88.20,12.70,36.00,3.65,3.29,-55.10,-32.80,0.13,2020,0.00,0.00,-0.05,0.00
2,6225,2019,0.12,55.70,11.90,34.00,1.95,2.79,-113.00,-46.70,0.07,2019,0.00,0.00,-0.07,0.00
3,6225,2018,0.08,268.90,11.50,32.00,3.30,3.71,-316.00,-95.20,0.06,2018,0.00,0.00,-0.17,0.00
4,6225,2017,0.02,-88.80,10.20,28.00,3.32,3.26,-287.00,-62.30,0.04,2017,0.00,0.00,-0.13,0.00
5,6225,2016,0.19,-76.80,9.74,28.00,3.55,3.27,-205.00,-50.80,0.05,2016,0.00,0.00,-0.25,0.00
6,6225,2015,0.83,-41.80,9.39,32.00,3.00,4.34,-192.00,-45.50,0.19,2015,0.00,0.00,-0.68,0.00
7,6225,2014,1.42,-44.70,8.53,28.00,5.22,6.27,-196.00,-66.00,0.52,2014,0.00,0.00,-2.16,0.00
8,6225,2013,2.57,-34.60,6.29,21.00,4.61,4.74,-93.90,-46.00,1.59,2013,0.00,0.00,-2.60,0.00
9,6225,2012,2.96,-31.60,6.29,28.00,4.29,3.56,-62.80,-31.90,3.94,2012,0.00,0.00,-3.69,0.00
10,6225,2011,4.82,-41.40,11.60,23.00,2.83,11.90,-54.80,-25.40,3.19,2011,0.00,0.00,-2.40,0.00
11,6225,2010,8.24,-47.80,11.60,19.00,20.00,26.10,-37.60,-16.60,5.56,2010,0.00,0.00,-2.68,0.00
12,6225,2009,15.77,-50.10,11.50,23.00,41.85,17.80,-14.30,-6.42,8.63,2009,0.00,0.00,-1.37,0.00
13,6225,2008,31.63,-11.40,16.80,28.00,5.13,12.10,-7.46,-3.39,10.10,2008,0.00,0.00,-0.77,0.00
14,6225,2007,35.70,40.40,16.20,36.00,19.85,15.60,9.99,4.05,11.58,2007,0.60,4.94,1.03,58.30
15,6225,2006,25.43,-13.90,21.40,26.00,8.10,9.09,-19.80,-6.63,5.55,2006,0.00,0.00,-1.23,0.00
16,6225,2005,29.54,-27.90,21.40,17.00,10.55,12.40,-60.70,-20.80,6.71,2005,0.00,0.00,-5.75,0.00
17,6225,2004,40.99,-18.50,17.40,28.00,14.95,30.10,-2.48,-1.05,12.12,2004,0.00,0.00,-0.33,0.00
18,6225,2003,50.30,69.20,14.50,49.00,51.00,50.30,28.60,14.90,17.77,2003,4.40,14.60,4.43,99.30
19,6225,2002,29.73,31.70,9.95,49.00,-1,-1,20.70,12.30,15.64,2002,3.42,6.80,2.94,116.00
20,6225,2001,22.57,-1,6.06,66.00,-1,-1,41.10,25.30,20.96,2001,6.20,-1,6.75,91.90
