,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2065,世豐,2021,28.59,26.90,5.44,49.00,47.10,48.50,18.70,9.97,31.37,-1,-1,-1,-1,-1
1,2065,世豐,2020,22.54,24.00,4.50,43.00,45.40,50.20,13.30,6.68,27.83,-1,-1,-1,-1,-1
2,2065,世豐,2019,18.17,29.80,3.27,45.00,41.35,39.00,13.50,8.20,31.59,-1,-1,-1,-1,-1
3,2065,世豐,2018,14.00,28.80,3.27,45.00,28.85,27.40,8.93,6.50,31.53,2018,2.70,6.93,2.87,94.10
4,2065,世豐,2017,10.87,-2.78,3.27,43.00,25.95,31.80,3.53,2.64,32.67,2017,1.58,5.77,1.20,132.00
5,2065,世豐,2016,11.18,-3.20,3.00,47.00,-1,-1,9.10,6.53,36.85,2016,3.00,9.44,3.04,98.70
6,2065,世豐,2015,11.55,13.50,3.00,43.00,-1,-1,6.67,4.56,29.53,2015,2.00,-1,1.86,108.00
7,2065,世豐,2014,10.18,-10.80,3.00,47.00,-1,-1,5.81,4.23,26.23,2014,1.50,-1,1.53,98.00
8,2065,世豐,2013,11.41,-9.64,3.00,51.00,-1,-1,10.30,7.79,26.11,2013,2.06,-1,26.10,7.87
9,2065,世豐,2012,12.63,2.12,3.00,45.00,-1,-1,4.88,3.64,25.10,2012,1.50,-1,1.21,124.00
10,2065,世豐,2011,12.37,14.80,3.00,-1,-1,-1,-1,-1,26.47,2011,2.50,-1,4.15,60.20
