,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,9958,世紀鋼,2021,100.80,57.30,23.10,45.00,110.50,113.00,16.00,6.91,31.59,2021,3.00,2.60,5.45,55.00
1,9958,世紀鋼,2020,64.09,166.80,21.80,51.00,107.00,98.60,11.80,6.04,31.87,2020,2.98,2.64,3.58,83.20
2,9958,世紀鋼,2019,24.03,45.20,20.90,51.00,72.20,70.00,13.20,6.44,21.22,2019,0.99,1.01,3.53,28.10
3,9958,世紀鋼,2018,16.55,-19.30,20.60,43.00,65.00,65.60,0.11,0.05,17.68,2018,0.30,0.43,0.17,176.00
4,9958,世紀鋼,2017,20.50,-10.20,18.60,38.00,21.20,11.40,1.86,0.76,12.47,2017,0.30,0.46,0.32,93.80
5,9958,世紀鋼,2016,22.82,-24.60,18.60,34.00,9.64,10.00,2.81,1.12,12.58,2016,0.30,2.62,0.39,76.90
6,9958,世紀鋼,2015,30.25,4.73,18.60,34.00,10.00,9.62,8.07,3.05,12.72,2015,0.40,4.00,1.02,39.20
7,9958,世紀鋼,2014,28.88,-16.80,18.20,30.00,10.95,12.40,2.86,1.18,12.19,2014,0.30,3.12,0.35,85.70
8,9958,世紀鋼,2013,34.73,5.60,18.20,30.00,14.65,12.90,9.44,3.78,12.60,2013,0.80,6.44,1.20,66.70
9,9958,世紀鋼,2012,33.64,96.20,13.80,34.00,12.80,9.45,15.30,4.90,12.67,2012,0.66,5.14,1.80,36.90
10,9958,世紀鋼,2011,17.37,-17.00,13.80,14.00,7.80,9.77,-5.81,-2.05,10.82,2011,0.00,0.00,-0.65,0.00
11,9958,世紀鋼,2010,20.94,-32.60,13.80,27.00,10.10,11.00,0.52,0.21,11.67,2010,0.20,2.05,0.06,333.00
12,9958,世紀鋼,2009,31.06,52.70,13.20,30.00,12.25,10.20,3.36,1.36,12.29,2009,0.60,5.45,0.46,130.00
13,9958,世紀鋼,2008,20.34,-4.53,11.70,-1,5.30,11.90,-1,-1,12.11,2008,0.00,0.00,0.25,0.00
14,9958,世紀鋼,2007,21.31,-1,7.85,-1,-1,-1,-1,-1,13.05,2007,0.50,4.22,1.32,37.90
15,9958,世紀鋼,2006,30.86,44.00,7.13,-1,-1,-1,-1,-1,13.57,2006,1.50,-1,2.11,71.10
16,9958,世紀鋼,2005,21.44,-5.93,6.79,-1,-1,-1,-1,-1,12.92,2005,1.25,-1,2.42,51.70
17,9958,世紀鋼,2004,22.79,49.50,6.18,-1,-1,-1,-1,-1,13.14,2004,2.50,-1,2.90,86.20
18,9958,世紀鋼,2003,15.24,13.00,5.97,-1,-1,-1,-1,-1,10.66,2003,0.35,-1,0.70,50.00
