,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,8086,宏捷科,2021,47.16,33.10,19.70,68.00,142.00,151.00,10.80,9.67,40.38,2021,2.80,2.75,4.29,65.30
1,8086,宏捷科,2020,35.43,60.60,20.00,72.00,135.00,97.70,11.70,9.93,38.88,2020,2.80,1.85,3.75,74.70
2,8086,宏捷科,2019,22.07,20.10,14.50,62.00,99.50,69.90,12.30,9.93,21.20,2019,1.70,1.74,2.54,66.90
3,8086,宏捷科,2018,18.37,10.60,14.50,70.00,47.90,58.20,10.60,9.40,20.16,2018,1.50,2.15,2.11,71.10
4,8086,宏捷科,2017,16.61,-26.90,14.40,66.00,68.20,60.30,7.96,7.07,19.44,2017,1.40,2.40,1.58,88.60
5,8086,宏捷科,2016,22.73,-48.60,14.30,72.00,51.30,59.90,12.90,10.70,20.22,2016,2.40,3.98,2.77,86.60
6,8086,宏捷科,2015,44.24,65.70,14.00,83.00,89.00,78.10,40.20,31.20,22.74,2015,4.75,7.93,7.85,60.50
7,8086,宏捷科,2014,26.69,150.40,13.70,66.00,41.60,24.10,18.70,14.70,16.23,2014,1.95,2.50,2.76,70.80
8,8086,宏捷科,2013,10.66,-33.80,13.60,49.00,13.70,16.30,-4.07,-3.26,13.25,2013,0.00,0.00,-0.55,0.00
9,8086,宏捷科,2012,16.11,-2.42,13.60,55.00,20.90,27.50,0.26,0.20,13.66,2012,0.00,0.00,0.04,0.00
10,8086,宏捷科,2011,16.51,-14.50,13.00,-1,20.65,34.90,-1,-1,14.05,2011,0.48,1.74,0.54,88.90
11,8086,宏捷科,2010,19.30,88.70,12.60,-1,43.80,46.60,-1,-1,14.15,2010,0.70,2.01,1.22,57.50
12,8086,宏捷科,2009,10.23,-18.50,12.50,-1,48.15,29.40,-1,-1,12.98,2009,0.20,0.43,0.30,66.70
13,8086,宏捷科,2008,12.55,-1,10.00,-1,-1,-1,-1,-1,12.41,2008,0.44,1.51,1.09,40.70
14,8086,宏捷科,2007,7.08,-17.60,10.00,-1,-1,-1,-1,-1,11.22,2007,0.00,-1,-0.41,0.00
15,8086,宏捷科,2006,8.59,64.80,10.00,-1,-1,-1,-1,-1,11.52,2006,0.00,-1,0.35,0.00
16,8086,宏捷科,2005,5.21,179.80,8.00,-1,-1,-1,-1,-1,7.72,2005,0.00,-1,0.52,0.00
17,8086,宏捷科,2004,1.86,46.80,8.00,-1,-1,-1,-1,-1,7.19,2004,0.00,-1,-1.09,0.00
18,8086,宏捷科,2003,1.27,206.20,8.00,-1,-1,-1,-1,-1,8.29,2003,0.00,-1,-1.49,0.00
19,8086,宏捷科,2002,0.42,51.40,8.00,-1,-1,-1,-1,-1,9.78,2002,0.00,-1,-2.73,0.00
