,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3694,2021,114.50,19.30,15.00,34.00,27.15,24.80,15.80,5.01,13.86,2021,0.00,0.00,2.05,0.00
1,3694,2020,95.92,24.80,15.00,36.00,28.20,23.20,17.70,5.58,12.18,2020,0.00,0.00,2.02,0.00
2,3694,2019,76.88,11.10,15.10,23.00,17.85,20.60,-6.82,-2.43,10.67,2019,0.00,0.00,-0.76,0.00
3,3694,2018,69.19,11.00,15.10,21.00,20.60,21.90,-7.05,-2.89,11.61,2018,0.00,0.00,-0.81,0.00
4,3694,2017,62.30,1.54,13.30,32.00,16.75,15.30,2.15,0.99,12.07,2017,0.00,0.00,0.26,0.00
5,3694,2016,61.35,-7.04,13.00,36.00,14.00,15.40,4.94,2.33,12.19,2016,0.00,0.00,0.60,0.00
6,3694,2015,66.00,22.20,13.00,36.00,16.95,16.40,2.49,1.12,12.10,2015,0.00,0.00,0.30,0.00
7,3694,2014,54.01,-15.40,13.00,23.00,15.00,16.40,-31.20,-14.50,11.93,2014,0.00,0.00,-4.33,0.00
8,3694,2013,63.87,-23.00,13.00,26.00,18.15,18.90,-12.00,-6.02,15.87,2013,0.00,0.00,-1.99,0.00
9,3694,2012,79.51,21.70,13.00,23.00,21.20,26.00,-6.06,-2.95,17.41,2012,0.00,0.00,-1.00,0.00
10,3694,2011,65.31,2.84,11.00,32.00,22.95,31.10,0.72,0.34,18.00,2011,0.00,0.00,0.12,0.00
11,3694,2010,62.91,40.40,9.93,38.00,-1,-1,16.20,8.50,17.20,2010,1.50,4.82,2.71,55.40
12,3694,2009,44.80,16.00,9.03,53.00,-1,-1,21.40,11.00,17.84,2009,2.50,-1,3.33,75.10
