,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2414,2021,239.00,10.90,16.20,34.00,37.25,31.50,15.80,7.39,18.62,2021,2.80,7.97,3.44,81.40
1,2414,2020,215.60,13.60,16.20,34.00,25.70,24.50,11.70,5.23,17.16,2020,1.80,5.71,2.25,80.00
2,2414,2019,189.70,10.70,16.20,30.00,23.10,21.20,9.70,4.61,16.44,2019,1.50,6.13,1.81,82.90
3,2414,2018,171.50,1.79,16.20,30.00,18.85,20.10,8.50,4.40,16.11,2018,1.45,6.85,1.58,91.80
4,2414,2017,168.40,4.10,16.20,34.00,19.60,18.60,9.09,4.59,15.90,2017,1.40,6.98,1.59,88.10
5,2414,2016,161.80,2.88,16.20,32.00,17.30,16.50,8.28,4.07,15.68,2016,1.30,6.98,1.44,90.30
6,2414,2015,157.30,1.91,16.20,28.00,15.75,17.60,8.01,4.14,15.52,2015,1.25,7.57,1.38,90.60
7,2414,2014,154.30,6.49,16.20,34.00,17.85,16.90,9.15,4.75,15.33,2014,1.20,6.83,1.56,76.90
8,2414,2013,144.90,-6.30,16.20,32.00,14.70,14.30,5.83,2.97,14.76,2013,1.00,5.93,0.97,103.00
9,2414,2012,135.10,0.14,16.20,34.00,14.40,14.90,7.20,3.75,15.18,2012,1.15,8.03,1.28,89.70
10,2414,2011,134.90,-6.79,16.20,34.00,13.35,14.80,8.63,4.39,15.30,2011,1.35,9.09,1.50,90.00
11,2414,2010,144.80,10.80,16.40,30.00,16.05,18.40,9.47,4.74,15.05,2010,1.32,8.91,1.47,89.80
12,2414,2009,130.60,8.15,16.40,36.00,23.60,14.90,8.35,4.47,15.19,2009,1.32,7.19,1.30,102.00
13,2414,2008,120.80,-14.20,21.40,36.00,8.94,13.70,7.87,4.15,13.84,2008,1.38,9.23,1.15,120.00
14,2414,2007,140.70,6.33,21.20,32.00,13.50,16.80,9.71,4.55,13.71,2007,1.00,7.26,1.30,76.60
15,2414,2006,132.30,2.10,19.10,32.00,15.80,12.80,9.02,4.18,13.61,2006,0.89,5.27,1.20,73.90
16,2414,2005,129.60,2.55,17.90,34.00,13.05,12.90,8.61,4.14,13.65,2005,1.01,7.88,1.25,80.80
17,2414,2004,126.40,21.50,15.20,-1,10.50,13.50,-1,-1,13.61,2004,0.79,6.14,1.21,65.50
18,2414,2003,104.00,28.00,13.80,-1,15.50,16.20,-1,-1,13.82,2003,1.10,8.12,0.97,113.00
19,2414,2002,81.25,20.50,11.90,-1,16.70,20.50,-1,-1,14.87,2002,1.73,10.70,1.09,159.00
20,2414,2001,67.43,16.60,10.20,-1,18.30,25.50,-1,-1,16.08,2001,1.64,7.99,0.78,210.00
21,2414,2000,57.81,36.80,8.40,-1,28.80,76.30,-1,-1,18.03,2000,2.05,8.06,1.33,154.00
22,2414,1999,42.24,45.50,5.62,-1,72.00,61.60,-1,-1,17.90,1999,3.00,3.93,1.80,167.00
23,2414,1998,29.03,22.50,4.27,-1,44.90,65.90,-1,-1,21.26,1998,3.00,4.87,1.96,153.00
24,2414,1997,23.69,-1,2.50,-1,-1,-1,-1,-1,16.18,1997,3.00,4.55,2.31,130.00
