,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3218,2021,26.32,28.20,7.61,73.00,283.00,298.00,28.00,17.70,28.75,2021,5.50,2.06,7.82,70.30
1,3218,2020,20.53,44.70,7.61,77.00,239.00,174.00,25.90,16.60,25.14,2020,4.20,1.41,6.35,66.10
2,3218,2019,14.19,18.80,7.61,61.00,67.50,42.60,11.60,8.08,20.91,2019,2.00,1.15,3.13,63.90
3,3218,2018,11.95,10.40,7.61,64.00,25.15,28.30,7.54,5.86,19.40,2018,1.25,2.93,2.12,59.00
4,3218,2017,10.82,0.88,7.61,57.00,26.55,26.20,6.61,4.84,18.48,2017,1.20,4.24,1.65,72.70
5,3218,2016,10.73,5.57,6.61,57.00,22.80,23.00,7.95,5.05,17.54,2016,1.15,4.39,1.39,82.70
6,3218,2015,10.16,3.90,6.61,57.00,24.50,28.40,7.08,4.39,17.39,2015,1.10,4.78,1.23,89.40
7,3218,2014,9.78,6.81,6.61,62.00,32.45,35.40,9.07,6.41,17.25,2014,1.05,3.70,1.54,68.20
8,3218,2013,9.16,19.40,6.61,60.00,26.45,23.60,8.20,6.58,16.61,2013,1.00,2.82,1.31,76.30
9,3218,2012,7.67,-7.72,6.62,43.00,21.85,23.10,-8.45,-6.86,15.39,2012,0.00,0.00,-1.37,0.00
10,3218,2011,8.32,20.20,6.66,57.00,22.35,34.60,3.10,2.34,17.11,2011,0.33,1.43,0.60,55.00
11,3218,2010,6.92,32.30,4.53,43.00,26.25,29.00,-6.40,-4.04,14.66,2010,0.00,0.00,-0.97,0.00
12,3218,2009,5.23,-4.28,4.53,45.00,36.50,32.90,-6.18,-3.41,15.41,2009,0.00,0.00,-0.93,0.00
13,3218,2008,5.46,37.60,4.02,43.00,22.00,36.10,-5.17,-3.29,13.90,2008,0.00,0.00,-0.74,0.00
14,3218,2007,3.97,18.10,4.02,66.00,40.40,59.00,10.60,9.36,14.98,2007,1.00,2.77,1.52,65.80
15,3218,2006,3.36,-6.01,3.47,77.00,37.65,40.50,12.30,11.20,15.77,2006,1.65,2.80,1.99,82.90
16,3218,2005,3.58,12.50,2.79,-1,48.70,69.80,-1,-1,13.39,2005,2.00,4.93,2.68,74.60
17,3218,2004,3.18,70.10,2.20,-1,44.50,43.30,-1,-1,13.90,2004,2.95,4.23,3.33,88.60
18,3218,2003,1.87,-1,2.00,-1,-1,-1,-1,-1,11.76,2003,1.12,2.59,1.23,91.10
