,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2348,力廣,2021,60.96,66.40,10.60,66.00,108.50,98.30,36.50,11.40,40.90,2021,8.00,7.83,15.58,51.30
1,2348,力廣,2020,36.64,119.20,9.68,74.00,85.00,74.10,55.20,20.30,33.55,2020,8.00,8.14,15.10,53.00
2,2348,力廣,2019,16.71,51.80,8.56,70.00,55.90,47.50,35.30,15.80,20.56,2019,4.33,5.84,6.59,65.70
3,2348,力廣,2018,11.01,39.80,8.56,77.00,46.30,41.10,33.20,21.90,16.66,2018,3.80,8.00,5.39,70.50
4,2348,力廣,2017,7.88,75.40,8.56,66.00,26.70,24.90,15.50,10.70,14.98,2017,3.60,8.76,2.13,169.00
5,2348,力廣,2016,4.49,-51.00,8.56,47.00,18.50,25.20,0.92,0.54,12.84,2016,0.00,0.00,0.12,0.00
6,2348,力廣,2015,9.17,-50.50,8.56,45.00,26.75,36.40,8.29,4.01,12.72,2015,0.00,0.00,1.06,0.00
7,2348,力廣,2014,18.51,112.00,8.56,55.00,42.40,52.50,39.60,17.20,12.16,2014,0.50,1.37,4.13,12.10
8,2348,力廣,2013,8.73,548.90,8.56,70.00,45.00,43.60,92.50,39.10,8.03,2013,0.00,0.00,4.18,0.00
9,2348,力廣,2012,1.35,-44.90,1.76,28.00,28.65,2.10,-3932.00,-1025.00,1.00,2012,0.00,0.00,-52.32,0.00
10,2348,力廣,2011,2.44,-33.70,10.40,-1,2.05,3.07,-1,-1,0.46,2011,0.00,0.00,0.17,0.00
11,2348,力廣,2010,3.68,32.00,4.87,-1,2.34,3.09,-1,-1,0.45,2010,0.00,0.00,-4.11,0.00
12,2348,力廣,2009,2.79,-60.20,10.90,-1,2.28,1.74,-1,-1,1.02,2009,0.00,0.00,-1.30,0.00
13,2348,力廣,2008,7.01,-51.00,10.90,-1,1.36,9.93,-1,-1,2.01,2008,0.00,0.00,-0.93,0.00
14,2348,力廣,2007,14.30,14.70,10.90,-1,16.90,26.10,-1,-1,10.02,2007,0.00,0.00,0.57,0.00
15,2348,力廣,2006,12.47,-0.52,10.90,-1,43.90,7.81,-1,-1,13.87,2006,0.00,0.00,-0.99,0.00
16,2348,力廣,2005,12.53,-42.00,12.90,20.00,4.50,4.32,-16.00,-2.41,2.84,2005,0.00,0.00,-0.48,0.00
17,2348,力廣,2004,21.62,24.50,12.90,18.00,5.95,9.08,-70.30,-11.00,3.20,2004,0.00,0.00,-3.45,0.00
18,2348,力廣,2003,17.37,-64.60,12.90,18.00,8.50,8.75,-49.90,-10.70,6.61,2003,0.00,0.00,-4.01,0.00
19,2348,力廣,2002,49.07,-4.07,12.90,32.00,8.55,6.08,8.56,1.81,9.45,2002,0.00,0.00,0.80,0.00
20,2348,力廣,2001,51.16,-33.10,43.00,20.00,5.80,5.75,-84.60,-20.40,2.75,2001,0.00,0.00,-4.11,0.00
21,2348,力廣,2000,76.44,-31.20,43.00,20.00,4.09,17.70,-13.10,-3.62,6.96,2000,0.00,0.00,-0.91,0.00
22,2348,力廣,1999,111.10,-20.40,43.00,-1,26.30,19.80,-1,-1,7.85,1999,0.00,0.00,-5.23,0.00
23,2348,力廣,1998,139.50,-5.52,43.00,-1,22.10,54.70,-1,-1,13.18,1998,0.00,0.00,-3.35,0.00
24,2348,力廣,1997,147.70,-1,29.40,-1,78.50,158.00,-1,-1,24.48,1997,4.50,8.23,3.00,150.00
