,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3528,安馳               ,2021,62.80,26.30,6.61,38.00,50.20,47.70,17.90,7.21,27.92,2021,3.80,7.39,4.57,83.20
1,3528,安馳               ,2020,49.73,20.80,6.56,38.00,43.05,39.20,14.00,6.36,23.08,2020,2.90,6.09,3.18,91.20
2,3528,安馳               ,2019,41.19,-0.10,6.56,38.00,38.00,37.20,12.50,5.64,22.29,2019,2.50,6.38,2.77,90.30
3,3528,安馳               ,2018,41.23,7.88,6.56,38.00,32.35,34.40,12.40,5.97,22.05,2018,2.50,6.71,2.71,92.30
4,3528,安馳               ,2017,38.21,23.20,6.41,36.00,34.65,33.50,11.80,6.64,22.05,2017,2.50,7.26,2.57,97.30
5,3528,安馳               ,2016,31.00,-4.74,6.31,38.00,28.85,30.20,12.90,7.50,21.65,2016,2.50,7.45,2.64,94.70
6,3528,安馳               ,2015,32.55,2.01,5.66,40.00,29.00,34.10,16.40,8.42,21.24,2015,2.50,8.28,3.41,73.30
7,3528,安馳               ,2014,31.91,25.40,5.49,34.00,36.10,36.40,15.80,8.64,21.06,2014,2.50,7.34,3.19,78.40
8,3528,安馳               ,2013,25.45,-2.98,5.33,45.00,31.20,28.40,14.40,9.35,19.98,2013,2.30,6.31,2.79,82.40
9,3528,安馳               ,2012,26.23,-7.85,5.08,47.00,26.50,27.30,14.50,9.84,19.74,2012,2.30,8.09,2.84,80.90
10,3528,安馳               ,2011,28.47,-23.00,4.69,-1,25.35,32.80,-1,-1,19.88,2011,2.60,9.51,3.03,85.80
11,3528,安馳               ,2010,36.97,71.90,3.82,40.00,-1,-1,31.50,12.70,18.80,2010,2.66,8.12,5.43,49.10
12,3528,安馳               ,2009,21.51,19.40,3.38,38.00,-1,-1,18.30,8.53,16.78,2009,3.00,-1,3.03,99.00
13,3528,安馳               ,2008,18.02,0.57,2.90,38.00,-1,-1,20.90,9.89,16.03,2008,2.50,-1,3.22,77.60
14,3528,安馳               ,2007,17.92,23.20,2.60,38.00,-1,-1,29.90,12.00,16.58,2007,3.00,-1,4.36,68.80
15,3528,安馳               ,2006,14.54,52.10,1.75,32.00,-1,-1,26.60,8.48,14.13,2006,1.00,-1,4.27,23.40
