,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2459,敦吉               ,2021,69.87,9.77,10.60,57.00,59.60,53.90,12.10,6.59,43.71,2021,3.50,6.35,5.01,69.90
1,2459,敦吉               ,2020,63.65,-15.90,10.60,55.00,45.95,41.50,10.50,5.82,42.72,2020,3.30,6.12,4.25,77.60
2,2459,敦吉               ,2019,75.69,-13.90,10.60,51.00,43.55,38.70,10.50,5.89,41.35,2019,3.01,7.25,4.20,71.60
3,2459,敦吉               ,2018,87.92,-14.50,10.70,51.00,35.70,39.50,10.40,5.97,41.80,2018,3.00,7.76,4.03,74.40
4,2459,敦吉               ,2017,102.80,-14.30,10.70,49.00,42.95,40.50,10.30,6.03,41.45,2017,3.00,7.60,4.13,72.60
5,2459,敦吉               ,2016,120.10,8.00,10.70,45.00,35.60,34.30,9.37,5.49,40.98,2016,2.60,6.41,3.72,69.90
6,2459,敦吉               ,2015,111.20,4.44,10.70,45.00,32.00,36.80,8.50,5.17,43.02,2015,2.50,7.30,3.52,71.00
7,2459,敦吉               ,2014,106.40,-21.00,11.40,53.00,39.60,34.00,10.10,6.15,42.58,2014,2.53,6.87,3.48,72.60
8,2459,敦吉               ,2013,134.70,1.03,14.20,45.00,31.20,27.90,8.98,5.17,33.00,2013,1.50,4.42,2.77,54.20
9,2459,敦吉               ,2012,78.56,1.29,14.50,47.00,24.40,25.90,10.10,5.65,30.88,2012,2.00,7.16,2.87,69.60
10,2459,敦吉               ,2011,77.56,23.40,14.50,47.00,25.40,31.00,10.90,6.38,30.62,2011,1.80,6.96,3.05,59.00
11,2459,敦吉               ,2010,62.84,8.35,14.50,51.00,35.00,26.30,14.30,8.47,27.70,2010,2.50,8.07,3.84,65.10
12,2459,敦吉               ,2009,58.00,-3.47,14.70,43.00,24.40,16.70,7.73,4.56,26.98,2009,1.60,6.09,2.01,79.60
13,2459,敦吉               ,2008,60.09,-0.36,15.30,43.00,10.65,19.20,7.84,4.38,26.07,2008,1.20,7.17,1.84,65.20
14,2459,敦吉               ,2007,60.30,8.28,15.30,47.00,24.80,35.40,13.20,7.12,24.96,2007,1.80,9.37,3.01,59.80
15,2459,敦吉               ,2006,55.69,-4.49,14.30,55.00,42.65,44.60,21.10,11.50,24.13,2006,2.50,7.07,4.58,54.60
16,2459,敦吉               ,2005,58.31,-3.63,13.10,51.00,46.30,38.20,16.60,8.93,22.03,2005,2.55,5.71,3.36,75.80
17,2459,敦吉               ,2004,60.51,-2.27,12.00,49.00,26.00,39.20,19.60,9.89,19.99,2004,2.34,6.11,3.72,62.80
18,2459,敦吉               ,2003,61.91,46.50,11.00,45.00,51.50,47.70,15.90,7.39,21.46,2003,2.86,7.30,3.59,79.60
19,2459,敦吉               ,2002,42.26,55.30,9.00,-1,35.50,50.00,-1,-1,19.92,2002,2.65,5.55,4.40,60.20
20,2459,敦吉               ,2001,27.21,26.50,7.68,-1,62.50,60.40,-1,-1,19.68,2001,3.00,6.00,3.27,91.70
21,2459,敦吉               ,2000,21.52,81.90,6.06,53.00,36.70,96.20,24.90,14.20,20.85,2000,3.20,5.30,4.59,69.70
22,2459,敦吉               ,1999,11.83,25.60,4.62,40.00,76.50,68.10,15.50,8.94,21.03,1999,3.00,3.12,3.11,96.50
23,2459,敦吉               ,1998,9.42,-1,4.20,51.00,-1,-1,14.90,7.17,20.98,1998,2.00,2.94,2.88,69.40
