,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,8916,光隆               ,2021,80.62,-5.14,13.10,45.00,40.55,41.60,9.87,6.20,33.14,2021,3.00,7.07,3.58,83.80
1,8916,光隆               ,2020,84.99,-19.80,13.10,43.00,40.10,41.60,6.26,4.16,32.93,2020,3.00,7.21,2.28,132.00
2,8916,光隆               ,2019,105.90,4.32,13.00,45.00,45.00,46.30,10.80,6.83,33.88,2019,2.99,7.19,4.10,73.00
3,8916,光隆               ,2018,101.50,19.30,11.00,45.00,44.80,47.60,18.20,9.26,31.48,2018,3.37,7.28,5.74,58.70
4,8916,光隆               ,2017,85.13,-1.00,10.90,26.00,43.95,45.50,-3.45,-1.71,25.80,2017,2.99,6.28,-1.09,-274.00
5,8916,光隆               ,2016,85.99,-3.60,10.80,45.00,45.55,49.30,13.10,7.27,32.36,2016,3.58,7.88,4.19,85.50
6,8916,光隆               ,2015,89.20,-0.97,10.60,43.00,60.00,42.80,13.40,7.25,30.99,2015,2.99,6.08,4.09,73.20
7,8916,光隆               ,2014,90.08,-0.90,10.50,43.00,41.70,46.50,14.40,7.06,29.68,2014,2.97,6.94,4.00,74.20
8,8916,光隆               ,2013,90.90,12.60,8.97,40.00,45.30,31.00,17.80,7.46,24.48,2013,2.57,5.53,4.05,63.40
9,8916,光隆               ,2012,67.04,3.57,8.96,36.00,20.70,19.60,10.70,3.94,21.54,2012,1.30,4.19,2.25,57.70
10,8916,光隆               ,2011,64.72,25.30,8.93,38.00,18.70,21.30,7.70,2.86,21.19,2011,1.00,5.09,1.62,61.60
11,8916,光隆               ,2010,51.64,31.50,8.87,38.00,26.55,19.40,10.20,4.36,20.80,2010,1.10,5.16,2.12,51.70
12,8916,光隆               ,2009,39.27,15.10,8.59,38.00,15.80,11.50,7.13,3.36,20.63,2009,0.64,3.30,1.49,43.00
13,8916,光隆               ,2008,34.13,-6.85,8.27,38.00,8.20,10.20,4.35,2.27,20.74,2008,0.51,4.39,0.88,57.50
14,8916,光隆               ,2007,36.64,8.65,8.26,34.00,10.95,11.10,5.26,2.95,19.68,2007,0.50,4.92,1.01,49.40
15,8916,光隆               ,2006,33.72,-2.04,8.26,36.00,9.70,8.11,4.79,2.31,18.69,2006,0.40,3.61,0.87,46.00
16,8916,光隆               ,2005,34.42,-13.20,8.26,21.00,8.34,7.74,-4.82,-1.85,17.68,2005,0.00,0.00,-0.87,0.00
17,8916,光隆               ,2004,39.65,-0.74,8.26,32.00,8.60,10.10,0.20,0.08,18.25,2004,0.20,2.58,0.04,500.00
18,8916,光隆               ,2003,39.95,-4.46,8.26,34.00,11.80,11.90,4.21,1.57,19.29,2003,0.50,4.97,0.80,62.50
19,8916,光隆               ,2002,41.81,1.40,8.26,30.00,14.20,17.70,2.03,0.79,18.94,2002,0.40,3.35,0.40,100.00
20,8916,光隆               ,2001,41.23,-2.87,8.26,34.00,16.70,15.10,11.00,4.43,20.04,2001,1.20,6.78,2.09,57.40
21,8916,光隆               ,2000,42.45,23.00,8.26,28.00,14.10,17.00,0.69,0.30,17.94,2000,0.50,3.31,0.12,417.00
22,8916,光隆               ,1999,34.50,3.96,7.87,34.00,19.70,25.00,7.06,3.68,19.44,1999,1.20,7.05,1.37,87.60
23,8916,光隆               ,1998,33.19,-0.98,6.84,34.00,-1,-1,6.67,3.07,22.09,1998,2.50,10.00,1.46,171.00
24,8916,光隆               ,1997,33.52,-1,5.70,38.00,-1,-1,12.20,4.84,26.04,1997,3.00,-1,2.81,107.00
